concept_current,term_rows,current_E,current_W,current_S,projected_E,projected_W,projected_S,w0_filtered_candidate_rows,w0_hold_rows,adverse_rows,gap_rows,candidate_rows,current_D1,current_KL,projected_D1,projected_KL,delta_projected_D1
ideal,123,263.0,45.0,45.0,263.0,112.0,112.0,101,11,13,78,67,2.105260783653683,0.3541729414857504,2.742188727561877,0.08985588146406864,0.6369279439081938
basis,64,133.0,22.0,23.0,133.0,48.0,48.0,41,22,22,42,26,2.0971338013097727,0.35804073272291603,2.639564674349215,0.12799828118658094,0.5424308730394425
module,35,63.0,15.0,15.0,63.0,23.0,23.0,19,8,8,20,8,2.3452576285633078,0.24621702987757269,2.64707680864876,0.12515634859866737,0.3018191800854524
group,26,54.0,12.0,12.0,54.0,19.0,19.0,17,8,8,14,7,2.2945065862214054,0.2680944633808619,2.6228120882918877,0.1343652303451082,0.32830550207048237
definition,9,18.0,4.0,4.0,18.0,6.0,6.0,5,3,4,5,2,2.2945065862214054,0.2680944633808619,2.586409289858933,0.14834174943487521,0.2919027036375277
unclassified,294,635.0,55.0,52.0,635.0,55.0,52.0,0,0,41,242,0,1.6693297370557105,0.5861900978604049,1.6693297370557105,0.5861900978604049,0.0
field,64,126.0,10.0,10.0,126.0,10.0,10.0,0,0,38,54,0,1.6395248431889464,0.6042058185746167,1.6395248431889464,0.6042058185746167,0.0
coefficient,61,84.0,0.0,0.0,84.0,0.0,0.0,0,0,0,61,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
element,31,61.0,2.0,3.0,61.0,2.0,3.0,0,0,20,29,0,1.3761219111677094,0.7793429548492025,1.3761219111677094,0.7793429548492025,0.0
ring,28,57.0,1.0,0.0,57.0,1.0,0.0,0,0,17,28,0,1.091005254640512,1.0115127654763345,1.091005254640512,1.0115127654763345,0.0
form,26,28.0,0.0,0.0,28.0,0.0,0.0,0,0,0,26,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
determinant,21,35.0,3.0,3.0,35.0,3.0,3.0,0,0,15,18,0,1.6782411549676648,0.5808659752354638,1.6782411549676648,0.5808659752354638,0.0
folding,21,18.0,0.0,0.0,18.0,0.0,0.0,0,0,0,21,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
covariant,20,33.0,0.0,0.0,33.0,0.0,0.0,0,0,0,20,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
polynomial,18,40.0,8.0,8.0,40.0,8.0,8.0,0,0,12,10,0,2.2173474522732106,0.3023006484942968,2.2173474522732106,0.3023006484942968,0.0
theorem,16,29.0,0.0,9.0,29.0,0.0,9.0,0,0,7,16,0,1.7287739684700894,0.5511998201426114,1.7287739684700894,0.5511998201426114,0.0
irreducible,15,31.0,0.0,0.0,31.0,0.0,0.0,0,0,0,15,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
equation,13,22.0,0.0,0.0,22.0,0.0,0.0,0,0,0,13,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
representation,13,25.0,6.0,6.0,25.0,6.0,6.0,0,0,8,7,0,2.351117237873254,0.24372165311690366,2.351117237873254,0.24372165311690366,0.0
teorem,13,27.0,0.0,1.0,27.0,0.0,1.0,0,0,0,13,0,1.1665796643952542,0.9445361849970804,1.1665796643952542,0.9445361849970804,0.0
dimension,12,24.0,4.0,4.0,24.0,4.0,4.0,0,0,10,8,0,2.0867794400977164,0.36299034890931503,2.0867794400977164,0.36299034890931503,0.0
least common multiple,12,22.0,0.0,0.0,22.0,0.0,0.0,0,0,0,12,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
linear,12,24.0,0.0,0.0,24.0,0.0,0.0,0,0,0,12,0,1.0,1.0986122886681098,1.0,1.0986122886681098,0.0
