"language","bcp47","branch","lexeme_id","draft_gloss","searched_forms","source_rows_searched","occurrence_count","sufficiency_bucket","best_source_form","best_source_anchor","best_source_snippet","next_gate","non_claim_boundary"
"Azerbaijani","az","Oghuz","L-IDEAL","ideal","ideal","16","9","source-canon-sufficient-for-scoped-draft-support","ideal","bodies/az/prior-retry/azerbaijani_wikisun_module_riyaziyyat.html:23","Onun tətbiqi cəbrdə halqalar və ideallar nəzəriyyəsindən, analizdə funksiyaların xassələrinin öyrənilməsinə, topologiyada invariantların hesablanmasından kodlaşdırma"">","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Azerbaijani","az","Oghuz","L-NOETHERIAN-RING","Noetherian ring","Noether | Nöter | Neter","16","4","adjacent-or-eponym-context-only; hard-row-source-gate-open","Nöter","bodies/az/wikitext-20260629T101500Z/Mathematics__Riyaziyyat.wiki:137","...sə əhəmiyyətli dərəcədə kömək göstərənlərin sırasında alman riyaziyyatçısı Emmi Nöterin və onun tələbəsi niderlandlı Bartell Lendert Van der Vardenin adını qeyd etmək lazımdır.<ref>{{Cite web |last=Tuncer |first=Talat |t...","seek exact compound/definition source row before hard-row draft support; keep current row as context only","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Azerbaijani","az","Oghuz","L-POLYNOMIAL","polynomial","çoxhədli | coxhedli","16","140","source-canon-sufficient-for-scoped-draft-support","çoxhədli","bodies/az/wikitext-20260629T101500Z/Polynomial__Çoxhədli.wiki:1","[[Fayl:Polynomialdeg3.svg|3-cü dərəcəli çoxhədli [[funksiyanın qrafiki]]|thumb]]","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Azerbaijani","az","Oghuz","L-POLYNOMIAL-RING","polynomial ring","çoxhədli halqa | coxhedli halqa","16","1","source-canon-sufficient-for-source-tied-noncanonical-hard-row-draft; review-gate-open","çoxhədli halqa","bodies/az/wikitext-20260629T101500Z/Matrix (mathematics)__Matris.wiki:750","...edir.<ref>{{Harvnb|Association for Computing Machinery|1979|loc=Fəsil 7}}</ref> Çoxhədli halqası üzərindəki matrislər idarəetmə nəzəriyyəsinin öyrənilməsində mühüm əhəmiyyət kəsb edir.","draft support may be reviewed; no bridge/pilot/gate promotion without reviewer and cross-source checks","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Azerbaijani","az","Oghuz","L-RING","ring","halqa | həlqə","16","23","source-canon-sufficient-for-scoped-draft-support","halqa","bodies/az/wikitext-20260629T101500Z/Matrix (mathematics)__Matris.wiki:108","...l{M}_{m \times n}\R</math> kimi işarə olunur. Başqa bir meydan və ya {{Math|R}} halqası üzərindəki bütün ''m × n'' matrislərinin çoxluğu oxşar şəkildə <math>\mathcal{M}(m, n, R)</math> və ya <math>\mathcal{M}_{m \times n...","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Bashkir","ba","Kipchak","L-IDEAL","ideal","идеал","18","42","source-canon-sufficient-for-scoped-draft-support","идеал","bodies/ba/wikitext-20260629T101500Z/Ring (mathematics)__Ҡулса (математика).wiki:104","...athrm{ker} f</math> тип тамғалана). Теләһә ниндәй гомоморфизмдың үҙәге ике яҡлы идеал була{{Sfn|Куликов|1979|с = 432}}. Икенсе яҡтан, <math>f</math>-тың образы һәр ваҡытта ла идеал булмай, ләкин <math>S</math>-тың аҫҡулс...","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Bashkir","ba","Kipchak","L-NOETHERIAN-RING","Noetherian ring","Нётер | Noether","18","2","source-canon-sufficient-for-source-tied-noncanonical-hard-row-draft; review-gate-open","Нётер","bodies/ba/wikitext-20260629T101500Z/Ring (mathematics)__Ҡулса (математика).wiki:184","* [[Нётер ҡулсаһы]]","draft support may be reviewed; no bridge/pilot/gate promotion without reviewer and cross-source checks","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Bashkir","ba","Kipchak","L-POLYNOMIAL","polynomial","күпбыуын","18","49","source-canon-sufficient-for-scoped-draft-support","күпбыуын","bodies/ba/wikitext-20260629T101500Z/Polynomial__Күпбыуын.wiki:1","[[Файл:Septic graph.svg| 7-се дәрәжә күпбыуын [[График функции|графигы]] .| thumb| 250px| upright]]","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Bashkir","ba","Kipchak","L-POLYNOMIAL-RING","polynomial ring","күпбыуын ҡулса","18","0","source-canon-insufficient/source-acquisition-gap","","","","continue source-body acquisition for exact target-language row; do not compose from neighboring forms","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Bashkir","ba","Kipchak","L-RING","ring","ҡулса | коммутатив ҡулса","18","161","source-canon-sufficient-for-scoped-draft-support","ҡулса","bodies/ba/wikitext-20260629T101500Z/Ring (mathematics)__Ҡулса (математика).wiki:100","Берәмеге булған ҡулса осрағында, ҡайһы берҙә <math>f(1) = 1</math> шарты үтәлеүе талап ителә{{Sfn|Фейс|1979|с = 10}}{{Sfn|Винберг|2011|с = 388}}.","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
