"language","bcp47","branch","lexeme_id","searched_forms","occurrence_count","blocker_or_gate_status","best_source_anchor","best_source_snippet","next_recovery_action","non_claim_boundary"
"Azerbaijani","az","Oghuz","L-NOETHERIAN-RING","Noether | Nöter | Neter","4","adjacent-or-eponym-context-only; hard-row-source-gate-open","bodies/az/wikitext-20260629T101500Z/Mathematics__Riyaziyyat.wiki:137","...sə əhəmiyyətli dərəcədə kömək göstərənlərin sırasında alman riyaziyyatçısı Emmi Nöterin və onun tələbəsi niderlandlı Bartell Lendert Van der Vardenin adını qeyd etmək lazımdır.<ref>{{Cite web |last=Tuncer |first=Talat |t...","seek exact compound/definition source row before hard-row draft support; keep current row as context only","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Bashkir","ba","Kipchak","L-POLYNOMIAL-RING","күпбыуын ҡулса","0","source-canon-insufficient/source-acquisition-gap","","","continue source-body acquisition for exact target-language row; do not compose from neighboring forms","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kazakh","kk","Kipchak","L-NOETHERIAN-RING","Нётер | Noether","0","source-canon-insufficient/source-acquisition-gap","","","continue source-body acquisition for exact target-language row; do not compose from neighboring forms","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kazakh","kk","Kipchak","L-POLYNOMIAL-RING","көпмүшелік сақина","0","source-canon-insufficient/source-acquisition-gap","","","continue source-body acquisition for exact target-language row; do not compose from neighboring forms","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kyrgyz","ky","Kipchak","L-NOETHERIAN-RING","Нётер | Noether","0","source-canon-insufficient/source-acquisition-gap","","","continue source-body acquisition for exact target-language row; do not compose from neighboring forms","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kyrgyz","ky","Kipchak","L-POLYNOMIAL-RING","көп мүчө шакек | көп мүчөлөр шакеги","0","source-canon-insufficient/source-acquisition-gap","","","continue source-body acquisition for exact target-language row; do not compose from neighboring forms","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kyrgyz","ky","Kipchak","L-RING","шакек","0","source-canon-insufficient/source-acquisition-gap","","","continue source-body acquisition for exact target-language row; do not compose from neighboring forms","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Turkmen","tk","Oghuz","L-NOETHERIAN-RING","Noether | Noeter | Nöter","0","source-canon-insufficient/source-acquisition-gap","","","continue source-body acquisition for exact target-language row; do not compose from neighboring forms","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Turkmen","tk","Oghuz","L-POLYNOMIAL-RING","köpagza halka | kopagza halka","0","source-canon-insufficient/source-acquisition-gap","","","continue source-body acquisition for exact target-language row; do not compose from neighboring forms","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Tatar","tt","Kipchak","L-NOETHERIAN-RING","Нётер | Noether","0","source-canon-insufficient/source-acquisition-gap","","","continue source-body acquisition for exact target-language row; do not compose from neighboring forms","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Tatar","tt","Kipchak","L-POLYNOMIAL-RING","күпбуын боҗра | күпбуыннар боҗрасы","0","source-canon-insufficient/source-acquisition-gap","","","continue source-body acquisition for exact target-language row; do not compose from neighboring forms","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uzbek","uz","Karluk","L-NOETHERIAN-RING","neyteriya | Noether | Neter","3","adjacent-or-eponym-context-only; hard-row-source-gate-open","bodies/uz/wikitext-direct-20260705/DirectWikiAPI__Bezu halqasi.wiki:10","# ''R'' — neyteriyalik.","seek exact compound/definition source row before hard-row draft support; keep current row as context only","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uzbek","uz","Karluk","L-POLYNOMIAL-RING","koʻphad halqasi | ko‘phad halqasi | kop had halqasi","0","source-canon-insufficient/source-acquisition-gap","","","continue source-body acquisition for exact target-language row; do not compose from neighboring forms","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
