"language","bcp47","branch","lexeme_id","source_form","draft_rendering_gloss","source_context_anchor","source_context_snippet","term_alternatives_or_register_note","formula_neighboring_usage_note","interlinear_or_scaffold_note","hard_row_boundary","next_gate","non_claim_boundary"
"Azerbaijani","az","Oghuz","L-IDEAL","ideal","ideal","bodies/az/prior-retry/azerbaijani_wikisun_module_riyaziyyat.html:23","Onun tətbiqi cəbrdə halqalar və ideallar nəzəriyyəsindən, analizdə funksiyaların xassələrinin öyrənilməsinə, topologiyada invariantların hesablanmasından kodlaşdırma"">","Use only as source-tied generated draft; preserve source spelling/register until reviewer return.","no formula marker visible in selected source snippet","Azerbaijani 'ideal' -> English scaffold 'ideal'; source-tied draft only.","base lexeme support only; no bridge/promotion claim","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Azerbaijani","az","Oghuz","L-POLYNOMIAL","çoxhədli","polynomial","bodies/az/wikitext-20260629T101500Z/Polynomial__Çoxhədli.wiki:1","[[Fayl:Polynomialdeg3.svg|3-cü dərəcəli çoxhədli [[funksiyanın qrafiki]]|thumb]]","Use only as source-tied generated draft; preserve source spelling/register until reviewer return.","no formula marker visible in selected source snippet","Azerbaijani 'çoxhədli' -> English scaffold 'polynomial'; source-tied draft only.","base lexeme support only; no bridge/promotion claim","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Azerbaijani","az","Oghuz","L-POLYNOMIAL-RING","çoxhədli halqa","polynomial ring","bodies/az/wikitext-20260629T101500Z/Matrix (mathematics)__Matris.wiki:750","...edir.<ref>{{Harvnb|Association for Computing Machinery|1979|loc=Fəsil 7}}</ref> Çoxhədli halqası üzərindəki matrislər idarəetmə nəzəriyyəsinin öyrənilməsində mühüm əhəmiyyət kəsb edir.","Use only as source-tied generated draft; preserve source spelling/register until reviewer return.","no formula marker visible in selected source snippet","Azerbaijani 'çoxhədli halqa' -> English scaffold 'polynomial ring'; source-tied draft only.","hard-row draft support only; no closure/promotion claim","draft support may be reviewed; no bridge/pilot/gate promotion without reviewer and cross-source checks","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Azerbaijani","az","Oghuz","L-RING","halqa","ring","bodies/az/wikitext-20260629T101500Z/Matrix (mathematics)__Matris.wiki:108","...l{M}_{m \times n}\R</math> kimi işarə olunur. Başqa bir meydan və ya {{Math|R}} halqası üzərindəki bütün ''m × n'' matrislərinin çoxluğu oxşar şəkildə <math>\mathcal{M}(m, n, R)</math> və ya <math>\mathcal{M}_{m \times n...","Use only as source-tied generated draft; preserve source spelling/register until reviewer return.","formula/math marker appears in source snippet; review formula-neighboring usage before any translation reuse","Azerbaijani 'halqa' -> English scaffold 'ring'; source-tied draft only.","base lexeme support only; no bridge/promotion claim","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Bashkir","ba","Kipchak","L-IDEAL","идеал","ideal","bodies/ba/wikitext-20260629T101500Z/Ring (mathematics)__Ҡулса (математика).wiki:104","...athrm{ker} f</math> тип тамғалана). Теләһә ниндәй гомоморфизмдың үҙәге ике яҡлы идеал була{{Sfn|Куликов|1979|с = 432}}. Икенсе яҡтан, <math>f</math>-тың образы һәр ваҡытта ла идеал булмай, ләкин <math>S</math>-тың аҫҡулс...","Use only as source-tied generated draft; preserve source spelling/register until reviewer return.","formula/math marker appears in source snippet; review formula-neighboring usage before any translation reuse","Bashkir 'идеал' -> English scaffold 'ideal'; source-tied draft only.","base lexeme support only; no bridge/promotion claim","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Bashkir","ba","Kipchak","L-NOETHERIAN-RING","Нётер","Noetherian ring","bodies/ba/wikitext-20260629T101500Z/Ring (mathematics)__Ҡулса (математика).wiki:184","* [[Нётер ҡулсаһы]]","Use only as source-tied generated draft; preserve source spelling/register until reviewer return.","no formula marker visible in selected source snippet","Bashkir 'Нётер' -> English scaffold 'Noetherian ring'; source-tied draft only.","hard-row draft support only; no closure/promotion claim","draft support may be reviewed; no bridge/pilot/gate promotion without reviewer and cross-source checks","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Bashkir","ba","Kipchak","L-POLYNOMIAL","күпбыуын","polynomial","bodies/ba/wikitext-20260629T101500Z/Polynomial__Күпбыуын.wiki:1","[[Файл:Septic graph.svg| 7-се дәрәжә күпбыуын [[График функции|графигы]] .| thumb| 250px| upright]]","Use only as source-tied generated draft; preserve source spelling/register until reviewer return.","no formula marker visible in selected source snippet","Bashkir 'күпбыуын' -> English scaffold 'polynomial'; source-tied draft only.","base lexeme support only; no bridge/promotion claim","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Bashkir","ba","Kipchak","L-RING","ҡулса","ring","bodies/ba/wikitext-20260629T101500Z/Ring (mathematics)__Ҡулса (математика).wiki:100","Берәмеге булған ҡулса осрағында, ҡайһы берҙә <math>f(1) = 1</math> шарты үтәлеүе талап ителә{{Sfn|Фейс|1979|с = 10}}{{Sfn|Винберг|2011|с = 388}}.","Use only as source-tied generated draft; preserve source spelling/register until reviewer return.","formula/math marker appears in source snippet; review formula-neighboring usage before any translation reuse","Bashkir 'ҡулса' -> English scaffold 'ring'; source-tied draft only.","base lexeme support only; no bridge/promotion claim","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kazakh","kk","Kipchak","L-IDEAL","идеал","ideal","bodies/kk/wikitext-20260629T101500Z/Ideal (ring theory)__Идеал (математикада).wiki:1","'''Идеал'''<ref>«Қазақстан»: Ұлттық энцклопедия / Бас редактор Ә. Нысанбаев – Алматы «[[Қазақ энциклопедиясы]]» Бас редакциясы, 1998 ISBN 5-89800-123-9, IV том</ref>, ''математикада'' – негізгі [[алгебра]]лық ұғымдардың ...","Use only as source-tied generated draft; preserve source spelling/register until reviewer return.","no formula marker visible in selected source snippet","Kazakh 'идеал' -> English scaffold 'ideal'; source-tied draft only.","base lexeme support only; no bridge/promotion claim","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kazakh","kk","Kipchak","L-POLYNOMIAL","көпмүшелік","polynomial","bodies/kk/external-leads/kazakh_linear_algebra_html_invariant_theory.txt:1","...а жиі кездесетін есептері: кері матрицаны табу, анықтауышты есептеу, алгебралық көпмүшеліктің түбірін табу. Сызықтық теңдеулер теориясы – сызықтық алгебраның ең алғашқы саласы. Бұл теорияның дамуы нәтижесінде анықтауышта...","Use only as source-tied generated draft; preserve source spelling/register until reviewer return.","no formula marker visible in selected source snippet","Kazakh 'көпмүшелік' -> English scaffold 'polynomial'; source-tied draft only.","base lexeme support only; no bridge/promotion claim","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kazakh","kk","Kipchak","L-POLYNOMIAL-RING","көпмүшелік сақина","polynomial ring","bodies/kk/current-web-hard-row-20260705/KK-WEB-20260705_univision_606140.html:328","...әне матрицалық көбейту әдісімен шешу. Кронекер-Капелли Теоремасы. Көпмүшелік сақина. Көпмүшелердің қалдықпен бөлінуі. Евклид Алгоритмі. Векторлардағы сызықтық операциялар. Векторлардың скалярлық, векторлық, аралас көбейт...","Use only as source-tied generated draft; preserve source spelling/register until reviewer return.","no formula marker visible in selected source snippet","Kazakh 'көпмүшелік сақина' -> English scaffold 'polynomial ring'; source-tied draft only.","hard-row draft support only; no closure/promotion claim","draft support may be reviewed; no bridge/pilot/gate promotion without reviewer and cross-source checks","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kazakh","kk","Kipchak","L-RING","сақина","ring","bodies/kk/external-leads/kazakh_aues_graph_invariants_html.txt:1","...гіленуі . немесе ; ә) Пирс стрелкасы (антидизъюнкция), белгіленуі . немесе ; б) сақиналы қосынды (логикалық қосынды, екі модуль бойынша қосынды), белгіленуі . немесе . Анықтамаға сүйеніп, бұл операциялардың ақиқаттық кес...","Use only as source-tied generated draft; preserve source spelling/register until reviewer return.","no formula marker visible in selected source snippet","Kazakh 'сақина' -> English scaffold 'ring'; source-tied draft only.","base lexeme support only; no bridge/promotion claim","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kyrgyz","ky","Kipchak","L-IDEAL","идеал","ideal","ocr-witnesses/ky/KY-PDF-002_Kyrgyz_mathematics_curriculum_PDF_edu_gov_kg.txt:1031","үйрөтө тургандыгы, геометриялык объектилер реалдык объектилердин идеалдаштырылган","Use only as source-tied generated draft; preserve source spelling/register until reviewer return.","no formula marker visible in selected source snippet","Kyrgyz 'идеал' -> English scaffold 'ideal'; source-tied draft only.","base lexeme support only; no bridge/promotion claim","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kyrgyz","ky","Kipchak","L-POLYNOMIAL","келтирилбес көп мүчө","polynomial","bodies/ky/wikitext-direct-20260705/DirectWikiAPI__Келтирилбес көп мүчө.wiki:1","'''Келтирилбес көп мүчө''' – төмөнкү даражалуу көбөйтүүчүлөргө ажырабаган көп мүчө. Көп мүчөнүн көбөйтүүчүлөргө ажырашы жана кел тирилбес касиети анын коэффициенти кандай сандан турганына байланыштуу. Мисалы, эгер коэффи...","Use only as source-tied generated draft; preserve source spelling/register until reviewer return.","no formula marker visible in selected source snippet","Kyrgyz 'келтирилбес көп мүчө' -> English scaffold 'polynomial'; source-tied draft only.","base lexeme support only; no bridge/promotion claim","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Turkmen","tk","Oghuz","L-IDEAL","ideal","ideal","bodies/tk/wikitext-20260629T101500Z/Mathematics__Matematika.wiki:3","...tiki obýektler]] hakyky ýa-da beýleki matematiki obýektleriň aýratynlyklaryny [[ideallaşdyrma]]k we şol aýratynlyklary formal dilde ýazmak arkaly döredilýär. Matematika [[tebigy ylymlar]]a degişli däldir, ýöne hem olaryň...","Use only as source-tied generated draft; preserve source spelling/register until reviewer return.","no formula marker visible in selected source snippet","Turkmen 'ideal' -> English scaffold 'ideal'; source-tied draft only.","base lexeme support only; no bridge/promotion claim","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Turkmen","tk","Oghuz","L-POLYNOMIAL","köpagza","polynomial","bodies/tk/current-source-gate/TK-CUR-051-003.html:653","...wiatura arkaly usul oňaýlydyr, emma grek harplaryny, matrisalary, standart funksiýalaryň käbirlerini, görkezgiçler we ş.m. ýalylary palettalaryň kömegi bilen girizmek oňaýlydyr. Palettalar toplumyndan �������������������...","Use only as source-tied generated draft; preserve source spelling/register until reviewer return.","no formula marker visible in selected source snippet","Turkmen 'köpagza' -> English scaffold 'polynomial'; source-tied draft only.","base lexeme support only; no bridge/promotion claim","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Turkmen","tk","Oghuz","L-RING","halka","ring","bodies/tk/current-source-gate/TK-CUR-051-003.html:653","...makda, kompýuterde sanly hasaplamalary we wizuallaşdyrmagy geçirmekde öwrenijiler uly kynçylyklar çekýärler. Gollanmanyň maksady öwrenijilere bu kynçylyklary ýeňip geçmekde kömek bermekden ybaratdyr. Gollanmadaky paragra...","Use only as source-tied generated draft; preserve source spelling/register until reviewer return.","no formula marker visible in selected source snippet","Turkmen 'halka' -> English scaffold 'ring'; source-tied draft only.","base lexeme support only; no bridge/promotion claim","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Turkish","tr","Oghuz","L-MODULE","modul","module","bodies/tr/tex-source/kadirhanpolat_probability-statistics/source/probability-statistics-master/bolumler/compile_log.txt:174","(C:\Users\Kadirhan\AppData\Local\Programs\MiKTeX\tex/generic/pgf/modules\pgfmod","Use only as source-tied generated draft; preserve source spelling/register until reviewer return.","no formula marker visible in selected source snippet","Turkish 'modul' -> English scaffold 'module'; source-tied draft only.","base lexeme support only; no bridge/promotion claim","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Turkish","tr","Oghuz","L-NOETHERIAN-RING","Noether","Noetherian ring","ocr-witnesses/tr/TR-NOETH-002_marmara_asalimsi_idealler_thesis.txt:1007","olduğu görülür ve böylece 𝑄, Noether kuvvetli asalımsı değildir.","Use only as source-tied generated draft; preserve source spelling/register until reviewer return.","no formula marker visible in selected source snippet","Turkish 'Noether' -> English scaffold 'Noetherian ring'; source-tied draft only.","hard-row draft support only; no closure/promotion claim","draft support may be reviewed; no bridge/pilot/gate promotion without reviewer and cross-source checks","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Turkish","tr","Oghuz","L-POLYNOMIAL","polinom","polynomial","bodies/tr/tex-source/kadirhanpolat_probability-statistics/source/probability-statistics-master/bolumler/part1_olasilik/bolum00_onbilgiler.tex:1115","...f{Weierstrass}: $[a,b]$'de her sürekli $f$ için $\forall\varepsilon>0$, bir $p$ polinomu var ki $\|f-p\|_\infty<\varepsilon$. $f(x)=|x-1/2|$: polinom dizisi $p_n(x)=\sqrt{(x-1/2)^2+1/n}$ üniform yaklaşır (köşeyi yumuşatı...","Use only as source-tied generated draft; preserve source spelling/register until reviewer return.","formula/math marker appears in source snippet; review formula-neighboring usage before any translation reuse","Turkish 'polinom' -> English scaffold 'polynomial'; source-tied draft only.","base lexeme support only; no bridge/promotion claim","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Turkish","tr","Oghuz","L-POLYNOMIAL-RING","polinom halkası","polynomial ring","ocr-witnesses/tr/TR-NOETH-002_marmara_asalimsi_idealler_thesis.txt:1038","olsun. 𝐾 [𝑋 ] polinom halkasını ve 𝑄 = ({𝑋+ ' , 𝑋# 𝑋6 : 𝑖 ≥ 1 𝑣𝑒 𝑗 ≥ 2}) idealini alalım.","Use only as source-tied generated draft; preserve source spelling/register until reviewer return.","no formula marker visible in selected source snippet","Turkish 'polinom halkası' -> English scaffold 'polynomial ring'; source-tied draft only.","hard-row draft support only; no closure/promotion claim","draft support may be reviewed; no bridge/pilot/gate promotion without reviewer and cross-source checks","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Turkish","tr","Oghuz","L-RING","halka","ring","bodies/tr/tex-source/kadirhanpolat_probability-statistics/source/probability-statistics-master/bolumler/ekler/ekD_terminoloji_sozlugu.tex:107","Halka & ring & Böl.~\ref{chp:olcum_teorisi} \\","Use only as source-tied generated draft; preserve source spelling/register until reviewer return.","no formula marker visible in selected source snippet","Turkish 'halka' -> English scaffold 'ring'; source-tied draft only.","base lexeme support only; no bridge/promotion claim","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Tatar","tt","Kipchak","L-IDEAL","идеал","ideal","bodies/tt/current-probe/TT-CUR-055-001_source-archive_lexical_context.txt:45635","Идеал:Идеал NP-ANT-M;!""""","Use only as source-tied generated draft; preserve source spelling/register until reviewer return.","no formula marker visible in selected source snippet","Tatar 'идеал' -> English scaffold 'ideal'; source-tied draft only.","base lexeme support only; no bridge/promotion claim","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Tatar","tt","Kipchak","L-POLYNOMIAL","күпбуын","polynomial","bodies/tt/current-probe/TT-CUR-055-001_source-archive_lexical_context.txt:13431","күпбуын:күпбуын N1 ; ! """"","Use only as source-tied generated draft; preserve source spelling/register until reviewer return.","no formula marker visible in selected source snippet","Tatar 'күпбуын' -> English scaffold 'polynomial'; source-tied draft only.","base lexeme support only; no bridge/promotion claim","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Tatar","tt","Kipchak","L-RING","боҗра","ring","bodies/tt/current-probe/TT-CUR-055-001_source-archive_lexical_context.txt:5761","боҗра:боҗра N1 ; ! """"","Use only as source-tied generated draft; preserve source spelling/register until reviewer return.","no formula marker visible in selected source snippet","Tatar 'боҗра' -> English scaffold 'ring'; source-tied draft only.","base lexeme support only; no bridge/promotion claim","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uyghur","ug","Karluk","L-MODULE","مودۇل","module","bodies/ug/current-source-gate/UG-CUR-052-006.html:330","...><div class=""result-list""><div class=""result-terjime rtl-text"">تولغانما مودۇل</div></div><div class=""result-list""><div class=""result-terjime rtl-text"">تولغانما قاتلام</div></div><div class=""result-list""><div class=""resul...","Use only as source-tied generated draft; preserve source spelling/register until reviewer return.","no formula marker visible in selected source snippet","Uyghur 'مودۇل' -> English scaffold 'module'; source-tied draft only.","base lexeme support only; no bridge/promotion claim","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uyghur","ug","Karluk","L-NOETHERIAN-RING","نوئېتېر","Noetherian ring","bodies/ug/current-source-gate/UG-CUR-052-001.html:325","<h1 class=""post-title entry-title""><a href=""https://wiki.uygur.com/noeter_halqisi/"" rel=""bookmark"">نوئېتېر ھالقىسى</a></h1>","Use only as source-tied generated draft; preserve source spelling/register until reviewer return.","no formula marker visible in selected source snippet","Uyghur 'نوئېتېر' -> English scaffold 'Noetherian ring'; source-tied draft only.","hard-row draft support only; no closure/promotion claim","draft support may be reviewed; no bridge/pilot/gate promotion without reviewer and cross-source checks","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uyghur","ug","Karluk","L-POLYNOMIAL","كۆپ ئەزالىق","polynomial","bodies/ug/current-source-gate/UG-CUR-052-002.html:325","<h1 class=""post-title entry-title""><a href=""https://wiki.uygur.com/kop_ezaliq_halqa/"" rel=""bookmark"">كۆپ ئەزالىق ھالقا</a></h1>","Use only as source-tied generated draft; preserve source spelling/register until reviewer return.","no formula marker visible in selected source snippet","Uyghur 'كۆپ ئەزالىق' -> English scaffold 'polynomial'; source-tied draft only.","base lexeme support only; no bridge/promotion claim","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uyghur","ug","Karluk","L-POLYNOMIAL-RING","كۆپ ئەزالىق ھالقا","polynomial ring","bodies/ug/current-source-gate/UG-CUR-052-002.html:325","<h1 class=""post-title entry-title""><a href=""https://wiki.uygur.com/kop_ezaliq_halqa/"" rel=""bookmark"">كۆپ ئەزالىق ھالقا</a></h1>","Use only as source-tied generated draft; preserve source spelling/register until reviewer return.","no formula marker visible in selected source snippet","Uyghur 'كۆپ ئەزالىق ھالقا' -> English scaffold 'polynomial ring'; source-tied draft only.","hard-row draft support only; no closure/promotion claim","draft support may be reviewed; no bridge/pilot/gate promotion without reviewer and cross-source checks","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uyghur","ug","Karluk","L-RING","ھالقىسى","ring","bodies/ug/current-source-gate/UG-CUR-052-001.html:325","<h1 class=""post-title entry-title""><a href=""https://wiki.uygur.com/noeter_halqisi/"" rel=""bookmark"">نوئېتېر ھالقىسى</a></h1>","Use only as source-tied generated draft; preserve source spelling/register until reviewer return.","no formula marker visible in selected source snippet","Uyghur 'ھالقىسى' -> English scaffold 'ring'; source-tied draft only.","base lexeme support only; no bridge/promotion claim","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uzbek","uz","Karluk","L-IDEAL","ideal","ideal","bodies/uz/wikitext-direct-20260705/DirectWikiAPI__Bezu halqasi.wiki:12","# ''R'' asosiy ideallar zanjirlarini oshirish uchun tugatish shartini qondiradi.","Use only as source-tied generated draft; preserve source spelling/register until reviewer return.","no formula marker visible in selected source snippet","Uzbek 'ideal' -> English scaffold 'ideal'; source-tied draft only.","base lexeme support only; no bridge/promotion claim","draft support may be used as non-canonical scaffold; reviewer/native gate remains open","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
