source_term,spanish,japanese,notes
algebraische Funktionen einer Veränderlichen,funciones algebraicas de una variable,一変数の代数関数,Paper 14 title and scope
Zahlkörpertheorie,teoría de los cuerpos numéricos,数体論,Paper 14 title; keep Zahlbericht as named report
Grundkörper,cuerpo base,基礎体,Use cuerpo base/基礎体 for base field
Körper konjugiert / konjugierte Elemente,cuerpo conjugado / elementos conjugados,共役体 / 共役元,Steinitz/Kronecker formal construction
Modul,módulo,加群,Dedekind-Weber module concept; avoid modern vector-space overtranslation
Integritätsbasis,base de integridad,整性基底,Continues Paper 06 policy
Ideal / Primideal,ideal / ideal primo,イデアル / 素イデアル,Paper 14 ideal-theoretic core
Idealklasse,clase de ideales,イデアル類,Class concept compared with polygon classes
Führer,conductor,導手,Conductor of the ring/domain generated by delta
Differente / Verzweigungsideal,diferente / ideal de ramificación,異なるもの / 分岐イデアル,Preserve Hilbert Zahlbericht phrase for F prime delta when relevant
Diskriminante,discriminante,判別式,Field and element discriminants
absolute Riemannsche Fläche,superficie de Riemann absoluta,絶対 Riemann 面,Arithmetic point concept independent of special variable
Punkt / Punktgruppe,punto / grupo de puntos,点 / 点群,Geometric correspondence with prime ideals and ideals
Polygon / Divisor,polígono (divisor),多角形（除数）,Historical D.-W. term; retain parenthetical bridge
Restgruppe / korresiduell,grupo residual / corresidual,剰余群 / 余剰対応する,Residue theorem and Abel theorem context
Restsatz,teorema del residuo,剰余定理,Paper 14 §7; not residue field theorem
adjungierte Kurve / adjungierte Funktion,curva adjunta / función adjunta,随伴曲線 / 随伴関数,Brill-Noether geometry comparison
vollständiges lineares System,sistema lineal completo,完全線形系,Geometry/linear systems
Reduktionstheorem,teorema de reducción,還元定理,Fixed-point theorem in geometric derivation of Riemann-Roch
Riemann--Rochscher Satz,teorema de Riemann--Roch,Riemann--Roch の定理,Keep named theorem
überall endliche Integrale,integrales finitos en todas partes,いたるところ有限な積分,Existence problem/transcendental analogy
singuläre Primärzahlen,números primarios singulares,特異主数,Furtwängler/class-field analogy
Potenzreste,residuos de potencias,冪剰余,Reciprocity-law context
reziprozitätsgesetz,ley de reciprocidad,相互法則,Use for power-residue reciprocity
