source_term,spanish,japanese,notes
Körper,cuerpo,体,Noether rational-function-field context
System,sistema,系,Abstract system of functions/polynomials
lineare Schar,familia lineal,線形族,Keep as family not pencil unless geometry demands
Integritätsbereich,dominio de integridad,整性領域,Noether's integrality-domain term
relativ-ganzer Bereich,dominio relativamente entero,相対的整領域,Hilbert Problem 14 terminology
Rationalbasis,base racional,有理基底,
Minimalbasis,base mínima,最小基底,
Involutionsbasis,base de involución,インボリューション基底,
Integritätsbasis,base de integridad,整性基底,
ganze rationale Funktion,función racional entera,整有理関数,Polynomial/integral-rational function
ganz rational,racional entero,整有理,Paper 07-08 invariant theory usage
ganzzahlig,entero / con coeficientes enteros,整数係数 / 整数上整,Distinguish from ganze rationale in §§14-15
Abbildungsbereich,dominio de aplicación,写像領域,
erster Art,de primera especie,第一種,
regulär,regular,正則,
Grundpunkt,punto fundamental,基本点,
Resultante,resultante,終結式,
endliche Gruppe,grupo finito,有限群,Paper 07
Invariant,invariante,不変式,Invariant-theory context
Galoissche Resolvente,resolvente de Galois,Galois resolvent,Keep Galois resolvent in JA Latin phrase when attached to formula
vollständiges System,sistema completo,完全系,Invariant full system
Potenzsumme,suma de potencias,冪和,Paper 07 power sums
Grundform,forma fundamental,基本形式,Paper 08
Polarprozeß / Polarprozess,proceso polar,極化過程,Paper 08
lineare Familie,familia lineal,線形族,Paper 08; same register as lineare Schar when abstract
Rang,rango,階数,Linear-family rank
Reihenentwicklung,desarrollo en serie,級数展開,Paper 08
Determinante,determinante,行列式,Paper 08
cogrediente Veränderliche,variables cogredientes,共変な変数,Historical invariant-theory term
ganze transzendente Zahlen,números trascendentes enteros,整超越数,Paper09 title/domain term; preserve integrality distinction
Bereich,dominio / dominio de integridad,領域 / 整域,Use dominio for Noether domain; dominio de integridad where algebraic structure explicit
Wohlordnungssatz,teorema del buen orden,整列定理,Zermelo basis construction
algebraische Basis,base algebraica,代数的基底,Basis with algebraic independence and algebraic generation
rationale Basis,base racional,有理基底,Basis for rational expression of all quantities
Basiszahlen / Basisgrößen,números de base / cantidades de base,基底数 / 基底量,Use cantidad when source moves to arbitrary fields
ganz rational,racional entero,整有理,Historical phrase for integral rational quantities/functions
algebraisch-ganz,algebraicamente entero,代数的に整,Keep separate from merely integral/rationally integral
rational gebrochen,racionalmente fraccionario,有理的に分数的,Fractions relative to rational-function domain
algebraisch gebrochen,algebraicamente fraccionario,代数的に分数的,Fractions relative to algebraic-integral closure
zulässiges System,sistema admisible,可容系,Systems adjoined under side condition
Nebenbedingung,condición lateral / condición adicional,付帯条件,Side condition for rational basis/admissible systems
Durchschnitt,intersección,交わり,For classes/domains in §8-§9
Klasse,clase,類,Isomorphism class of domains
echter Teiler,divisor propio / factor propio,真の因子,Noether uses divisor/part language for isomorphic subdomain
Primkörper,cuerpo primo,素体,§10 arbitrary field generalization
absolut algebraischer Körper,cuerpo absolutamente algebraico,絶対代数体,§10 algebraically closed field generalization
Charakteristik,característica,標数,§10 field characteristic
isomorphe Abbildung,aplicación isomorfa,同型写像,Paper 10 title/core term; keep mapping language rather than category-theoretic modernism.
Funktionalgleichungen,ecuaciones funcionales,関数方程式,Paper 10 title/core term.
eindeutig / ein-eindeutig,unívoco / biunívoco,一価 / 一対一,Distinguish single-valued from one-to-one.
umkehrbar eindeutig,biyectivo / biunívoco,一対一対応,Use when inverse uniqueness is explicit.
Abschnittskörper,cuerpo de segmento,切片体,Keep literal Noether construction term.
Abbildungskörper,cuerpo de imagen,像の体,Image field under the isomorphic mapping.
extrem unstetig,extremadamente discontinuo,極端に不連続,Hamel/Noether discontinuity terminology.
lineare Mannigfaltigkeit,variedad lineal,線形多様体,Do not modernize to manifold in the differential-geometric sense.
Wohlordnung,buen orden / orden bien fundado,整列,Use buen orden in running Spanish prose.
vorgeschriebene Gruppe,grupo prescrito,指定された群,Paper 11 title/core term.
Parameterdarstellung,representación paramétrica,パラメータ表示,Do not modernize to moduli map; Noether coefficient-parametrization.
Rationalitätsbereich,campo de racionalidad / dominio de racionalidad,有理性領域,Use campo in Spanish where field structure explicit.
Lagrangescher Gattungsbereich,Gattungsbereich lagrangiano,Lagrange の Gattungsbereich,Historical term retained with explanatory phrase.
Invariantenkörper,cuerpo de invariantes,不変体,Paper 11 invariant field of a permutation group.
Minimalbasis,base mínima,最小基底,Reaffirm from earlier rational-function-field papers.
natürliche Irrationalitäten,irracionalidades naturales,自然な無理性,Historical Galois terminology for root functions belonging to group.
Affekt,afecto,Affekt,Preserve historical term; Japanese keeps German loan in roman script.
affektlos,sin afecto,Affekt をもたない,Do not flatten to generic unramified/unaffected.
Tschirnhaustransformation,transformación de Tschirnhaus,Tschirnhaus 変換,Paper 11 reduction of second-highest term.
Vierergruppe,grupo de Klein de orden cuatro,四元群,Context is Klein four group.
Achtergruppe,grupo octavo / grupo de orden ocho,八元群,Historical group of order eight.
Ergänzungsdarstellung,representación complementaria,補足表示,Used for singular values not covered by parametrization.
Differentialausdruck,expresión diferencial,微分式,Paper12 core term; arbitrary analytic function of variables and differentials.
Differentialform,forma diferencial,微分形式,Quadratic/homogeneous differential forms context.
projektive Invariante,invariante proyectiva,射影不変量,Invariants under all linear transformations of first differentials.
Reduktionssatz,teorema de reducción,還元定理,Noether’s reduction of differential invariant theory to projective invariant theory.
invariante Bildung,formación invariante,不変な構成,Preserve Bildung as constructive formation.
Differentiationsprozess,proceso de diferenciación,微分過程,Invariant differentiation processes.
Variationsprozess,proceso de variación / proceso variacional,変分過程,Keep distinct from ordinary derivative.
Normalkoordinaten,coordenadas normales,正規座標,Riemann normal coordinates.
Extremale,extremal,極値曲線,Variational extremal; Spanish noun “extremal”.
Grundfunktion,función fundamental,基本関数,Fundamental function in complete system.
kovariante Ableitung,derivada covariante,共変導関数,Covariant derivative of fundamental functions.
kogredient,cogrediente,共変的,Use historical invariant-theory register.
Polare,polar,極化形,Polars as projective invariants.
Polarprozess,proceso polar,極化過程,Process in highest-order terms.
Integrabilitätsbedingung,condición de integrabilidad,可積分条件,No special integrability conditions required.
Krümmungsform,forma de curvatura,曲率形式,Riemannian curvature form [Omega_2].
affine Gruppe,grupo afín,アフィン群,Target of homogenization for nonhomogeneous functions.
Variationsproblem / Variationsprobleme,problema variacional / problemas variacionales,変分問題,Keep mathematical-adjectival force; do not paraphrase as mere optimization problem.
invariant / Invariante,invariante / invariante,不変 / 不変量,Use noun/adjective distinction according to syntax.
Transformationsgruppe,grupo de transformaciones,変換群,Lie-theoretic technical term.
endliche kontinuierliche Gruppe,grupo continuo finito,有限連続群,"Finite number of parameters, not finite cardinality."
unendliche kontinuierliche Gruppe,grupo continuo infinito,無限連続群,Infinite continuous group depending on arbitrary functions.
willkürliche Funktionen,funciones arbitrarias,任意関数,Retain arbitrary-function terminology.
Lagrangesche Ausdrücke,expresiones lagrangianas,ラグランジュ式,Euler-Lagrange expressions in Noether terminology.
Divergenzrelationen,relaciones de divergencia,発散関係,Relations obtained as divergences.
Abhängigkeiten,dependencias,従属関係,Dependencies among Euler-Lagrange expressions.
Erhaltungssätze,leyes de conservación,保存則,Conservation laws.
eigentliche / uneigentliche,propias / impropias,真性 / 非真性,For conservation/energy-law distinction.
Verschiebungsgruppe,grupo de traslaciones,平行移動群,Translation group.
allgemeine Relativität,relatividad general,一般相対性,Noether’s widened sense is noted in the final paragraph.
