"field","value"
"packet_path","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_7B77DA5B_EB15_BRANCH_VISIBILITY_SOURCE_USE_GAP_AUDIT_20260706\R3_7B77DA5B_EB15_BRANCH_VISIBILITY_SOURCE_USE_GAP_AUDIT_20260706_20260706T210933Z"
"prior_frontier","eb15c5dd5c0da522921a0342911aeb804c8cc3f4"
"current_frontier","7b77da5b876cad312a205bfdc0278659497c3dd8"
"branch_delta_rows","66"
"branch_visible_732b_files","25"
"branch_local_hash_matches","25"
"branch_local_hash_mismatches","0"
"r3_source_fact_change","false"
"new_generated_draft_rows","false"
"language_lane_git_push","false"
