"priority","status","paper","printed_page_or_band","last_seen_or_fixed_in","error_class","old_or_bad_reading","source_backed_reading","what_this_means","next_action","evidence"
"P0","closed_source_backed_patch_survives_current_complete_page_reconciliation","P03","103","RA57; R273 survival; LocalCodex 2026-07-18 current-head reconciliation","inequality in linked rho-index constraint after formula (2)","\rho=\sum_{i=1}^{k}\rho_i<n","\rho=\sum_{i=1}^{k}\rho_i\le n","The strict inequality changes the admissible boundary case and was a genuine mathematical transcription error; the corrected non-strict inequality survives the live cumulative.","Keep `\le n` as a sentinel in future cumulative comparisons; reopen only on a direct source contradiction.","P03_source_p103_formula1_formula2_LABELLED_1000dpi_inspection.png; p03_RA57_confirmed_fixes.csv; current TeX line 3551"
"P0","closed_source_backed_patch_survives_exact_current_body","P06","167","LocalCodex 2026-06-29 complete-page audit; 2026-07-18 body survival","substitution-index drift","[h(x)]_{x_3=0}","[h(x)]_{x_4=0}","The substituted coordinate identifies a different specialization; this was a real mathematical error, not typography.","Retain x_4=0 as a current-head sentinel.","P06_FIX_003; P06_p167_footnote_substitution_fullwidth_1000dpi.png; P06_CURRENT_SURVIVAL_SUMMARY_20260718.csv"
"P0","closed_source_backed_patch_survives_exact_current_body","P06","174","LocalCodex 2026-06-29 complete-page audit; 2026-07-18 body survival","starred-versus-unstarred side-condition collapse","two conditions H^*(xi) != 0","two conditions H(xi) != 0","The equation uses starred functions but the nonvanishing hypothesis is on unstarred H; flattening the star changes the condition.","Retain the mixed starred-equation/unstarred-condition structure.","P06_FIX_004-005; P06_p174_lower_conjugate_equations_Hstar_check_1000dpi.png; P06_CURRENT_SURVIVAL_SUMMARY_20260718.csv"
"P0","closed_source_backed_patch_survives_exact_current_body","P06","185","LocalCodex 2026-06-29 complete-page audit; 2026-07-18 body survival","broken OCR/encoding in variable family","corrupted x_1...x_(fragment)","x_1\rcdots x_\rho","The corruption obscured the complete polynomial variable range in a theorem argument.","Retain the x_1 through x_rho family and watch for encoding fragments in adjacent dense prose.","P06_FIX_007; P06_p185_top_x1_cdots_xrho_sentence_1000dpi.png; P06_CURRENT_SURVIVAL_SUMMARY_20260718.csv"
"P0","closed_source_backed_patch_survives_exact_current_body","P06","195","Web R286 hard-locus audit; local survival; 2026-07-18 exact body comparison","missing function arguments and denominator in formula","regressed no-argument or incomplete F(x) form","F(x)=Gamma(H_1(x)\rcdots H_sigma(x))/i","The repaired formula restores both the argument family and divisor; it is a known regression sentinel.","Retain the complete formula and compare it after every future cumulative merge.","Web R286; current TeX line 5770; P06_CURRENT_SURVIVAL_SUMMARY_20260718.csv"
"P1","closed_source_backed_notation_repairs_survive_exact_current_body","P06","164;166;178","LocalCodex 2026-06-29 complete-page tranches; 2026-07-18 body survival","compact argument notation and display separator","comma lists / comma separator","source dotted argument notation / semicolon between g-blocks","These marks encode source grouping and must not be normalized globally.","Preserve locally; no blind punctuation replacement.","P06_FIX_001-002 and P06_FIX_006; P06_CURRENT_SURVIVAL_SUMMARY_20260718.csv"
"P0","closed_best_available","P15","148","Web R780; carried into R794/R795/R796","math exponent","F=c\\,\\xi_{12}^\\nu ; c\\,(12)^\\nu","F=c\\,\\xi_{12}^x ; c\\,(12)^x","P15 had a real math exponent error, fixed during the full P15 audit.","Treat P15 as closed unless later evidence contradicts it.","R794 web_R780_P15P30_evidence/P15/P15_confirmed_fixes_R780_web.csv"
"P2","closed_source_reopened","P40","515","Local CO-20260705-044 after R546 archaeology conflict","punctuation/source syntax","wird nichtkommutativ, behandelt, vermöge","wird nichtkommutativ behandelt, vermöge","This is not a mathematical symbol error, but it is an archaeology/process failure: an earlier source-backed comma repair was wrong because the decisive check needed the full page rather than a misleading crop.","Treat as a process lesson and keep R546's full-page source witness linked; do not resurrect CO-039 comma.","R546 `P40_p515_GDZ400_fullres.jpg`; current TeX line 19153"
"P1","closed_corrected_correction_compile_ok","P24","260","R580/R636 conflict resolved by local visual source reread; CO-20260705-048 supersedes CO-20260705-046","exponent-family drift in dense inline proof chain","V_i^{\\rho}D^{(i)}","V_i^{\\sigma}D^{(i)}","The earlier CO-046 was wrong: the R636 crop label said rho, but the printed glyph is sigma. R580's wider p260 source context and the R636 image itself both support `V_i^{\\sigma}D^{(i)}`. The `x_i^l` reading remains source-supported and `x_i^{e_i}` remains rejected.","Keep sigma as controlling source reading. Treat this as a process lesson: do not trust crop labels over the visible glyph. XeLaTeX passed twice after the correction.","R580 P24_p260_bottom_formula_context_x2_source.png; R636_P24_p260_c02_UV_denominator_inline_chain_LABELLED_1000dpi.png; current TeX line 14159"
"P0","closed_best_available","P15","149","Local R793; carried into R794/R795/R796","missing multiplication dot","\\xi_{34}F_1(\\xi_{ik})","\\xi_{34}\\cdot F_1(\\xi_{ik})","P15 p149 had real product-dot omissions in two formula loci.","No next work unless contradiction appears.","Noether_R794.../1/03_audit/confirmed_fixes_R793.csv"
