"lane","target_language_or_access_target","source_title","source_author_or_owner","topic_tags","evidence_tier","source_type","source_url","local_path","license_or_access_signal","sha256_or_other_hash","byte_count","source_language","is_target_language_witness","is_source_level_tex_or_archive","is_pdf_docx_or_text_fallback","gap_or_blocker_note","non_claim_boundary","upload_policy","rechecked_context"
"Romance source-canon lane","French","Constructions cachees en algebre abstraite. Dimension de Krull Going Up Going Down","Thierry Coquand; Henri Lombardi","commutative_algebra; algebra; commutative algebra; ring; ideal; field; localization; noetherian context","A","TeX source package","https://arxiv.org/e-print/1712.04728v2","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\downloaded_source_packages\french\1712.04728v2.source","arXiv HTML license href http://arxiv.org/licenses/nonexclusive-distrib/1.0/; TeX href /src/1712.04728; arXiv API license field blank; no license-clearance claim","4e8738d5d6d6f450809cc2d2691c8780c6a854baa848a1c08524354340a179a8","68106","French","true","true","false","Not invariant theory; source witness only","draft/non-canonical; not native reviewed; not approved; no term promotion; no license clearance; no gate promotion; no Git push from language lane","local path/hash recorded; language lane does not push; payload only through dedicated B3 gated source-canon artifact","AGENTS.md; .github/copilot-instructions.md; source-canon steering record; parent consolidation ledger; B3 run log; interlanguage priority ledger; CJK source-canon gap ledger; repo noether-slavic-source-canon shelves; 2026-07-04 Romance access/license URL refresh; 2026-07-04 Romance license-terms deepening pass; 2026-07-04 French course-PDF license gap probe"
"Romance source-canon lane","French","Algebres amassees et applications","Bernhard Keller","algebra_representation; algebra; module; representation; tensor product register","A","TeX source package","https://arxiv.org/e-print/0911.2903v2","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\downloaded_source_packages\french\0911.2903v2.source","arXiv HTML license href http://arxiv.org/licenses/nonexclusive-distrib/1.0/; TeX href /src/0911.2903; arXiv API license field blank; no license-clearance claim","831793f96ff067f08f9948bace45e5d02d37773f58a9edef46e76e3c1686186c","46497","French","true","true","false","Domain-adjacent; not Noether corpus source alone","draft/non-canonical; not native reviewed; not approved; no term promotion; no license clearance; no gate promotion; no Git push from language lane","local path/hash recorded; language lane does not push; payload only through dedicated B3 gated source-canon artifact","AGENTS.md; .github/copilot-instructions.md; source-canon steering record; parent consolidation ledger; B3 run log; interlanguage priority ledger; CJK source-canon gap ledger; repo noether-slavic-source-canon shelves; 2026-07-04 Romance access/license URL refresh; 2026-07-04 Romance license-terms deepening pass; 2026-07-04 French course-PDF license gap probe"
"Romance source-canon lane","French","Extensions des modules de dimension finie pour les algebres de courants tordues","Jean Auger","representation_modules; module; representation; automorphism; semisimple; completely reducible; produit tensoriel","A","TeX source package","https://arxiv.org/e-print/1508.04495v1","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\downloaded_source_packages\french\1508.04495v1.source","arXiv HTML license href http://arxiv.org/licenses/nonexclusive-distrib/1.0/; TeX href /src/1508.04495; arXiv API license field blank; no license-clearance claim","25172cba6ec3b7e87a79e7c53ca0f29c29e05478f693375628e44ba969fb669c","135063","French","true","true","false","Does not unblock Noether tensor corpus row without German anchor","draft/non-canonical; not native reviewed; not approved; no term promotion; no license clearance; no gate promotion; no Git push from language lane","local path/hash recorded; language lane does not push; payload only through dedicated B3 gated source-canon artifact","AGENTS.md; .github/copilot-instructions.md; source-canon steering record; parent consolidation ledger; B3 run log; interlanguage priority ledger; CJK source-canon gap ledger; repo noether-slavic-source-canon shelves; 2026-07-04 Romance access/license URL refresh; 2026-07-04 Romance license-terms deepening pass; 2026-07-04 French course-PDF license gap probe"
"Romance source-canon lane","French","Sur la noetherianite locale des foncteurs polynomiaux","Aurelien Djament; Antoine Touze","noetherian_functors; noetherian; finitely generated; commutative ring; tensor product context","A","TeX source package","https://arxiv.org/e-print/2211.16134v2","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\downloaded_source_packages\french\2211.16134v2.source","arXiv HTML license href http://arxiv.org/licenses/nonexclusive-distrib/1.0/; TeX href /src/2211.16134; arXiv API license field blank; no license-clearance claim","97da3f0c5d0fc77dad4e4de33c9e34b04c2239c9f392e7f404640ea1dd021fae","16474","French","true","true","false","Functor-category domain; not classical invariant theory","draft/non-canonical; not native reviewed; not approved; no term promotion; no license clearance; no gate promotion; no Git push from language lane","local path/hash recorded; language lane does not push; payload only through dedicated B3 gated source-canon artifact","AGENTS.md; .github/copilot-instructions.md; source-canon steering record; parent consolidation ledger; B3 run log; interlanguage priority ledger; CJK source-canon gap ledger; repo noether-slavic-source-canon shelves; 2026-07-04 Romance access/license URL refresh; 2026-07-04 Romance license-terms deepening pass; 2026-07-04 French course-PDF license gap probe"
"Romance source-canon lane","French","Revetements etales et groupe fondamental SGA 1","Alexander Grothendieck; Michele Raynaud","algebraic_geometry_foundations; ring; field; module; tensor product; localization register","A","TeX source package","https://arxiv.org/e-print/math/0206203v2","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\downloaded_source_packages_expanded\french\math_0206203v2.source","arXiv HTML license href http://arxiv.org/licenses/assumed-1991-2003/; TeX href /src/math/0206203; arXiv API license field blank; no license-clearance claim","0a33c9c06908705a2525690faae02f6f07980a4aa069a8b6cff9b1d9bc39acd3","324080","French","true","true","false","Very broad; not Noether-specific","draft/non-canonical; not native reviewed; not approved; no term promotion; no license clearance; no gate promotion; no Git push from language lane","local path/hash recorded; language lane does not push; payload only through dedicated B3 gated source-canon artifact","AGENTS.md; .github/copilot-instructions.md; source-canon steering record; parent consolidation ledger; B3 run log; interlanguage priority ledger; CJK source-canon gap ledger; repo noether-slavic-source-canon shelves; 2026-07-04 Romance access/license URL refresh; 2026-07-04 Romance license-terms deepening pass; 2026-07-04 French course-PDF license gap probe"
"Romance source-canon lane","French","Algebres simples centrales sur les corps de fonctions de deux variables","Jean-Louis Colliot-Thelene","algebras_fields_groups; algebra; field; tensor product; algebraic groups","A","TeX source package","https://arxiv.org/e-print/math/0507070v1","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\downloaded_source_packages_expanded\french\math_0507070v1.source","arXiv HTML license href http://arxiv.org/licenses/assumed-1991-2003/; TeX href /src/math/0507070; arXiv API license field blank; no license-clearance claim","d8e3ab3651da332ce65e5f3c634aac15805751c086af8e4b683e0f254b09d957","40193","French","true","true","false","Adjacent algebra source","draft/non-canonical; not native reviewed; not approved; no term promotion; no license clearance; no gate promotion; no Git push from language lane","local path/hash recorded; language lane does not push; payload only through dedicated B3 gated source-canon artifact","AGENTS.md; .github/copilot-instructions.md; source-canon steering record; parent consolidation ledger; B3 run log; interlanguage priority ledger; CJK source-canon gap ledger; repo noether-slavic-source-canon shelves; 2026-07-04 Romance access/license URL refresh; 2026-07-04 Romance license-terms deepening pass; 2026-07-04 French course-PDF license gap probe"
"Romance source-canon lane","French","ACGA-cours 2024-2025","Christophe Mourougane","hilbert_basis_noetherian; Hilbert basis theorem; noetherian ring","C","PDF plus extracted text","https://perso.univ-rennes1.fr/christophe.mourougane/enseignements/2024-25/ACGA/ACGA-cours.pdf","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\added_sources\french\mourougane_acga_cours_2024_25.pdf","Mourougane 2024-25 ACGA course page links Poly de cours; direct PDF HTTP 200; local pdftotext/mutool probe found 0 rights/license/CC/copyright/reuse-term hits in PDF text+metadata; metadata shows LaTeX/pdfTeX only; license not found; no license-clearance claim","c3c2588f0ab62edcb4a8dbf2014afe5dc5f8b8fc1d54c595a29fdc016aa93dd6","586160","French","true","false","true","PDF/text fallback; no TeX/source package verified; explicit rights/license gap retained after course-page, text, and metadata probe","draft/non-canonical; not native reviewed; not approved; no term promotion; no license clearance; no gate promotion; no Git push from language lane","local path/hash recorded; language lane does not push; payload only through dedicated B3 gated source-canon artifact","AGENTS.md; .github/copilot-instructions.md; source-canon steering record; parent consolidation ledger; B3 run log; interlanguage priority ledger; CJK source-canon gap ledger; repo noether-slavic-source-canon shelves; 2026-07-04 Romance access/license URL refresh; 2026-07-04 Romance license-terms deepening pass; 2026-07-04 French course-PDF license gap probe"
"Romance source-canon lane","French","Invariants de plusieurs formes binaires","Michel Brion","invariant_theory; invariant; covariant; binary forms","C","PDF","https://www.numdam.org/item/?id=BSMF_1982__110__429_0","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260630T065920Z_french_spanish_invariant_hardterm_evidence\downloads\french\fr_numdam_brion_invariants_binary_forms.pdf","Numdam article metadata/page verified; Numdam terms state metadata CC0 and full-text files downloadable individually for research or educational purpose, while posting does not transfer authorization and third-party upload requires contractual/explicit agreement; no license-clearance claim","5225812d2f3a7e93ee196ea64c5c841bba8d436ada50fb6ebc9345e03520b0c0","1263006","French","true","false","true","PDF fallback; Numdam access terms recorded; no TeX/source archive found here; no third-party upload clearance","draft/non-canonical; not native reviewed; not approved; no term promotion; no license clearance; no gate promotion; no Git push from language lane","local path/hash recorded; language lane does not push; payload only through dedicated B3 gated source-canon artifact","AGENTS.md; .github/copilot-instructions.md; source-canon steering record; parent consolidation ledger; B3 run log; interlanguage priority ledger; CJK source-canon gap ledger; repo noether-slavic-source-canon shelves; 2026-07-04 Romance access/license URL refresh; 2026-07-04 Romance license-terms deepening pass; 2026-07-04 French course-PDF license gap probe"
"Romance source-canon lane","French","Note sur les residus des invariants et covariants des formes binaires","R. Perrin","invariant_theory_historical; invariant; covariant; binary forms","C","PDF","https://www.numdam.org/articles/10.24033/bsmf.260/","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260630T065920Z_french_spanish_invariant_hardterm_evidence\downloads\french\fr_numdam_perrin_binary_forms_1883.pdf","Numdam article metadata/page verified; Numdam terms state metadata CC0 and full-text files downloadable individually for research or educational purpose, while posting does not transfer authorization and third-party upload requires contractual/explicit agreement; no license-clearance claim","df49d087148358a10e8bb40443ab98b7c28b1c33ae1cb790ff8606f75646990a","1362844","French","true","false","true","PDF fallback; historical register; Numdam access terms recorded; no TeX/source archive found here; no third-party upload clearance","draft/non-canonical; not native reviewed; not approved; no term promotion; no license clearance; no gate promotion; no Git push from language lane","local path/hash recorded; language lane does not push; payload only through dedicated B3 gated source-canon artifact","AGENTS.md; .github/copilot-instructions.md; source-canon steering record; parent consolidation ledger; B3 run log; interlanguage priority ledger; CJK source-canon gap ledger; repo noether-slavic-source-canon shelves; 2026-07-04 Romance access/license URL refresh; 2026-07-04 Romance license-terms deepening pass; 2026-07-04 French course-PDF license gap probe"
"Romance source-canon lane","French","Theorie geometrique des invariants","Julien Marche","geometric_invariant_theory; geometric invariant theory; quotient; reductive group; representation; Hilbert-Mumford","C","PDF","https://webusers.imj-prg.fr/~julien.marche/M2/GIT.pdf","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260630T065920Z_french_spanish_invariant_hardterm_evidence\downloads\french\fr_marche_git_notes.pdf","Marche M2 teaching page links Notes de cours for Theorie geometrique des invariants; direct PDF HTTP 200; page separately marks some references a ne pas diffuser; local pdftotext/mutool probe found 0 rights/license/CC/copyright/reuse-term hits in GIT PDF text+metadata; license not found; no license-clearance claim","8731e06f40b8354d58d6d938418d6e061a81af1efda2d4524dddaf1b6084c384","453824","French","true","false","true","PDF fallback; no TeX/source archive verified; explicit rights/license gap retained after course-page, text, and metadata probe","draft/non-canonical; not native reviewed; not approved; no term promotion; no license clearance; no gate promotion; no Git push from language lane","local path/hash recorded; language lane does not push; payload only through dedicated B3 gated source-canon artifact","AGENTS.md; .github/copilot-instructions.md; source-canon steering record; parent consolidation ledger; B3 run log; interlanguage priority ledger; CJK source-canon gap ledger; repo noether-slavic-source-canon shelves; 2026-07-04 Romance access/license URL refresh; 2026-07-04 Romance license-terms deepening pass; 2026-07-04 French course-PDF license gap probe"
