row_type,lane,row_id,draft_support_or_source_state,evidence_basis,current_status,promotion_allowed,next_gate
support,Malay-Indonesian,theorem_label,teorem/teorema,"60-term spine count 74/125/0; variant split",reviewer_switch_card_only,false,"scope-specific reviewer return"
support,Malay-Indonesian,proof_label,bukti/pembuktian,"60-term spine count 40/20/0; shared proof row",draft_support_only,false,"reviewer return before Noether prose"
support,Malay-Indonesian,definition_label,definisi/takrif,"60-term spine count 84/10/0; variant split",reviewer_switch_card_only,false,"scope-specific reviewer return"
support,Malay-Indonesian,function,fungsi,"60-term spine count 19/463/1",draft_support_only,false,"source class and reviewer return"
support,Malay-Indonesian,mapping,pemetaan,"60-term spine count 34/32/0",draft_support_only,false,"source class and reviewer return"
support,Malay-Indonesian,set,himpunan,"60-term spine count 206/0/0",indonesian_strong_malay_gap,false,"Malay higher-algebra witness or reviewer return"
support,Malay-Indonesian,element,unsur/elemen,"60-term spine count 166/62/0",variant_pair_required,false,"scope-specific reviewer return"
support,Malay-Indonesian,ring,gelanggang,"60-term spine count 490/42/0; expansion strengthens gelanggang/ring",draft_support_only,false,"reviewer confirmation and local source class"
support,Malay-Indonesian,field,lapangan/medan,"60-term spine count 24/87/0",high_risk_variant_pair,false,"semantic and register review"
support,Malay-Indonesian,ideal,ideal/unggulan,"60-term spine count 353/40/5; PRPM/UKM/JQMA support remains high-risk",high_risk_variant_pair,false,"algebra and Malay/Indonesian register review"
support,Malay-Indonesian,prime_ideal,ideal prima/unggulan perdana,"60-term spine count 44/2/0",variant_pair_required,false,"Malay higher-algebra prose or reviewer return"
support,Malay-Indonesian,maximal_ideal,ideal maksimal/unggulan maksimum,"60-term spine count 57/2/0",variant_pair_required,false,"Malay higher-algebra prose or reviewer return"
support,Malay-Indonesian,module,modul,"60-term spine count 13/12/0; expansion adds Indonesian Noetherian module evidence",draft_support_only,false,"Malay specialist prose"
support,Malay-Indonesian,module_over_ring,modul atas gelanggang,"official/higher-algebra expansion reports glossary mirror and Indonesian prose",source_pointer_support,false,"live official retry or reviewer acceptance of mirror"
support,Malay-Indonesian,homomorphism,homomorfisma/homomorfisme,"60-term spine count 47/6/0",variant_spelling,false,"reviewer spelling/scope decision"
support,Malay-Indonesian,isomorphism,isomorfisma/isomorfisme,"60-term spine count 17/6/0",draft_support_only,false,"reviewer spelling/scope decision"
support,Malay-Indonesian,polynomial,polinomial,"60-term spine count 33/32/0",draft_support_only,false,"reviewer decision on explanatory sidecar"
support,Malay-Indonesian,quotient_factor_ring,hasil bagi/kuosien; gelanggang faktor/ring faktor,"60-term spine rows 14/14/0 and 25/0/0",reviewer_prompt_only,false,"Malay algebra prose witness"
support,Malay-Indonesian,Noetherian,Noetherian/Noether; gelanggang Noether,"60-term spine count 66/0/0; expansion adds Indonesian support",indonesian_source_pointer,false,"Malay/Brunei/Singapore exact witness"
support,Malay-Indonesian,determinant,determinan/penentu,"official/higher-algebra expansion upgrades terminology support",specialist_flag_only,false,"algebra/proof prose and reviewer return"
