row_id,lane,row_type,coverage_state,covered_by,exact_evidence_basis,allowed_use,blocker_or_next_gate,promotion_allowed
theorem_label,Malay-Indonesian,draft_support,covered_by_micro_passage,MI-MP-01,"Neliti lines 387-390; 60-term spine theorem counts","theorem/proof-order reviewer prompt","reviewer/source return required before final prose",false
proof_label,Malay-Indonesian,draft_support,covered_by_micro_passage,MI-MP-01,"Neliti line 390; UKM lines 66-68","proof-opening reviewer prompt","reviewer/source return required before final prose",false
definition_label,Malay-Indonesian,draft_support,covered_by_micro_passage,MI-MP-02,"UIN lines 146-160; UKM lines 66 and 1044","definition/takrif opener in review packet","surface choice not reviewer-cleared",false
function,Malay-Indonesian,draft_support,covered_by_micro_passage,MI-MP-03,"UKM lines 890-893; 60-term spine counts","formula-adjacent support and search","reviewer/source return required before final prose",false
mapping,Malay-Indonesian,draft_support,covered_by_micro_passage,MI-MP-03,"Indonesian glossary lines 369 and 1133; 60-term spine counts","mapping/function paired search","fungsi/pemetaan scope unresolved",false
set,Malay-Indonesian,draft_support_with_blocker,covered_by_expanded_slice,MI-EXP-01,"UIN lines 183-188; 60-term spine marks Malay-side gap","membership and set-equality probes","Malay higher-algebra witness needed",false
element,Malay-Indonesian,draft_support_with_blocker,covered_by_expanded_slice,MI-EXP-01,"Neliti proof context line 598; 60-term spine paired row","membership probe","unsur/elemen surface choice not cleared",false
ring,Malay-Indonesian,draft_support,covered_by_micro_passage,MI-MP-04,"Neliti lines 53 and 85-88; UKM JQMA lines 6 and 22-28","core algebra support card","reviewer/source return required before final prose",false
field,Malay-Indonesian,high_risk_draft_support,covered_by_expanded_slice,MI-EXP-02,"Neliti lines 98 and 382; UKM lines 1278, 1317-1318, 1654; glossary line 3983","paired field search probe","lapangan/medan review required",false
ideal,Malay-Indonesian,high_risk_draft_support,covered_by_micro_passage,MI-MP-04,"Neliti line 53; UKM JQMA lines 22-28","side-by-side ideal/unggulan review card","ideal/unggulan high-risk; no Brunei/Singapore transfer",false
prime_ideal,Malay-Indonesian,high_risk_draft_support,covered_by_expanded_slice,MI-EXP-03,"UNHAS lines 4,15-19,42; glossary lines 759 and 7706","Indonesian source/proof alignment and paired reviewer card","Malay prime/unggulan surface missing review",false
maximal_ideal,Malay-Indonesian,high_risk_draft_support,covered_by_expanded_slice,MI-EXP-03,"UNHAS lines 4,15-19,53,177; glossary line 6025","Indonesian source/proof alignment and paired reviewer card","Malay maximal/unggulan surface missing review",false
module,Malay-Indonesian,draft_support_with_blocker,covered_by_expanded_slice,MI-EXP-04,"Neliti lines 73-76; UNRAM lines 37-40 and 67-70","Indonesian module/Noetherian source probing","Malay/Brunei/Singapore module prose not cleared",false
module_over_ring,Malay-Indonesian,draft_support_with_blocker,covered_by_expanded_slice,MI-EXP-04,"UNRAM lines 37-40 and 67-70; 60-term spine module-over-ring row","source query generation","module-over-ring exact Malay prose missing",false
homomorphism,Malay-Indonesian,draft_support_with_blocker,covered_by_expanded_slice,MI-EXP-05,"UKM lines 1640-1643; glossary lines 4752-4759","paired spelling/register switch card","homomorfisma/homomorfisme final spelling not cleared",false
isomorphism,Malay-Indonesian,draft_support_with_blocker,covered_by_expanded_slice,MI-EXP-05,"UKM lines 1640-1641; glossary line 5383","paired spelling/register switch card","isomorfisma/isomorfisme final spelling not cleared",false
polynomial,Malay-Indonesian,draft_support,covered_by_expanded_slice,MI-EXP-06,"Neliti lines 98-101 and 388-390; UKM lines 890-893 and 1654","formula-first polynomial support","reviewer/source return required before final prose",false
quotient_factor_ring,Malay-Indonesian,high_risk_draft_support,covered_by_expanded_slice,MI-EXP-06,"Neliti lines 101,160,227; UKM line 1643; glossary lines 3814,3900,8049,8074","quotient/factor-ring formula probe","hasil bagi/kuosien/gelanggang faktor/ring faktor unresolved",false
Noetherian,Malay-Indonesian,draft_support_with_blocker,covered_by_micro_passage,MI-MP-05,"Neliti lines 73-89 and 387-390; UNRAM lines 13,37-40,67-70","Indonesian Noetherian source query","Malay/Brunei/Singapore Noetherian witness absent",false
Artinian,Malay-Indonesian,source_gap_with_search_probe,covered_by_expanded_slice,MI-EXP-04,"UNRAM line 72; 60-term spine Artinian row; expansion log specialist flag","Indonesian Artin/Artinian source search","Malay witness absent; exact proof prose thin",false
determinant,Malay-Indonesian,search_probe_only,covered_by_expanded_slice,MI-EXP-07,"Indonesian glossary lines 2884-2885; UM BM line 1874","search probe and specialist reviewer question","proof prose and reviewer return missing",false
resultant,Malay-Indonesian,search_probe_only,covered_by_expanded_slice,MI-EXP-07,"Indonesian glossary line 8449; UM BM line 5548","search probe and specialist reviewer question","algebraic resultant prose missing",false
invariant,Malay-Indonesian,search_probe_only,covered_by_expanded_slice,MI-EXP-07,"Indonesian glossary lines 5175 and 5263; UM BM line 3444","search probe and specialist reviewer question","invariant-theory prose missing",false
covariant,Malay-Indonesian,search_probe_only,covered_by_expanded_slice,MI-EXP-07,"Indonesian glossary lines 2521-2526; UM BM line 1574","search probe and specialist reviewer question","specialist prose and reviewer return missing",false
brunei_dbp_exact_math_terminology,Brunei/Singapore,source_gap,covered_by_blocker,BS-GAP-01,"V4 overlay and July 3 refresh: exact rows found 0","source-gap ledger and reviewer request","Brunei DBP/MOE exact math terminology or source return needed",false
brunei_moe_math_medium_and_curriculum,Brunei/Singapore,source_gap,covered_by_blocker,BS-GAP-01,"July 3 refresh: MOE curriculum/context files but exact math terminology rows 0","context only","Brunei MOE textbook/syllabus item with Malay math terminology needed",false
singapore_malay_math_exact_content,Brunei/Singapore,source_gap,covered_by_blocker,BS-GAP-02,"July 3 refresh: exact Singapore Malay math content rows 0","source-gap ledger","Singapore item-level Malay math content or reviewer/source return needed",false
singapore_atl_current_titles,Brunei/Singapore,title_route_gap,covered_by_blocker,BS-GAP-03,"ATL title check: primary and secondary rows parsed; math/Malay overlap 0","title-route watchlist","Malay mathematics title/item content not found",false
mabbim_prpm_comparator,Comparator,comparator_only,covered_by_comparator_blocker,BS-COMP-01,"July 3 refresh: PRPM/MABBIM comparator row only","query seed and comparator note","scope-governance return required before reuse",false
filipino_tagalog_higher_algebra,SEA/Pacific,source_return,covered_by_source_return_card,SEA-SR-06,"pass2 downloaded Filipino G10 and Tagalog Grades 6-8 math glossary PDFs","glossary/source pointer","higher-algebra/proof prose missing",false
cebuano,SEA/Pacific,source_return,covered_by_source_return_card,SEA-SR-07,"pass2 captured Cebuano DepEd Math 1/2 unit pages","lower-math source locator","higher algebra/proof source missing",false
ilokano,SEA/Pacific,source_return,covered_by_blocker,SEA-SR-09,"pass2 cached math-competence context and glossary overlap","context/source locator","direct Ilokano math/STEM source missing",false
hiligaynon,SEA/Pacific,source_return,covered_by_source_return_card,SEA-SR-03,"Hiligaynon DepEd cache lines 255,370,392-393","item-detail capture target","lower-math only; higher algebra/proof source missing",false
waray,SEA/Pacific,source_return,covered_by_blocker,SEA-SR-09,"pass2 cached Waray math-medium context PDF","context row","direct Waray math/STEM material missing",false
bikol,SEA/Pacific,source_return,covered_by_blocker,SEA-SR-09,"pass2 cached Bikol language-material context","gap ledger and retry queue","direct Bikol math/STEM material missing",false
lao,SEA/Pacific,source_return,covered_by_source_return_card,SEA-SR-01 SEA-SR-02,"JICA page lines 523-524 and 538-539; Learning Passport course cards","official primary-math locator and refresh target","higher-algebra/proof prose missing; OCR/text extraction separate",false
shan,SEA/Pacific,source_return,covered_by_blocker,SEA-SR-09,"pass2 cached Shan grade-text context","source locator","higher algebra/proof source missing",false
zhuang,SEA/Pacific,source_return,covered_by_blocker,SEA-SR-09,"pass2 status row promotion_allowed=false","gap ledger and retry queue","direct Zhuang math/proof source missing",false
hmong_miao,SEA/Pacific,source_return,covered_by_source_return_card,SEA-SR-08,"pass2 downloaded Hmong Grade 4 math glossary PDF","glossary/source pointer","lower-math glossary only",false
mien_yao,SEA/Pacific,source_return,covered_by_blocker,SEA-SR-09,"pass2 cached Mien/Yao global language resource context","gap ledger and retry queue","direct math/STEM source missing",false
khmer,SEA/Pacific,source_return,covered_by_source_return_card,SEA-SR-05,"Khmer Maths24h cache lines 6,118,301,305","noncanonical source-discovery lead","third-party route; official/university provenance and exact text missing",false
mon,SEA/Pacific,source_return,covered_by_blocker,SEA-SR-09,"pass2 cached Mon language context gap page","gap ledger and retry queue","direct math/STEM source missing",false
santali_munda,SEA/Pacific,source_return,covered_by_source_return_card,SEA-SR-04,"Bharatavani cache lines 1004,1302,1305","item-detail/PDF capture target","no extracted text/PDF in lane; title-only until capture closes",false
cjk_sinosphere_crosswalk,SEA/Pacific,source_pointer,covered_by_source_pointer_blocker,SP-PTR-01,"Prompt-D R7 CJK/Tibeto-Burman/Pacific retry queue","source-pointer row","owned by CJK/native edition lanes; no Session G translation",false
thai,SEA/Pacific,source_pointer,covered_by_source_pointer_blocker,SP-PTR-02,"Prompt-D retry queue Thai source-pointer row","source-pointer row","exact Thai proof/term lane evidence not owned for translation here",false
tibetan_burmese,SEA/Pacific,source_pointer,covered_by_source_pointer_blocker,SP-PTR-03,"Prompt-D retry queue Tibetan/Burmese source-pointer row","source-pointer row","item-level exact proof/term source missing here",false
maori,SEA/Pacific,source_pointer,covered_by_source_pointer_blocker,SP-PTR-04,"Prompt-D retry queue Maori source-pointer row","source-pointer row","higher-algebra/proof evidence missing",false
samoan_tongan_hawaiian,SEA/Pacific,source_pointer,covered_by_source_pointer_blocker,SP-PTR-05,"Prompt-D retry queue Samoan/Tongan/Hawaiian source-pointer row","source-pointer row","higher-algebra/proof evidence missing",false
png_papuan,SEA/Pacific,source_pointer,covered_by_source_pointer_blocker,SP-PTR-06,"Prompt-D retry queue PNG/Papuan source-pointer row","source-pointer row","direct math/STEM/proof source missing",false
australian_indigenous,SEA/Pacific,source_pointer,covered_by_source_pointer_blocker,SP-PTR-07,"Prompt-D retry queue Australian Indigenous source-pointer row","source-pointer row","direct math/STEM/proof source missing",false
