card_id,row_type,lane,target_scope,card_kind,evidence_anchor,allowed_use,blocked_by,promotion_allowed
MI-MP-01,micro_passage_support,Malay-Indonesian,Indonesian Malay,g theorem/proof opening,"neliti_weyl_algebra_noether_prime_ring.txt lines 387-390; UKM course file lines 66-68 and 1044","theorem/proof-order testing; reviewer-packet prompt","reviewer/source gates; Brunei/Singapore exact rows remain zero",false
MI-MP-02,micro_passage_support,Malay-Indonesian,Indonesian Malay,definition/takrif opener,"uin_alauddin_struktur_aljabar_teori_ring.txt lines 146-160; UKM course file lines 66 and 1044","definition opener in review packet; corpus search","final Malay surface choice not reviewer-cleared",false
MI-MP-03,micro_passage_support,Malay-Indonesian,Indonesian Malay,function/mapping card,"UKM course file lines 890-893; indonesia_glosarium_matematika_2008_wikimedia_mirror.txt lines 369 and 1133","formula-adjacent corpus search; reviewer prompt","fungsi/pemetaan scope split unresolved",false
MI-MP-04,micro_passage_support,Malay-Indonesian,Indonesian Malay,ring/ideal high-risk card,"neliti_weyl_algebra_noether_prime_ring.txt lines 53 and 85-88; UKM JQMA file lines 6 and 22-28","side-by-side review card only","unggulan high-risk; no Brunei/Singapore transfer",false
MI-MP-05,micro_passage_support,Malay-Indonesian,Indonesian only,Noetherian ring/module probe,"neliti_weyl_algebra_noether_prime_ring.txt lines 85-88 and 387-390; indonesia_unram_semeton_noetherian_module_2025.txt lines 13,37-40,67-70","Indonesian source search and reviewer question","Malay/Brunei/Singapore Noetherian evidence absent",false
MI-MP-06,search_probe_support,Malay-Indonesian,Indonesian terminology search,specialist terminology probes,"indonesia_glosarium_matematika_2008_wikimedia_mirror.txt lines 367,369,759,1133,2521-2526,2884-2885","query construction and concordance search","proof prose and invariant/resultant/determinant specialist review missing",false
BS-GAP-01,source_gap,Brunei/Singapore,Brunei DBP,exact-content gap,"V4 overlay plus July 3 refresh: exact Brunei DBP math terminology rows found 0","source-gap ledger and reviewer request","Brunei DBP/MOE exact math terminology or reviewer/source return missing",false
BS-GAP-02,source_gap,Brunei/Singapore,Singapore Malay math,exact-content gap,"July 3 Brunei/Singapore refresh: exact Singapore Malay math content rows found 0","source-gap ledger only","Singapore Malay math item-level source missing",false
BS-GAP-03,title_route_gap,Brunei/Singapore,Singapore ATL,title-overlap watchlist,"Singapore ATL title check: math rows and Malay rows separate; overlap 0","title-route watchlist","Malay mathematics title/item content not found",false
BS-COMP-01,comparator_only,Brunei/Singapore,PRPM/MABBIM,comparator card,"PRPM/MABBIM comparator row present in July 3 refresh","comparator note and query seed","scope-governance return required before any reuse",false
SEA-SR-01,source_return,SEA/Pacific,Lao,JICA primary math locator,"lao_jica_primary_math_page.html lines 523-524 and 538-539","official primary-math source-return card","not higher algebra/proof prose; OCR/text extraction separate",false
SEA-SR-02,source_return,SEA/Pacific,Lao,Learning Passport refresh target,"lao_learningpassport_high_school_math.html line cluster 605-610 and later; cached signatures expire 2026-07-04","refresh target list","refresh/download required before text work",false
SEA-SR-03,source_return,SEA/Pacific,Hiligaynon,DepEd item-detail target,"hiligaynon_deped_math_list_match.html lines 255,370,392-393","item-detail capture target","lower-math only; no higher algebra/proof source",false
SEA-SR-04,source_return,SEA/Pacific,Santali, Bharatavani math-item target,"santali_bharatavani_math_textbook.html lines 1004,1302,1305","item-detail/PDF capture target","no extracted text/PDF in lane; title-only until capture closes",false
SEA-SR-05,source_return,SEA/Pacific,Khmer,noncanonical PDF lead,"khmer_math_books_page.html lines 6,118,301,305","noncanonical source-discovery lead","third-party route; provenance and exact text validation needed",false
SEA-SR-06,source_return,SEA/Pacific,Filipino/Tagalog,glossary PDFs,"pass2 downloaded Filipino G10 and Tagalog Grades 6-8 math glossary PDFs","glossary/source-pointer row","no higher-algebra/proof prose",false
SEA-SR-07,source_return,SEA/Pacific,Cebuano,DepEd lower-math pages,"pass2 captured Cebuano DepEd Math 1/2 unit pages","lower-math source locator","no algebra/proof source and no R7 term text extraction",false
SEA-SR-08,source_return,SEA/Pacific,Hmong/Miao,glossary PDF,"pass2 downloaded Hmong Grade 4 math glossary PDF","glossary/source-pointer row","lower-math glossary only",false
SEA-SR-09,source_gap,SEA/Pacific,Waray/Bikol/Ilokano/Shan/Mon/Mien,context-only retry card,"pass2 cached context pages or PDFs for these rows","gap ledger and retry queue","direct math/STEM language source or higher-algebra proof source missing",false
