guardrail_id,label_pattern,local_count,risk,allowed_use,required_boundary,promotion_allowed
ZR-01,Current,6,"Can be mistaken for latest/canonical authority","file state label","source/package state only; no review or public-final claim",false
ZR-02,Cumulative,7,"Can be mistaken for completed reader","file aggregation label","aggregation state only; no completed-reader authority",false
ZR-03,Checkpoint,3,"Can be mistaken for approved milestone","internal checkpoint label","checkpoint state only; no gate closure",false
ZR-04,Public,10,"Can be mistaken for public-final approval","public-safe/status label when separately supported","no community/native/external review claim",false
ZR-05,Status,7,"Can be mistaken for readiness","status reporting label","status only; no pilot or publication readiness",false
ZR-06,Summary,6,"Can compress away caveats","summary metadata label","must carry authority caveats nearby",false
ZR-07,Translation,43,"Can be mistaken for approved translation","translation-draft/file label","no canonical or review-approved translation claim",false
ZR-08,Source,16,"Can be mistaken for source replacement authority","source-baseline/reference label","source state only; no language authority",false
ZR-09,Baseline,1,"Can be mistaken for final baseline","reproducibility baseline label","baseline observation only; no replacement or approval unless separately validated",false
ZR-10,Audit,7,"Can be mistaken for passed review","audit artifact label","audit scope only; no native/community review",false
ZR-11,WebDrop,7,"Can be mistaken for release","file-transfer/package label","transfer state only; Session B owns package/release",false
ZR-12,Release,0,"No matching local key in scan but future risk remains","release coordination label","Session B only; no public-final claim without explicit release gate",false
ZR-13,Reader,0,"No matching local key in scan but future risk remains","reader/index label","reader state only; no completed-reader authority unless explicit external gate closes",false
ZR-14,Complete/Completed,0,"No matching local key in scan but R7 completion wording is nearby","internal coverage wording","R7 completion means row coverage only; no translation/review/public authority",false
