"key","value"
"parent_frontier","99be7f683c27ab351a568ca46220d6f344f0962e"
"routed_branch_frontier","2c2df6b09c48aa13b0341219929ae89ff3d5fe33"
"prior_local_frontier","5838ea80af6b99128ac8c2dd39da686d27eb0478"
"intermediate_package_import","69858e98af9cb5c503174a59ac00dd7a4a7a764f"
"current_parent_frontier","99be7f683c27ab351a568ca46220d6f344f0962e"
"olp_source_use_fable_2c2_packet","C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_2C2DF6B0_SOURCE_USE_FABLE_698_ROUTE_20260707"
"olp_interlinear_terminology_2c2_packet","C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_2C2DF6B0_INTERLINEAR_TERMINOLOGY_698_ROUTE_20260707"
"olp_review_boundary_2c2_packet","C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_2C2DF6B0_REVIEW_BOUNDARY_698_ROUTE_20260707"
"source_use_transfer_note_sha256","ADD8A2DCBC81BF6E6FDE91A7CBCF8074166B2C94B679ED1DF00FD25DAB9D1A11"
"interlinear_transfer_note_sha256","FD9630ECC41859BF05F4E34A40B5EC9DAD29227EF4F5DEECEC2D2EBF0A7FB683"
"review_boundary_transfer_note_sha256","1A87C2F169587943D4FF90A4C8A3A33302AED54663748E049AE48C4B561BC4AB"
"compare_698_to_2c2_changed_paths","28"
"compare_5838_to_2c2_changed_paths","87"
"handling","B3-safe post-99BE OLP 2C2 source-use/provenance/gap/Fable, review-only, and generated-draft/non-canonical route package set; no review/approval/license/gate/source-certification/final/translation-completion claim"
