"evidence_id","channel","concept_id","observed_form","language","script","source_title","source_path_or_uri","sha256","page","context_window","source_class","concept_match","provenance_level","review_status","permitted_uses","notes"
"P37-ZH-NAT-001","support","NOE-P37-HAUPTORDNUNG","整数环","zh-Hans-CN","Hans","HFUT algebraic number theory notes","evidence://local-workspace/interlanguage/03_projects/language_management/cjk/01_recovered_witnesses/noether_cjk_chinese_japanese_cumulative_20260702/sources/non_slavic_reference_corpus/20260628_chinese_japanese_native_math/chinese/hfut_algebraic_number_theory_notes.pdf","07E693EFBCCEBFE8AFD868C764D140F624DACD0028409B1D232F9BA068563B8D","9;13","O_K is introduced and used as the number field's ring of integers.","native_independent_target_source","exact","page_verified","context_checked","candidate_discovery;consistency_check","Supports the core form; 极大阶 remains a source-led disambiguating gloss."
"P37-ZH-NAT-002","support","NOE-P37-P-ADIC-COMPLETION","完备化","zh-Hans-CN","Hans","HFUT algebraic number theory notes","evidence://local-workspace/interlanguage/03_projects/language_management/cjk/01_recovered_witnesses/noether_cjk_chinese_japanese_cumulative_20260702/sources/non_slavic_reference_corpus/20260628_chinese_japanese_native_math/chinese/hfut_algebraic_number_theory_notes.pdf","07E693EFBCCEBFE8AFD868C764D140F624DACD0028409B1D232F9BA068563B8D","42;44;51","The notes discuss completion at valuations/places in the algebraic-number-theory register.","native_independent_target_source","exact","page_verified","context_checked","candidate_discovery;consistency_check","The p-adic modifier is source-led; the bare native headword is directly attested."
"P37-ZH-NAT-003","support","NOE-P37-LOCALIZATION-AT-PRIME","局部化","zh-Hans-CN","Hans","AlJabr-1 chapter 5","evidence://local-workspace/interlanguage/03_projects/language_management/cjk/01_recovered_witnesses/noether_cjk_chinese_japanese_cumulative_20260702/sources/non_slavic_reference_corpus/20260628_chinese_japanese_native_math/source_repositories/extracted/wenweili__AlJabr-1/AlJabr-1-master/chapter5.tex","E747D16B2EBACC95CF1C34DA4BC8B7775A5ED8787B6D1EDC2CC8E303535AC143","lines 365-386","R[S^{-1}] is defined as localization; quotient rings R/I are separately treated at lines 127-133 and 209.","native_independent_target_source","exact","line_verified","context_checked","candidate_discovery;adverse_control;consistency_check","Supports localization and rejects inherited 商环 for this source construction."
"P37-ZH-NAT-004","support","NOE-P37-GALOIS-MODULE","G-模","zh-Hans-CN","Hans","AlJabr-2 chapter 6","evidence://local-workspace/interlanguage/03_projects/language_management/cjk/01_recovered_witnesses/noether_cjk_chinese_japanese_cumulative_20260702/sources/non_slavic_reference_corpus/20260628_chinese_japanese_native_math/source_repositories/extracted/wenweili__AlJabr-2/AlJabr-2-master/chapter6.tex","AF19936498652133CA6AB203F803BD6574D0B6D6F16A3190894503F35AD57043","lines 57;76;2207","Modules over a coefficient/group action are treated explicitly; the normal-basis discussion tracks a G action.","native_independent_target_source","near","line_verified","context_checked","candidate_discovery;consistency_check","Exact 伽罗瓦模 is absent in the bounded TeX scope; source supplies the Galois qualifier."
"P37-ZH-NAT-005","support","NOE-P37-MODULE-ISOMORPHISM","模同构","zh-Hans-CN","Hans","AlJabr-2 chapter 6","evidence://local-workspace/interlanguage/03_projects/language_management/cjk/01_recovered_witnesses/noether_cjk_chinese_japanese_cumulative_20260702/sources/non_slavic_reference_corpus/20260628_chinese_japanese_native_math/source_repositories/extracted/wenweili__AlJabr-2/AlJabr-2-master/chapter6.tex","AF19936498652133CA6AB203F803BD6574D0B6D6F16A3190894503F35AD57043","lines 112;144","The contexts identify isomorphisms in the module category rather than analytic operators.","native_independent_target_source","exact","line_verified","context_checked","candidate_discovery;consistency_check","The group-ring qualifier is supplied by the Paper 37 source context."
"P37-ZH-NAT-006","support","NOE-P37-SEMISIMPLE-ALGEBRA","半单","zh-Hans-CN","Hans","AlJabr-2 chapter 2","evidence://local-workspace/interlanguage/03_projects/language_management/cjk/01_recovered_witnesses/noether_cjk_chinese_japanese_cumulative_20260702/sources/non_slavic_reference_corpus/20260628_chinese_japanese_native_math/source_repositories/extracted/wenweili__AlJabr-2/AlJabr-2-master/chapter2.tex","440C4C9E6B3BFFBAE4525D67AE1CABBCA137B63E042CF82517B682E06FDA6A79","lines 1133;1194","Semisimplicity is used in an algebra/module setting.","native_independent_target_source","exact","line_verified","context_checked","candidate_discovery;consistency_check","Source parenthesis halbeinfach and radical condition establish the exact Paper 37 sense."
"P37-ZH-NAT-007","support","NOE-P37-HYPERCOMPLEX-SCALAR-EXTENSION","有限维代数","zh-Hans-CN","Hans","AlJabr-1 chapter 7","evidence://local-workspace/interlanguage/03_projects/language_management/cjk/01_recovered_witnesses/noether_cjk_chinese_japanese_cumulative_20260702/sources/non_slavic_reference_corpus/20260628_chinese_japanese_native_math/source_repositories/extracted/wenweili__AlJabr-1/AlJabr-1-master/chapter7.tex","18C0F3C91DB7F3E4D73FB0B79E4BC719F70475E83AF3123F4B0DD0FD4E2CCEE6","lines 246;271","Finite-dimensional algebras over a field are discussed using 有限维代数.","native_independent_target_source","exact","line_verified","context_checked","candidate_discovery;consistency_check","The historical source definition at P31 lines 16678-16685 controls the reinterpretive gloss."
"P37-ZH-NAT-008","candidate","NOE-P37-WURZELZAHL-RESOLVENT","预解式","zh-Hans-CN","Hans","AlJabr-1 chapter 9","evidence://local-workspace/interlanguage/03_projects/language_management/cjk/01_recovered_witnesses/noether_cjk_chinese_japanese_cumulative_20260702/sources/non_slavic_reference_corpus/20260628_chinese_japanese_native_math/source_repositories/extracted/wenweili__AlJabr-1/AlJabr-1-master/chapter9.tex","308213DDC499FFBAC98E2E6C865F0F654C9A90B321C660211ACB1DE7B1F95957","lines 954;1155","Resolvent terminology occurs in a Galois-theory discussion.","native_independent_target_source","near","line_verified","context_checked","candidate_discovery;consistency_check","The longer selected form is formula-led and remains historically glossed."
"P37-ZH-NAT-009","support","NOE-P37-TRIVIAL-REPRESENTATION","平凡表示","zh-Hans-CN","Hans","HFUT group representation lecture","evidence://local-workspace/interlanguage/03_projects/language_management/cjk/01_recovered_witnesses/noether_cjk_chinese_japanese_cumulative_20260702/sources/non_slavic_reference_corpus/20260628_chinese_japanese_native_math/chinese/hfut_group_representation_lecture.pdf","01C390945C8795BF481E6B429B20579751075C6C712736669FCFE5854AB53C49","8;18;20","The identity-action representation is called 平凡表示.","native_independent_target_source","exact","page_verified","context_checked","candidate_discovery;consistency_check","Rejects the unitary-representation reading suggested by 单位表示."
"P37-ZH-NAT-010","support","NOE-P37-CONJUGATE-DUAL-REPRESENTATION","对偶表示","zh-Hans-CN","Hans","HFUT group representation lecture","evidence://local-workspace/interlanguage/03_projects/language_management/cjk/01_recovered_witnesses/noether_cjk_chinese_japanese_cumulative_20260702/sources/non_slavic_reference_corpus/20260628_chinese_japanese_native_math/chinese/hfut_group_representation_lecture.pdf","01C390945C8795BF481E6B429B20579751075C6C712736669FCFE5854AB53C49","6","The contragredient is named 对偶表示 (also 逆步表示).","native_independent_target_source","exact","page_verified","context_checked","candidate_discovery;consistency_check","The source character formula supplies 复共轭 and the finite-group equivalence."
