"concept_id","source_unit_id","language_tag","script_profile","term_form","register","sense_window","excluded_senses","trap_class","basin_membership","evidence_channel","source_provenance","dominant_standard_risk","dominance_debt_note","underrepresented_cohort_effect","decision_status","review_status","decision_record_path"
"NOE-P37-HAUPTORDNUNG","P31 lines 18623;18635;18642","zh-Hans-CN","Hans PRC-controlled","整数环（极大阶）","algebraic number theory","Ring of integers or maximal order of the number field k.","Group order; arbitrary nonmaximal order; bare inherited 主阶.","homograph;historical-term","modern_sino_xenic_coinage_or_calque","support;adverse","P31 exact slice plus HFUT algebraic-number-theory pp.9;13 and inherited witness","risk","PRC Mandarin-Simplified mathematical sources dominate; this evidence does not authorize zh-Hans-SG or regional zh-Hant-TW/HK/MO prose, and no numeric readiness scalar is computed.","potentially_distorted","internally_reviewed_for_use","sense_checked","decisions/NOE-P37-HAUPTORDNUNG.zh-Hans-CN.json"
"NOE-P37-P-ADIC-COMPLETION","P31 lines 18623;18635;18684;18773","zh-Hans-CN","Hans PRC-controlled","p-进完备化","algebraic number theory","Completion of k at p; corresponding scalar extension for K_p.","Arbitrary p-adic extension; localization; residue field.","sense;modern-calque","modern_sino_xenic_coinage_or_calque","support;adverse;absence","P31 exact slice plus HFUT algebraic-number-theory pp.42;44;51 and inherited witness","risk","PRC Mandarin-Simplified mathematical sources dominate; this evidence does not authorize zh-Hans-SG or regional zh-Hant-TW/HK/MO prose, and no numeric readiness scalar is computed.","potentially_distorted","internally_reviewed_for_use","sense_checked","decisions/NOE-P37-P-ADIC-COMPLETION.zh-Hans-CN.json"
"NOE-P37-LOCALIZATION-AT-PRIME","P31 lines 18629;18687;18773 and defining line 20031","zh-Hans-CN","Hans PRC-controlled","在 p 处的局部化环","commutative algebra","S^{-1}o with denominators prime to p.","Quotient R/I; residue ring; completion; inherited 商环.","false-friend;source-terminology","modern_sino_xenic_coinage_or_calque","support;adverse","P31 definition plus AlJabr-1 chapter5 lines365-386 and quotient-ring controls","risk","PRC Mandarin-Simplified mathematical sources dominate; this evidence does not authorize zh-Hans-SG or regional zh-Hant-TW/HK/MO prose, and no numeric readiness scalar is computed.","potentially_distorted","internally_reviewed_for_use","sense_checked","decisions/NOE-P37-LOCALIZATION-AT-PRIME.zh-Hans-CN.json"
"NOE-P37-GALOIS-MODULE","P31 lines 18627;18629;18657-18669;18682","zh-Hans-CN","Hans PRC-controlled","伽罗瓦模（带伽罗瓦群作用的模）","Galois module theory","Module equipped with the stated Galois-group action.","Galois group itself; module without action.","source-sense;zero-hit","modern_sino_xenic_coinage_or_calque","support;absence","P31 exact slice plus AlJabr-2 chapter6 G-module contexts; exact 71-file zero hit","risk","PRC Mandarin-Simplified mathematical sources dominate; this evidence does not authorize zh-Hans-SG or regional zh-Hant-TW/HK/MO prose, and no numeric readiness scalar is computed.","potentially_distorted","internally_reviewed_for_use","context_checked","decisions/NOE-P37-GALOIS-MODULE.zh-Hans-CN.json"
"NOE-P37-MODULE-ISOMORPHISM","P31 lines 18629;18657;18669;18682","zh-Hans-CN","Hans PRC-controlled","作为 [G]_o-模同构","integral representation theory","Isomorphism respecting the integral group-ring module structure.","Analytic operator isomorphism; inherited 算子同构 or 算子域.","false-friend;register","modern_sino_xenic_coinage_or_calque","support;adverse","P31 exact slice plus AlJabr-2 chapter6 lines112;144 and ECNU p.48","risk","PRC Mandarin-Simplified mathematical sources dominate; this evidence does not authorize zh-Hans-SG or regional zh-Hant-TW/HK/MO prose, and no numeric readiness scalar is computed.","potentially_distorted","internally_reviewed_for_use","sense_checked","decisions/NOE-P37-MODULE-ISOMORPHISM.zh-Hans-CN.json"
"NOE-P37-SEMISIMPLE-ALGEBRA","P31 lines 18637;18655;18684","zh-Hans-CN","Hans PRC-controlled","根基为零的代数（即半单代数）","finite-dimensional algebra","Algebra with zero radical; semisimple in the source's stated setting.","Root-free system; untyped semisimple system.","homograph;historical-term","modern_sino_xenic_coinage_or_calque","support;adverse","P31 exact slice plus AlJabr-2 chapter2 lines1133;1194 and inherited witness","risk","PRC Mandarin-Simplified mathematical sources dominate; this evidence does not authorize zh-Hans-SG or regional zh-Hant-TW/HK/MO prose, and no numeric readiness scalar is computed.","potentially_distorted","internally_reviewed_for_use","sense_checked","decisions/NOE-P37-SEMISIMPLE-ALGEBRA.zh-Hans-CN.json"
"NOE-P37-HYPERCOMPLEX-SCALAR-EXTENSION","P31 lines 18684;18698;18741;18756 and definition 16678-16685","zh-Hans-CN","Hans PRC-controlled","有限维代数（原文“超复系统”） / 标量扩张","historical algebra","Historical hypercomplex system means finite-dimensional algebra; coefficient extension means scalar extension.","Modern hypercomplex-number system; literal coefficient enlargement.","historical-term;false-friend","mixed_or_contested","support;adverse;absence","P31 definition plus AlJabr-1 chapter7 lines246;271 and inherited witness","risk","PRC Mandarin-Simplified mathematical sources dominate; this evidence does not authorize zh-Hans-SG or regional zh-Hant-TW/HK/MO prose, and no numeric readiness scalar is computed.","potentially_distorted","internally_reviewed_for_use","source_definition_checked","decisions/NOE-P37-HYPERCOMPLEX-SCALAR-EXTENSION.zh-Hans-CN.json"
"NOE-P37-WURZELZAHL-RESOLVENT","P31 lines 18627;18714;18722-18739;18773","zh-Hans-CN","Hans PRC-controlled","广义拉格朗日预解因子（原文 Wurzelzahlen）","historical representation/Galois theory","Determinantal resolvent factors D_lambda; cyclic case is a Lagrange resolvent sum.","Number of roots; inherited 广义根数.","homograph;formula-led","mixed_or_contested","candidate;competitor;adverse","P31 formulas plus AlJabr-1 chapter9 预解式 and bounded native 根数 counterexamples","risk","PRC Mandarin-Simplified mathematical sources dominate; this evidence does not authorize zh-Hans-SG or regional zh-Hant-TW/HK/MO prose, and no numeric readiness scalar is computed.","potentially_distorted","internally_reviewed_for_use","formula_and_sense_checked","decisions/NOE-P37-WURZELZAHL-RESOLVENT.zh-Hans-CN.json"
"NOE-P37-TRIVIAL-REPRESENTATION","P31 lines 18644;18768;18771","zh-Hans-CN","Hans PRC-controlled","平凡表示 / 非平凡表示","finite-group representation theory","Representation sending every group element to the identity; its nontrivial complement.","Unitary representation; inherited 单位表示.","false-friend","modern_sino_xenic_coinage_or_calque","support;adverse","P31 exact slice plus HFUT group-representation pp.8;18;20 and inherited witness","risk","PRC Mandarin-Simplified mathematical sources dominate; this evidence does not authorize zh-Hans-SG or regional zh-Hant-TW/HK/MO prose, and no numeric readiness scalar is computed.","potentially_distorted","internally_reviewed_for_use","sense_checked","decisions/NOE-P37-TRIVIAL-REPRESENTATION.zh-Hans-CN.json"
"NOE-P37-CONJUGATE-DUAL-REPRESENTATION","P31 lines 18743-18749","zh-Hans-CN","Hans PRC-controlled","复共轭表示（在此等价于对偶表示）","finite-group representation theory","Complex-conjugate representation/character; equivalent here to the contragredient dual.","Adjoint representation Ad; categorical adjunction; generic companion.","homograph;disciplinary-collision","mixed_or_contested","support;competitor;adverse","P31 character formula plus HFUT representation p.6 and 380-line 伴随 collision scope","risk","PRC Mandarin-Simplified mathematical sources dominate; this evidence does not authorize zh-Hans-SG or regional zh-Hant-TW/HK/MO prose, and no numeric readiness scalar is computed.","potentially_distorted","internally_reviewed_for_use","formula_and_sense_checked","decisions/NOE-P37-CONJUGATE-DUAL-REPRESENTATION.zh-Hans-CN.json"
