"adverse_id","channel","concept_or_unit","form_or_defect","evidence_path_or_source","sha256_or_version","anchor","severity","disposition","notes"
"P37-ZH-ADV-001","adverse","NOE-P37-HAUPTORDNUNG","Inherited 主阶 invites a group-order or abstract order reading.","witness/Noether_Paper37_SimplifiedChinese_Inherited_logical_article_exact_CRLF.tex","1312DD725554A57A3A52FE780E924A5F7305C4E61E6418E393374B4D9EA1924B","counterpart of P31 lines 18623;18635;18642","high","replaced_in_target","Selected 整数环（极大阶）. Exact 主阶 count in the 71-file Chinese TeX scope: 0."
"P37-ZH-ADV-002","adverse","NOE-P37-P-ADIC-COMPLETION","Inherited p-进扩张 leaves completion underdetermined.","witness/Noether_Paper37_SimplifiedChinese_Inherited_logical_article_exact_CRLF.tex","1312DD725554A57A3A52FE780E924A5F7305C4E61E6418E393374B4D9EA1924B","counterpart of P31 lines 18623;18635;18684;18773","high","replaced_in_target","Selected p-进完备化. Exact p-进完备化 and p-进扩张 counts in the bounded 71-file native TeX scope: 0; general 完备化 count: 69 lines in 7 files."
"P37-ZH-ADV-003","adverse","NOE-P37-LOCALIZATION-AT-PRIME","Inherited 商环 denotes R/I rather than localization S^{-1}o.","witness/Noether_Paper37_SimplifiedChinese_Inherited_logical_article_exact_CRLF.tex","1312DD725554A57A3A52FE780E924A5F7305C4E61E6418E393374B4D9EA1924B","counterpart of P31 lines 18629;18687;18773 and defining line 20031","critical","replaced_in_target","Selected 在 p 处的局部化环. AlJabr-1 chapter5 separately defines 局部化 and 商环."
"P37-ZH-ADV-004","absence","NOE-P37-GALOIS-MODULE","Exact 伽罗瓦模 not found in bounded native TeX shelf.","three recovered Chinese TeX roots: CINTA-cn;AlJabr-1;AlJabr-2","scope=71-tex-files;search=2026-07-18","exact-string search","medium","source_led_gloss_retained","Scoped zero only; it is not a claim of general Chinese non-use. G-module contexts support the head 模."
"P37-ZH-ADV-005","adverse","NOE-P37-MODULE-ISOMORPHISM","Inherited 算子同构 / 算子域 suggests analytic operators rather than the group-ring module category.","witness/Noether_Paper37_SimplifiedChinese_Inherited_logical_article_exact_CRLF.tex","1312DD725554A57A3A52FE780E924A5F7305C4E61E6418E393374B4D9EA1924B","counterpart of P31 lines 18629;18657;18669;18682","high","replaced_in_target","Selected 作为 [G]_o-模同构 / 模同构. Exact 算子同构 count: 0; 模同构: 12 lines in 6 files."
"P37-ZH-ADV-006","adverse","NOE-P37-SEMISIMPLE-ALGEBRA","Inherited 无根基系统 / 半单系统 obscures that the object is an algebra and that Radikal is the Jacobson radical.","witness/Noether_Paper37_SimplifiedChinese_Inherited_logical_article_exact_CRLF.tex","1312DD725554A57A3A52FE780E924A5F7305C4E61E6418E393374B4D9EA1924B","counterpart of P31 lines 18637;18655;18684","high","replaced_in_target","Selected 根基为零的代数（即半单代数）. Exact 半单代数 count: 0; 半单: 33 lines in 4 files."
"P37-ZH-ADV-007","adverse","NOE-P37-HYPERCOMPLEX-SCALAR-EXTENSION","Literal 超复系统 / 扩张系数 can evoke modern hypercomplex numbers or coefficient growth.","witness/Noether_Paper37_SimplifiedChinese_Inherited_logical_article_exact_CRLF.tex","1312DD725554A57A3A52FE780E924A5F7305C4E61E6418E393374B4D9EA1924B","counterpart of P31 lines 18684;18698;18741;18756","high","historical_gloss_added","Selected 有限维代数（原文“超复系统”） / 标量扩张. Source definition at P31 lines 16678-16685 controls."
"P37-ZH-ADV-008","competitor","NOE-P37-WURZELZAHL-RESOLVENT","根数 is positively attested as number of roots and is therefore a dangerous lexical attractor.","AlJabr-1 chapter5.tex;chapter8.tex","E747D16B2EBACC95CF1C34DA4BC8B7775A5ED8787B6D1EDC2CC8E303535AC143;365D36BB26F16D6679169C338934EB0404C29282DA568F3F1916663A6808C6D4","chapter5 line 944; chapter8 lines 186;528;533;665","critical","rejected_for_source_sense","Selected formula-led 广义拉格朗日预解因子（原文 Wurzelzahlen）. All six 根数 hits in three bounded files are root-count contexts."
"P37-ZH-ADV-009","adverse","NOE-P37-TRIVIAL-REPRESENTATION","Inherited 单位表示 can be read as unitary representation.","witness/Noether_Paper37_SimplifiedChinese_Inherited_logical_article_exact_CRLF.tex","1312DD725554A57A3A52FE780E924A5F7305C4E61E6418E393374B4D9EA1924B","counterpart of P31 lines 18644;18768;18771","high","replaced_in_target","Selected 平凡表示 / 非平凡表示; independently attested in HFUT representation notes."
"P37-ZH-ADV-010","adverse","NOE-P37-CONJUGATE-DUAL-REPRESENTATION","Inherited 伴随表示 collides with Ad and categorical adjunction; native 伴随 is highly polysemous.","witness/Noether_Paper37_SimplifiedChinese_Inherited_logical_article_exact_CRLF.tex","1312DD725554A57A3A52FE780E924A5F7305C4E61E6418E393374B4D9EA1924B","counterpart of P31 lines 18743-18749","critical","replaced_in_target","Selected 复共轭表示（在此等价于对偶表示）. Bounded native TeX shelf has 380 伴随 lines in 21 files but no exact 伴随表示 hit."
