paper,slug,language,tex,pdf,pdf_pages
032,weil_II,EN,papers/032_weil_II/EN/deligne_paper_032_weil_II_EN.tex,papers/032_weil_II/EN/deligne_paper_032_weil_II_EN.pdf,74
042,integration_vanishing_cycle,EN,papers/042_integration_vanishing_cycle/EN/deligne_paper_042_integration_vanishing_cycle_EN.tex,papers/042_integration_vanishing_cycle/EN/deligne_paper_042_integration_vanishing_cycle_EN.pdf,8
045,gabber_lemma,EN,papers/045_gabber_lemma/EN/deligne_paper_045_gabber_lemma_EN.tex,papers/045_gabber_lemma/EN/deligne_paper_045_gabber_lemma_EN.pdf,13
056,heisenberg_reality,EN,papers/056_heisenberg_reality/EN/deligne_paper_056_heisenberg_reality_EN.tex,papers/056_heisenberg_reality/EN/deligne_paper_056_heisenberg_reality_EN.pdf,8
057,tame_symbol,EN,papers/057_tame_symbol/EN/deligne_paper_057_tame_symbol_EN.tex,papers/057_tame_symbol/EN/deligne_paper_057_tame_symbol_EN.pdf,6
058,real_mixed_hodge_structures,EN,papers/058_real_mixed_hodge_structures/EN/deligne_paper_058_real_mixed_hodge_structures_EN.tex,papers/058_real_mixed_hodge_structures/EN/deligne_paper_058_real_mixed_hodge_structures_EN.pdf,4
069,braid_group_category,EN,papers/069_braid_group_category/EN/deligne_paper_069_braid_group_category_EN.tex,papers/069_braid_group_category/EN/deligne_paper_069_braid_group_category_EN.pdf,13
070,grothendieck_master_ideas,EN,papers/070_grothendieck_master_ideas/EN/deligne_paper_070_grothendieck_master_ideas_EN.tex,papers/070_grothendieck_master_ideas/EN/deligne_paper_070_grothendieck_master_ideas_EN.pdf,7
071,cohomology_algebra_complement,EN,papers/071_cohomology_algebra_complement/EN/deligne_paper_071_cohomology_algebra_complement_EN.tex,papers/071_cohomology_algebra_complement/EN/deligne_paper_071_cohomology_algebra_complement_EN.pdf,14
083,nagata_embedding,EN,papers/083_nagata_embedding/EN/deligne_paper_083_nagata_embedding_EN.tex,papers/083_nagata_embedding/EN/deligne_paper_083_nagata_embedding_EN.pdf,7
084,frobenius_traces,EN,papers/084_frobenius_traces/EN/deligne_paper_084_frobenius_traces_EN.tex,papers/084_frobenius_traces/EN/deligne_paper_084_frobenius_traces_EN.pdf,17
085,multizetas_brown,EN,papers/085_multizetas_brown/EN/deligne_paper_085_multizetas_brown_EN.tex,papers/085_multizetas_brown/EN/deligne_paper_085_multizetas_brown_EN.pdf,20
087,semisimplicity_tensor_products,EN,papers/087_semisimplicity_tensor_products/EN/deligne_paper_087_semisimplicity_tensor_products_EN.tex,papers/087_semisimplicity_tensor_products/EN/deligne_paper_087_semisimplicity_tensor_products_EN.pdf,22
088,counting_ladic_sheaves,EN,papers/088_counting_ladic_sheaves/EN/deligne_paper_088_counting_ladic_sheaves_EN.tex,papers/088_counting_ladic_sheaves/EN/deligne_paper_088_counting_ladic_sheaves_EN.pdf,22
032,weil_II,FR,papers/032_weil_II/FR/deligne_paper_032_weil_II_FR.tex,papers/032_weil_II/FR/deligne_paper_032_weil_II_FR.pdf,98
042,integration_vanishing_cycle,FR,papers/042_integration_vanishing_cycle/FR/deligne_paper_042_integration_vanishing_cycle_FR.tex,papers/042_integration_vanishing_cycle/FR/deligne_paper_042_integration_vanishing_cycle_FR.pdf,5
045,gabber_lemma,FR,papers/045_gabber_lemma/FR/deligne_paper_045_gabber_lemma_FR.tex,papers/045_gabber_lemma/FR/deligne_paper_045_gabber_lemma_FR.pdf,6
056,heisenberg_reality,FR,papers/056_heisenberg_reality/FR/deligne_paper_056_heisenberg_reality_FR.tex,papers/056_heisenberg_reality/FR/deligne_paper_056_heisenberg_reality_FR.pdf,9
057,tame_symbol,FR,papers/057_tame_symbol/FR/deligne_paper_057_tame_symbol_FR.tex,papers/057_tame_symbol/FR/deligne_paper_057_tame_symbol_FR.pdf,4
058,real_mixed_hodge_structures,FR,papers/058_real_mixed_hodge_structures/FR/deligne_paper_058_real_mixed_hodge_structures_FR.tex,papers/058_real_mixed_hodge_structures/FR/deligne_paper_058_real_mixed_hodge_structures_FR.pdf,4
069,braid_group_category,FR,papers/069_braid_group_category/FR/deligne_paper_069_braid_group_category_FR.tex,papers/069_braid_group_category/FR/deligne_paper_069_braid_group_category_FR.pdf,13
070,grothendieck_master_ideas,FR,papers/070_grothendieck_master_ideas/FR/deligne_paper_070_grothendieck_master_ideas_FR.tex,papers/070_grothendieck_master_ideas/FR/deligne_paper_070_grothendieck_master_ideas_FR.pdf,7
071,cohomology_algebra_complement,FR,papers/071_cohomology_algebra_complement/FR/deligne_paper_071_cohomology_algebra_complement_FR.tex,papers/071_cohomology_algebra_complement/FR/deligne_paper_071_cohomology_algebra_complement_FR.pdf,8
083,nagata_embedding,FR,papers/083_nagata_embedding/FR/deligne_paper_083_nagata_embedding_FR.tex,papers/083_nagata_embedding/FR/deligne_paper_083_nagata_embedding_FR.pdf,7
084,frobenius_traces,FR,papers/084_frobenius_traces/FR/deligne_paper_084_frobenius_traces_FR.tex,papers/084_frobenius_traces/FR/deligne_paper_084_frobenius_traces_FR.pdf,11
085,multizetas_brown,FR,papers/085_multizetas_brown/FR/deligne_paper_085_multizetas_brown_FR.tex,papers/085_multizetas_brown/FR/deligne_paper_085_multizetas_brown_FR.pdf,14
087,semisimplicity_tensor_products,FR,papers/087_semisimplicity_tensor_products/FR/deligne_paper_087_semisimplicity_tensor_products_FR.tex,papers/087_semisimplicity_tensor_products/FR/deligne_paper_087_semisimplicity_tensor_products_FR.pdf,12
088,counting_ladic_sheaves,FR,papers/088_counting_ladic_sheaves/FR/deligne_paper_088_counting_ladic_sheaves_FR.tex,papers/088_counting_ladic_sheaves/FR/deligne_paper_088_counting_ladic_sheaves_FR.pdf,25
