kind,volume,scope,language,relative_path,bytes,sha256,source_scope,status
new_independent_batch,I,§§73-75,english,01_new_work_this_batch/volume_1_sections73_75/english/pdf/weber_vol1_sections73_75_english_translation.pdf,171845,d507d457f8c9c19c098e50509dfc22e87318a06089833b4e4bc8f2f8d626e841,Volume I source pages 225-237,compiled and render-checked
new_independent_batch,I,§§73-75,english,01_new_work_this_batch/volume_1_sections73_75/english/tex/weber_vol1_sections73_75_english_translation.tex,21159,0ea9d37cc200e6e3bd62694ec43292ccbcceb73959aed6dcf1252ecfccd31ced,Volume I source pages 225-237,compiled and render-checked
new_independent_batch,I,§§73-75,german,01_new_work_this_batch/volume_1_sections73_75/german/pdf/weber_vol1_sections73_75_german_source.pdf,174766,71c96fdf0a4494c7c9d535bbc51029c7636607685895ea4f45679c1e21100693,Volume I source pages 225-237,compiled and render-checked
new_independent_batch,I,§§73-75,german,01_new_work_this_batch/volume_1_sections73_75/german/tex/weber_vol1_sections73_75_german_source.tex,22742,7d2c586e63369b132c08279edbc475e6943834abff5f3c0f09cfa7e2d4dc131d,Volume I source pages 225-237,compiled and render-checked
cumulative,I,through §75,english,02_cumulative_work/volume_1_through_section75/english/pdf/weber_volume1_cumulative_through_section75_english_translation.pdf,861736,b9c0159536245862a5ddebec3d6cda430232034216cd4607cfee7b7f1201c88e,Cumulative V1 through §72 plus current §§73-75 append,rebuilt and appended pages render-checked
cumulative,I,through §75,english,02_cumulative_work/volume_1_through_section75/english/tex/weber_volume1_cumulative_through_section75_english_translation.tex,402904,54cd221683294d92b88af04f32a27dfd4208b01beccedb9310e4f4db4391148e,Cumulative V1 through §72 plus current §§73-75 append,rebuilt and appended pages render-checked
cumulative,I,through §75,german,02_cumulative_work/volume_1_through_section75/german/pdf/weber_volume1_cumulative_through_section75_german_source.pdf,888437,e46eed93b9e0d838e19f836e7419c001cb0d4f3ccc02f9190c1252d7db241711,Cumulative V1 through §72 plus current §§73-75 append,rebuilt and appended pages render-checked
cumulative,I,through §75,german,02_cumulative_work/volume_1_through_section75/german/tex/weber_volume1_cumulative_through_section75_german_source.tex,420187,7643aa7bf690e265565fc19dc3024a5b3fc42acdacd93a9764ce707c2014d441,Cumulative V1 through §72 plus current §§73-75 append,rebuilt and appended pages render-checked
cumulative,II,current cumulative,english,02_cumulative_work/volume_2/english/pdf/weber_volume2_current_repaired_cumulative_english_translation.pdf,798585,d0334925457687ce0c59b359bf1d7af13000bb90daa54643cbc78690533f7b72,unchanged from current section packet record,copied unchanged
cumulative,II,current cumulative,english,02_cumulative_work/volume_2/english/tex/weber_volume2_current_repaired_cumulative_english_translation.tex,300847,d7f900f3735476d1bb8551a114938bfa5e2cbbcd87b91686fbdc932ff3088573,unchanged from current section packet record,copied unchanged
