"key","value"
"active_packet","outputs/SLAVIC_3EB1CD59_HEARTBEAT_SOURCE_CANON_FABLE_REFRESH_20260707"
"current_verified_frontier","3eb1cd59b941e07c490a11f5c1a5dc755bfa3ec3"
"origin_readback","3eb1cd59b941e07c490a11f5c1a5dc755bfa3ec3"
"branch_subject","Add 516 OLP Persianate Tajik route returns"
"prior_packet","outputs/SLAVIC_3EB1CD59_SAME_FRONTIER_BASELINE_ACCOUNTING_20260707"
"prior_manifest_bad","0"
"prior_sha_bad","0"
"source_body_language_dirs","14"
"source_body_files","374"
"rebuild_trigger_change","none"
"source_canon_gap_rows","13"
"fable_required_present_missing","10/0"
"interslavic_state_c","carryforward E=2341; W=223; S=239; D1=1.753704"
"language_lane_push","no"
