"frontier","file","present","bytes","sha256","label"
"3eb1cd59b941e07c490a11f5c1a5dc755bfa3ec3","languages.csv","True","6372","cb41a5fc7b8e0f3d62cd90a59ea0fd89b9374285290c82f8d228108c20916e72","Fable-formal-object-carryforward"
"3eb1cd59b941e07c490a11f5c1a5dc755bfa3ec3","source_documents.csv","True","7030702","2bef2d50405ae22a04cf9ac6157df16a00b09481c8024044a72ec4a85d5a180e","Fable-formal-object-carryforward"
"3eb1cd59b941e07c490a11f5c1a5dc755bfa3ec3","lexemes.jsonl","True","71467","ccff9fceb25fbca5885d2b8485e5eaeabbea34a41f2f7191dc81d749e15eb6d5","Fable-formal-object-carryforward"
"3eb1cd59b941e07c490a11f5c1a5dc755bfa3ec3","forms.csv","True","260687","769c8f05d6337b7fa95d4caf61dae356e75925744700ac2435309a65aee01aa4","Fable-formal-object-carryforward"
"3eb1cd59b941e07c490a11f5c1a5dc755bfa3ec3","word_weights.csv","True","45850","d33b3ce16ffecdd1cdd80e972b7a7dc6c829432eee813021dfcc5ca256f7a83c","Fable-formal-object-carryforward"
"3eb1cd59b941e07c490a11f5c1a5dc755bfa3ec3","branch_weight_ledger.csv","True","33971","c8994bcff0d1d9c16c46ca0aa0d3eb9a867b203827be65b18e15aa1ca5655bba","Fable-formal-object-carryforward"
"3eb1cd59b941e07c490a11f5c1a5dc755bfa3ec3","marginal_intelligibility.csv","True","26768","37382ebb17d76816007970fe341ad50cea5b4eb2286d5f49fba0032fe89a57af","Fable-formal-object-carryforward"
"3eb1cd59b941e07c490a11f5c1a5dc755bfa3ec3","do_not_use.csv","True","2790","53da642d0f632f401eb19160e775b2dcd82d7bf7e0fe139695583ace542e441b","Fable-formal-object-carryforward"
"3eb1cd59b941e07c490a11f5c1a5dc755bfa3ec3","rules_acknowledgement.md","True","4723","f148f7536d25e3c70dbc1be86346449800dceb66b2894c91a925e4e432c6bfb8","Fable-formal-object-carryforward"
"3eb1cd59b941e07c490a11f5c1a5dc755bfa3ec3","FABLE_REQUIREMENTS_ACKNOWLEDGED_20260705.md","True","6207","d988006323b9b1ef65db9c71290882796c28fdbd91ae2ffd9a957162be4eab6a","Fable-formal-object-carryforward"
