physical_page	authority_pdf_page	article_page	comparator_pdf_page	printed_folio	prompt_id	source_language	source_edition_action	english_translation_action	disposition	source_status	source_frozen	english_status	apparatus_status	final_status	source_record_sha256	english_record_sha256	apparatus_record_sha256
1	1	1	1	543-01	P01	FRENCH	REPLAY_AND_FREEZE_AUTHORITY_FRENCH	TRANSLATE_FROZEN_FRENCH_TO_STANDALONE_ENGLISH	INCLUDE_COMPLETE_WORK_EXCLUDING_REPEATED_FOLIO_FROM_READER_PROSE	COMPLETE	TRUE	COMPLETE	COMPLETE	COMPLETE	0DC0216CD224F747BD8F6C2DE486E9B61ABFCCF649BB9F7824D8E442022F1F20	6C830A0E01956AB977CCD4A970BF67E48B0AEE7401BB65850CFBB0B5DA11FABD	DBE3D3C7A6098E6E233B6AB357050A5E95FFBEF700D38BA2EB4DBDBB39336AA6
2	2	2	2	543-02	P01	FRENCH	REPLAY_AND_FREEZE_AUTHORITY_FRENCH	TRANSLATE_FROZEN_FRENCH_TO_STANDALONE_ENGLISH	INCLUDE_COMPLETE_WORK_EXCLUDING_REPEATED_FOLIO_FROM_READER_PROSE	COMPLETE	TRUE	COMPLETE	COMPLETE	COMPLETE	E1AB6606838FCC5EB6A73C512F09661EE2BA848B34F22879A0E2F21EF5A1F06F	32B37E9ED540690C1FAAD13C1720A2D55990423A1E00973C9FF01D54DF6323C9	ABCEAF456D4FEDB350F824E68B0F9FFADAC9D020095C16B9BF06B3DA299D73CC
3	3	3	3	543-03	P01	FRENCH	REPLAY_AND_FREEZE_AUTHORITY_FRENCH	TRANSLATE_FROZEN_FRENCH_TO_STANDALONE_ENGLISH	INCLUDE_COMPLETE_WORK_EXCLUDING_REPEATED_FOLIO_FROM_READER_PROSE	COMPLETE	TRUE	COMPLETE	COMPLETE	COMPLETE	9A1F5823A1F04E717CA4F20DA6730A8EE07FADABF3747A01F5D67388D42F6584	07385662302A951286DFB6FF09CFCAAE1E1C3FECA5976C13DE13B86F09CF2883	746A4A882EAA733FF3842FF8404C0E2E14A26C3B81AEDA23E12DF678CFBEC776
4	4	4	4	543-04	P01	FRENCH	REPLAY_AND_FREEZE_AUTHORITY_FRENCH	TRANSLATE_FROZEN_FRENCH_TO_STANDALONE_ENGLISH	INCLUDE_COMPLETE_WORK_EXCLUDING_REPEATED_FOLIO_FROM_READER_PROSE	COMPLETE	TRUE	COMPLETE	COMPLETE	COMPLETE	C0EE889F6DC1705BDA3ED15DE313D35D7A7650B1CCFD85C93DA23F18D08B56B0	537004D7DDDC0195A7C84B1B2465280699F960F2780FABB167F1BFAB7ABEE815	F28D08DC389DE8CB82F23835778D05619553FB8C19A264A8C153BE87B62960F1
5	5	5	5	543-05	P01	FRENCH	REPLAY_AND_FREEZE_AUTHORITY_FRENCH	TRANSLATE_FROZEN_FRENCH_TO_STANDALONE_ENGLISH	INCLUDE_COMPLETE_WORK_EXCLUDING_REPEATED_FOLIO_FROM_READER_PROSE	COMPLETE	TRUE	COMPLETE	COMPLETE	COMPLETE	AF911FFCB5F6C052D57383DFA5A0882B5399A271AD863F8A4622EECC71BAF728	21A3A3D10550E564CD70401870B62D8A51A8F949DB9E605CF4752D297D970777	1012442B0880F8DF3647CC73EAD38ED2667D556C4E8D1102129EE6BD43E45768
6	6	6	6	543-06	P01	FRENCH	REPLAY_AND_FREEZE_AUTHORITY_FRENCH	TRANSLATE_FROZEN_FRENCH_TO_STANDALONE_ENGLISH	INCLUDE_COMPLETE_WORK_EXCLUDING_REPEATED_FOLIO_FROM_READER_PROSE	COMPLETE	TRUE	COMPLETE	COMPLETE	COMPLETE	1AAD6B9965029912C355ED6B5188E0FE83965D829002026E694A12E94883CE9D	F38AC5E1C7F3B80109651A1D4B71D630798E2332B133FF5D3EA9B72B7404551C	A92BE6376EBF1931F9831C657FA299D8A61BCBFB94AF9EA9DAC5ADD2C03DE2F4
7	7	7	7	543-07	P02	FRENCH	REPLAY_AND_FREEZE_AUTHORITY_FRENCH	TRANSLATE_FROZEN_FRENCH_TO_STANDALONE_ENGLISH	INCLUDE_COMPLETE_WORK_EXCLUDING_REPEATED_FOLIO_FROM_READER_PROSE	COMPLETE	TRUE	COMPLETE	COMPLETE	COMPLETE	E694A168AE4E6730B29D57F41D2D635192E8ACB3CBD4BBD96DB1EAA37A93499C	4E3057F1795113251794B7A4F6F21391D74E80526FF9A5AB8DA7E54A31914FD4	B9305AD09E086E931A38E8A752C0ADFDBB2A6235791A0174F8AC42861135CA24
8	8	8	8	543-08	P02	FRENCH	REPLAY_AND_FREEZE_AUTHORITY_FRENCH	TRANSLATE_FROZEN_FRENCH_TO_STANDALONE_ENGLISH	INCLUDE_COMPLETE_WORK_EXCLUDING_REPEATED_FOLIO_FROM_READER_PROSE	COMPLETE	TRUE	COMPLETE	COMPLETE	COMPLETE	AEB5A8535BD39DC11571C9AA6C4CDC9EE499675DDEB460EBDDFCAC6038FC750E	433FCEF43D813D8275127C55018B94D103C6CBA0E2098AD5B79486EA419C4F11	CEB9B12946908FFC9C9D08870F8BDB36727115D2C1A498AD54FCEE129EA26666
9	9	9	9	543-09	P02	FRENCH	REPLAY_AND_FREEZE_AUTHORITY_FRENCH	TRANSLATE_FROZEN_FRENCH_TO_STANDALONE_ENGLISH	INCLUDE_COMPLETE_WORK_EXCLUDING_REPEATED_FOLIO_FROM_READER_PROSE	COMPLETE	TRUE	COMPLETE	COMPLETE	COMPLETE	0B873B65CA40CD905DBE2AE336BE3B0BB974EBC64381002AE16358DF2B5242FD	7E110D728AB81479C33AA900481594881F20A6081AA9D1934B2AC3140AEEA8E9	4CE6A4F63B148410153B63D33BEFDA73A9F8500CD78D4E1C963B08455F6D391E
10	10	10	10	543-10	P02	FRENCH	REPLAY_AND_FREEZE_AUTHORITY_FRENCH	TRANSLATE_FROZEN_FRENCH_TO_STANDALONE_ENGLISH	INCLUDE_COMPLETE_WORK_EXCLUDING_REPEATED_FOLIO_FROM_READER_PROSE	COMPLETE	TRUE	COMPLETE	COMPLETE	COMPLETE	8F5F9D8C90D8FA78B95E6077A81E92F28AD485E8EE46F84A595A9F1BF8141CDC	9DDEC31CFA2B76BE5AF29FB6A66F7CAB7172E93A66D7439BC753D4CD963EF284	1989EAC04D2AC517288B46A5441728909C80C4E0DF47F40C01E538DF40B06A79
