slice,reader_pages,pages,bytes
cayley_vol08_pages_001_016.pdf,1-15,15,215217
cayley_vol08_pages_017_066.pdf,16-67,52,483204
cayley_vol08_pages_067_116.pdf,68-112,45,431514
cayley_vol08_pages_117_166.pdf,113-154,42,460424
cayley_vol08_pages_167_216.pdf,155-197,43,420046
cayley_vol08_pages_217_241.pdf,198-220,23,222993
cayley_vol08_pages_242_266.pdf,221-245,25,240364
cayley_vol08_pages_267_291.pdf,246-270,25,252667
cayley_vol08_pages_292_303.pdf,271-280,10,204793
cayley_vol08_pages_304_316.pdf,281-294,14,205070
cayley_vol08_pages_317_366.pdf,295-344,50,554818
cayley_vol08_pages_367_416.pdf,345-385,41,509925
cayley_vol08_pages_417_441.pdf,386-411,26,260497
cayley_vol08_pages_442_466.pdf,412-436,25,275492
cayley_vol08_pages_467_516.pdf,437-487,51,411034
cayley_vol08_pages_517_528.pdf,488-499,12,208006
cayley_vol08_pages_529_541.pdf,500-512,13,205373
cayley_vol08_pages_542_566.pdf,513-537,25,258187
cayley_vol08_pages_567_570.pdf,538-541,4,165361
