source_term,spanish,japanese,context,note
Maximalbereich,dominio maximal,極大領域,Paper35 Hilbert 14 saturation by integer denominators,Not a maximal ideal; generated saturation M(I) is unique.
ganzzahlige Funktionen,funciones de coeficientes enteros,整係数関数,Paper35 title and definitions,Avoid complex-analysis sense of entire function.
Integritätsbereich,dominio íntegro,整域,Paper35 rings without zero divisors,Preserves global refinement from Papers 19-24.
relativ-ganze Funktionen,funciones relativamente enteras,相対的に整な関数,Paper35 Hilbert problem,Algebraic/integrality sense.
Restklassenring,anillo de clases residuales,剰余類環,Paper35 o/a and reductions mod p,Consistent with previous ideal-theory papers.
Restklassenkörper,cuerpo de clases residuales,剰余類体,Paper35 transcendence degree of prime ideals,Used for residue field of a prime ideal.
absolutes Primideal,ideal primo absoluto,絶対素イデアル,Paper35 §3,Prime after extension of coefficient field to algebraic numbers/closure.
Funktionaldeterminante,determinante funcional,関数行列式,Paper35 §1,Used for Jacobian-rank criterion modulo p.
Funktionalmatrix,matriz funcional,関数行列,Paper35 §1,Jacobian matrix; rank criterion retained.
irreduzibles System,sistema irreducible,既約系,Paper35 §2,Means algebraically independent system.
Quotientenring,anillo de cocientes,商環,Paper35 §4 localization at (a),Not quotient ring by ideal here; localization/context controls translation.
Einheitsideal,ideal unidad,単位イデアル,Paper35 §4,Same policy as Paper30.
Integritätsbasis,base íntegra,整基底,Paper35 §2 and footnotes,Retains global Takagi-oriented standardization.
