"visual_id","relative_path","parent_pdf_sha256","pdf_page","width_px","height_px","dpi","rotation_degrees","bounding_box","sha256","bytes","linked_structural_unit","publication_disposition","qa_disposition"
"VE-NOE-GER-TAIL-001","rendered_current/page-455.png","C8164BA859C6D25D47400AF582CC77D298AC3CA8E59EDAF14B136F066C060226","455","1654","2339","200","0","0,0,1654,2339","469E9D7120783C4730D8281B1D0DA6A8CAD8F8C49685EBB4FDBCABE182004AFA","652947","collected_pp747_764","open_payload","accepted_no_visible_defect"
"VE-NOE-GER-TAIL-002","rendered_current/page-456.png","C8164BA859C6D25D47400AF582CC77D298AC3CA8E59EDAF14B136F066C060226","456","1654","2339","200","0","0,0,1654,2339","AE1F4D11BFB8823D476E2361A91CD745C0AADEEA3A93BB6C12300D6751708666","601684","collected_pp747_764","open_payload","accepted_no_visible_defect"
"VE-NOE-GER-TAIL-003","rendered_current/page-457.png","C8164BA859C6D25D47400AF582CC77D298AC3CA8E59EDAF14B136F066C060226","457","1654","2339","200","0","0,0,1654,2339","97AC46940252A8EF00A627407598F95A621450DD4EF1D13AC359FCD8D9852F70","748824","collected_pp747_764","open_payload","accepted_no_visible_defect"
"VE-NOE-GER-TAIL-004","rendered_current/page-458.png","C8164BA859C6D25D47400AF582CC77D298AC3CA8E59EDAF14B136F066C060226","458","1654","2339","200","0","0,0,1654,2339","1F563ED4C6EC7F7865686D6270A52C5FC85287BF7CE24BA1E5A71393F83CE55F","605197","collected_pp765_777","open_payload","accepted_no_visible_defect"
"VE-NOE-GER-TAIL-005","rendered_current/page-459.png","C8164BA859C6D25D47400AF582CC77D298AC3CA8E59EDAF14B136F066C060226","459","1654","2339","200","0","0,0,1654,2339","4876C88C3931DD23AA3FAB41093319FF35AC2DC0A54EE361ABCD6F9CB909EA1A","641876","collected_pp765_777","open_payload","accepted_no_visible_defect"
"VE-NOE-GER-TAIL-006","rendered_current/page-460.png","C8164BA859C6D25D47400AF582CC77D298AC3CA8E59EDAF14B136F066C060226","460","1654","2339","200","0","0,0,1654,2339","8513488B8909AF8D41B80ECCD4A407080AC8A0F562B5633F56E6CEB22106DA91","721925","collected_pp765_777","open_payload","accepted_no_visible_defect"
"VE-NOE-GER-TAIL-007","rendered_current/page-461.png","C8164BA859C6D25D47400AF582CC77D298AC3CA8E59EDAF14B136F066C060226","461","1654","2339","200","0","0,0,1654,2339","60A108C7591F7C7CF67EB701A4B95F2DBB940FF7D03628005BFD124E98C81C4A","287994","collected_pp765_777","open_payload","accepted_no_visible_defect"
"VE-NOE-GER-TAIL-008","rendered_current/page-462.png","C8164BA859C6D25D47400AF582CC77D298AC3CA8E59EDAF14B136F066C060226","462","1654","2339","200","0","0,0,1654,2339","75A777541420642455AAA6C58233260B01FD059B24F0FD3BC1CD5895469BA117","434029","collected_pp765_777","open_payload","accepted_no_visible_defect"
"VE-NOE-GER-TAIL-009","rendered_current/page-463.png","C8164BA859C6D25D47400AF582CC77D298AC3CA8E59EDAF14B136F066C060226","463","1654","2339","200","0","0,0,1654,2339","81E7DDAECB6270A2039C04669A4EF7E66E5308B2BEDFED6A08EF907F4D926098","470225","collected_pp765_777","open_payload","accepted_no_visible_defect"
"VE-NOE-GER-TAIL-010","rendered_current/page-464.png","C8164BA859C6D25D47400AF582CC77D298AC3CA8E59EDAF14B136F066C060226","464","1654","2339","200","0","0,0,1654,2339","952744977B2DEF0880B02750FCF5973A20A908B48EB169E18DA5D708B8D7A76A","72890","collected_pp765_777","open_payload","accepted_no_visible_defect"
"VE-NOE-GER-TAIL-011","rendered_current/page-465.png","C8164BA859C6D25D47400AF582CC77D298AC3CA8E59EDAF14B136F066C060226","465","1654","2339","200","0","0,0,1654,2339","844A12765EF6FC71EA13C39B153A75C4F216A884397DADF0FC81B9DCF5FE2842","360212","collected_pp765_777","open_payload","accepted_no_visible_defect"
"VE-NOE-GER-TAIL-012","rendered_current/page-466.png","C8164BA859C6D25D47400AF582CC77D298AC3CA8E59EDAF14B136F066C060226","466","1654","2339","200","0","0,0,1654,2339","A4984F6022AE3351E517FA5ADC7DA26F3A8DF3698992B847BA5932B33CDCF065","84640","collected_pp765_777","open_payload","accepted_no_visible_defect"
"VE-NOE-GER-TAIL-013","rendered_current/contact_sheet.png","C8164BA859C6D25D47400AF582CC77D298AC3CA8E59EDAF14B136F066C060226","455-466","1332","2472","composite","0","0,0,1332,2472","A8CFFE36EA91817619E521F11B93FB1F79FC23DA85E3663CCBBB23F62FB9E9A6","1735076","collected_pp747_777","open_payload","accepted_contact_sheet"
