"comparison_id","evidence_class","authority_role","unit_id","object_type","source_locator","source_tex_lines","original_printed_pages","physical_source_pdf_pages","target_locator","parent_id","cross_references","critical_controls","decision","result","status","confidence","adverse_or_choice","rejected_alternative","record_revision","continuation_cursor"
"SGA2-VIII-C23-CMP-001","source_structure","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-C23-STM","heading_number_and_label","French line2670 physical79","2670","89","79","Corollary2.3 heading and PDF destination","SGA2-VIII-C23","SGA2-VIII-C23-QA","visible 2.3 automatic number and label VIII.2.3","automatic section-linked corollary counter set to prior value2","pass","self_reviewed_structure_pass","high","comparison heading is unnumbered","manual unnumbered Corollary","1","French source line2683 after blank line2682"
"SGA2-VIII-C23-CMP-002","source_structure","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-C23-STM","roman_item_sequence","French lines2671-2680 physical79","2671-2680","89","79","conditions i through iv","SGA2-VIII-C23","SGA2-VIII-C23-I;SGA2-VIII-C23-II;SGA2-VIII-C23-III;SGA2-VIII-C23-IV","exact lowercase Roman labels in parentheses and source order","enumitem Roman labels with four items","pass","self_reviewed_structure_pass","high","list style may silently become Arabic or Latin letters","Arabic or Latin item labels","1","French source line2683 after blank line2682"
"SGA2-VIII-C23-CMP-003","source_formula_logic","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-C23-I","condition_i_strict_depth_bound","French lines2672-2673 physical79","2672-2673","89","79","condition i","SGA2-VIII-C23-STM","SGA2-VIII-C23-II","for every x in U; prof script-F sub x; greater than n minus c of x","preserve strict greater-than and subtraction order","pass","self_reviewed_formula_pass","high","strict sign and subtraction order are logic-critical","weak inequality or c of x minus n","1","French source line2683 after blank line2682"
"SGA2-VIII-C23-CMP-004","source_formula_logic","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-C23-II","condition_ii_weak_depth_bound","French lines2674-2675 physical79","2674-2675","89","79","condition ii","SGA2-VIII-C23-STM","SGA2-VIII-C23-I","for every x in U with c of x equals1; prof script-F sub x; greater-than-or-equal n","preserve c equals1 filter and weak inequality","pass","self_reviewed_formula_pass","high","weak inequality can be changed to strict or filter lost","strict inequality or omit c equals1","1","French source line2683 after blank line2682"
"SGA2-VIII-C23-CMP-005","source_formula_logic","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-C23-III","condition_iii_integer_quantifier_and_bound","French lines2676-2677 physical79","2676-2677","89","79","condition iii","SGA2-VIII-C23-STM","SGA2-VIII-C23-IV","for every i in integers and if i less-than-or-equal n","preserve universal integer quantifier and weak upper bound","pass","self_reviewed_formula_pass","high","quantifier or equality case can disappear","some i or strict i less than n","1","French source line2683 after blank line2682"
"SGA2-VIII-C23-CMP-006","source_symbol_formula","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-C23-III","sheaf_local_cohomology_symbol","French line2677 physical79","2677","89","79","condition iii calligraphic H superscript i subscript Y of script-F","SGA2-VIII-C23-STM","SGA2-VIII-C23-QA","calligraphic sheaf H not ordinary global H; i and Y positions preserved","use mathcal H superscript i subscript Y","pass","self_reviewed_symbol_pass","high","plain H can denote a different local-cohomology object","ordinary H or omit support Y","1","French source line2683 after blank line2682"
"SGA2-VIII-C23-CMP-007","source_symbol_formula","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-C23-IV","higher_direct_image_notation","French lines2678-2679 physical79","2678-2679","89","79","condition iv R superscript i i subscript star of restricted script-F","SGA2-VIII-C23-STM","SGA2-VIII-C23-NDE4","derived index i and immersion symbol i remain distinct; restriction U and star preserved","retain R^i i_* of script-F restricted to U","pass","self_reviewed_symbol_pass","high","adjacent i symbols can collapse in transcription","R i-star without superscript or R^i star without immersion","1","French source line2683 after blank line2682"
"SGA2-VIII-C23-CMP-008","source_formula_logic","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-C23-IV","condition_iv_strict_bound","French line2679 physical79","2679","89","79","condition iv ending","SGA2-VIII-C23-STM","SGA2-VIII-C23-NDE4","coherent for i strictly less than n","retain strict inequality","pass","self_reviewed_formula_pass","high","equality case would materially enlarge claim","weak inequality i less-than-or-equal n","1","French source line2683 after blank line2682"
"SGA2-VIII-C23-CMP-009","source_note_structure","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-C23-NDE4","editor_note_full_content_and_attachment","French line2679 physical79 footnote4","2679","89","79","condition iv footnote marker4 and full note","SGA2-VIII-C23-IV","SGA2-VIII-C23-QA","marker4 before terminal period; body-of-proof; absent statement; used Section3; added","attach complete editor note to condition iv","pass","self_reviewed_note_pass","high","note provenance and rationale are editorial source data","summarize detach or omit note","1","French source line2683 after blank line2682"
"SGA2-VIII-C23-CMP-010","source_scope_logic","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-C23-STM","equivalence_scope","French line2670 physical79","2670","89","79","statement opening and list","SGA2-VIII-C23","SGA2-VIII-C23-I;SGA2-VIII-C23-II;SGA2-VIII-C23-III;SGA2-VIII-C23-IV","all four conditions under one equivalence assertion","retain plural equivalence and complete list","pass","self_reviewed_logic_pass","high","translation could weaken equivalence to implications","say the following hold or are related","1","French source line2683 after blank line2682"
