"alignment_id","evidence_class","authority_role","unit_id","parent_id","source_tex_lines","original_printed_pages","physical_source_pdf_pages","recomposed_running_pages","target_locator","coverage_status","decision","status","confidence","adverse_delta","rejected_alternative","cross_references","continuation_cursor","revisit_condition","record_revision"
"SGA2-VIII-C23-ALIGN-001","source_alignment","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-C23","","2670-2681","89","79","71","complete bounded Corollary2.3 statement","complete","translate heading opening four equivalent conditions and editor note4 then stop before proof","self_gated_bounded_unit_pending_independent_review","high","none","extend into proof at line2683 or treat candidate as authority","INBOUND:SGA2-VIII-C22;OUTBOUND:SGA2-VIII-C23-PROOF","French source line2683 after blank line2682","independent source review or cumulative integration","1"
"SGA2-VIII-C23-ALIGN-002","source_alignment","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-C23-STM","SGA2-VIII-C23","2670","89","79","71","Corollary2.3 heading and quantified setup","complete","retain X Y script-F n and the equivalence assertion","source_compared_self_review_pass","high","comparison Markdown heading lacks visible numeral","unnumbered Corollary heading","SGA2-VIII-C23-I;SGA2-VIII-C23-II;SGA2-VIII-C23-III;SGA2-VIII-C23-IV","French source line2683 after blank line2682","independent statement review","1"
"SGA2-VIII-C23-ALIGN-003","source_formula_alignment","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-C23-I","SGA2-VIII-C23-STM","2671-2673","89","79","71","condition i","complete","retain universal x in U depth function strict inequality n minus c of x","source_compared_formula_self_review_pass","high","strict inequality can be weakened accidentally","use greater-than-or-equal or omit c of x","SGA2-VIII-C23-II;SGA2-VIII-C23-QA","French source line2683 after blank line2682","independent inequality review","1"
"SGA2-VIII-C23-ALIGN-004","source_formula_alignment","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-C23-II","SGA2-VIII-C23-STM","2674-2675","89","79","71","condition ii","complete","retain universal x in U qualifier c of x equals1 and weak lower bound n","source_compared_formula_self_review_pass","high","condition c of x equals1 or weak inequality can be lost","use strict bound or quantify all x without qualifier","SGA2-VIII-C23-I;SGA2-VIII-C23-QA","French source line2683 after blank line2682","independent inequality review","1"
"SGA2-VIII-C23-ALIGN-005","source_formula_alignment","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-C23-III","SGA2-VIII-C23-STM","2676-2677","89","79","71","condition iii","complete","retain every integer i sheaf local cohomology coherence and weak upper bound n","source_compared_formula_self_review_pass","high","sheaf local cohomology can be confused with global supported cohomology","write ordinary H without calligraphic sheaf symbol or use strict bound","SGA2-VIII-C23-IV;SGA2-VIII-C23-QA","French source line2683 after blank line2682","independent sheaf and quantifier review","1"
"SGA2-VIII-C23-ALIGN-006","source_formula_note_alignment","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-C23-IV","SGA2-VIII-C23-STM","2678-2679","89","79","71","condition iv","complete","retain higher direct image R superscript i followed by immersion i subscript star restriction to U coherence and strict bound","source_compared_formula_note_self_review_pass","high","the two roles of i are typographically adjacent and easy to collapse","replace by unindexed direct image omit restriction or use weak bound","SGA2-VIII-C23-NDE4;SGA2-VIII-C23-QA","French source line2683 after blank line2682","independent direct-image review","1"
"SGA2-VIII-C23-ALIGN-007","source_note_alignment","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-C23-NDE4","SGA2-VIII-C23-IV","2679","89","79","71","editor note4 attached to condition iv","complete","retain body-of-proof provenance absence from statement Section3 use and editorial addition","source_compared_note_self_review_pass","high","note can be omitted summarized or detached from condition iv","omit the note or call it a translator note","SGA2-VIII-C23-IV;SGA2-VIII-C23-QA","French source line2683 after blank line2682","independent note review","1"
"SGA2-VIII-C23-ALIGN-008","source_structure_alignment","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-C23-STM","SGA2-VIII-C23","2670-2681","89","79","71","heading number and Roman item sequence","complete","render Corollary2.3 followed exactly by items i through iv","source_compared_structure_self_review_pass","high","comparison heading is unnumbered and generic lists may use Arabic labels","manual unnumbered heading or Arabic item list","SGA2-VIII-C23-I;SGA2-VIII-C23-II;SGA2-VIII-C23-III;SGA2-VIII-C23-IV","French source line2683 after blank line2682","independent numbering review","1"
"SGA2-VIII-C23-ALIGN-009","source_boundary_alignment","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-C23-BOUND","SGA2-VIII-C23","2641;2670-2685","89","79","71","authority box and exact cursor","complete","distinguish printed89 physical79 running71 and exclude printed90 marker at line2685","source_marker_and_pdf_self_review_pass","high","the visible marginal90 lower on physical page79 can be misassigned to the statement","record printed90 or include proof opening","SGA2-VIII-C23-QA;OUTBOUND:SGA2-VIII-C23-PROOF","French source line2683 after blank line2682","independent locator review","1"
"SGA2-VIII-C23-ALIGN-010","comparison_alignment","comparison_only_not_authority","SGA2-VIII-C23-CAND","SGA2-VIII-C23","jcreinhold ii08 lines294-308","89","79","71","comparison audit","complete_comparison_only","accept only French-verified close wording inequalities Roman labels and note content","comparison_audited_not_promoted","high","single LLM lineage is not corroboration and omits visible heading numeral","copy candidate without source check","COMPARISON:jcreinhold_e7a259f;SGA2-VIII-C23-QA","French source line2683 after blank line2682","candidate revision or independent source review","1"

