"request_row_id","preflight_row_id","queue_item_id","candidate_form_id","source_form_id","term_id","language_lane","english_concept","mathematical_domain","priority","pages_checked","pages_with_exact_term_occurrence","candidate_note_values_sha256","required_candidate_fields_complete","primary_confirmation_role_class","request_route_label","non_personal_route_required","addressee_or_owner_role","dispatch_medium","local_standard_route","license_context_note","request_question_scope","request_question_count","request_status","dispatch_status","return_status","confirmation_status","application_allowed_now","apply_status","reviewer_packet_population_allowed","reviewer_packet_population_performed","source_text_copied","source_language_terms_copied","personal_contact_details_copied","native_review_status","canonical_approval_status","request_decision"
"request-preflight-confirm-apply-candidate-filled-note-form-term-fr-0006","preflight-confirm-apply-candidate-filled-note-form-term-fr-0006","confirm-apply-candidate-filled-note-form-term-fr-0006","candidate-filled-note-form-term-fr-0006","note-form-term-fr-0006","term-fr-0006","french","module","module_theory","high","62","62","8B3207E61F62712347A122991E35F0D0ED69E72B176C1E1619F31BD0F624305E","True","native_or_near_native_french_mathematical_reviewer","","True","","","","","confirm_source_safe_context_note_and_register_scope_only","6","blank_not_dispatched","not_dispatched","no_return_received","pending_human_confirmation","False","blocked_until_confirmation_return","False","False","False","False","0","not_reviewed","not_approved","may_prepare_for_confirmation_dispatch_after_non_personal_route_fields_are_filled"
"request-preflight-confirm-apply-candidate-filled-note-form-term-fr-0007","preflight-confirm-apply-candidate-filled-note-form-term-fr-0007","confirm-apply-candidate-filled-note-form-term-fr-0007","candidate-filled-note-form-term-fr-0007","note-form-term-fr-0007","term-fr-0007","french","quotient module","module_theory","high","12","10","87443B72CA955BDF33299EBCE42599CDE8A17BA363F27DB7CBCF73596B87C333","True","native_or_near_native_french_mathematical_reviewer","","True","","","","","confirm_source_safe_context_note_and_register_scope_only","6","blank_not_dispatched","not_dispatched","no_return_received","pending_human_confirmation","False","blocked_until_confirmation_return","False","False","False","False","0","not_reviewed","not_approved","may_prepare_for_confirmation_dispatch_after_non_personal_route_fields_are_filled"
"request-preflight-confirm-apply-candidate-filled-note-form-term-fr-0008","preflight-confirm-apply-candidate-filled-note-form-term-fr-0008","confirm-apply-candidate-filled-note-form-term-fr-0008","candidate-filled-note-form-term-fr-0008","note-form-term-fr-0008","term-fr-0008","french","tensor product","module_theory","high","15","10","963DA8A85AA8CD7735F73ADBF8F688780641605789FB4F47831E84CFEF28DFC9","True","native_or_near_native_french_mathematical_reviewer","","True","","","","","confirm_source_safe_context_note_and_register_scope_only","6","blank_not_dispatched","not_dispatched","no_return_received","pending_human_confirmation","False","blocked_until_confirmation_return","False","False","False","False","0","not_reviewed","not_approved","may_prepare_for_confirmation_dispatch_after_non_personal_route_fields_are_filled"
"request-preflight-confirm-apply-candidate-filled-note-form-term-fr-0009","preflight-confirm-apply-candidate-filled-note-form-term-fr-0009","confirm-apply-candidate-filled-note-form-term-fr-0009","candidate-filled-note-form-term-fr-0009","note-form-term-fr-0009","term-fr-0009","french","submodule","module_theory","high","36","36","D107A6BEDB8FA22A09F19BDCC807116FC5EAAC7C48F319523A9B318F67DCE1EB","True","native_or_near_native_french_mathematical_reviewer","","True","","","","","confirm_source_safe_context_note_and_register_scope_only","6","blank_not_dispatched","not_dispatched","no_return_received","pending_human_confirmation","False","blocked_until_confirmation_return","False","False","False","False","0","not_reviewed","not_approved","may_prepare_for_confirmation_dispatch_after_non_personal_route_fields_are_filled"
"request-preflight-confirm-apply-candidate-filled-note-form-term-fr-0014","preflight-confirm-apply-candidate-filled-note-form-term-fr-0014","confirm-apply-candidate-filled-note-form-term-fr-0014","candidate-filled-note-form-term-fr-0014","note-form-term-fr-0014","term-fr-0014","french","Noetherian ring","noetherian","high","17","13","8FD04BB73BF83ECE84983742AD7B84A112CFC61E442FE10441D0DE8DC5CABC91","True","native_or_near_native_french_mathematical_reviewer","","True","","","","","confirm_source_safe_context_note_and_register_scope_only","6","blank_not_dispatched","not_dispatched","no_return_received","pending_human_confirmation","False","blocked_until_confirmation_return","False","False","False","False","0","not_reviewed","not_approved","may_prepare_for_confirmation_dispatch_after_non_personal_route_fields_are_filled"
"request-preflight-confirm-apply-candidate-filled-note-form-term-fr-0015","preflight-confirm-apply-candidate-filled-note-form-term-fr-0015","confirm-apply-candidate-filled-note-form-term-fr-0015","candidate-filled-note-form-term-fr-0015","note-form-term-fr-0015","term-fr-0015","french","Noetherian","noetherian","high","45","45","847C406A9D5E05F4B0464E39FEC70567B36C14143E4644C2301D7EFE58D61F72","True","native_or_near_native_french_mathematical_reviewer","","True","","","","","confirm_source_safe_context_note_and_register_scope_only","6","blank_not_dispatched","not_dispatched","no_return_received","pending_human_confirmation","False","blocked_until_confirmation_return","False","False","False","False","0","not_reviewed","not_approved","may_prepare_for_confirmation_dispatch_after_non_personal_route_fields_are_filled"
"request-preflight-confirm-apply-candidate-filled-note-form-term-fr-0016","preflight-confirm-apply-candidate-filled-note-form-term-fr-0016","confirm-apply-candidate-filled-note-form-term-fr-0016","candidate-filled-note-form-term-fr-0016","note-form-term-fr-0016","term-fr-0016","french","irreducible","representation_theory","high","41","41","4CEEE4F8BD849F5582D3A63A6D677EA152245E640FBE9BF35F63168CBD4C1E12","True","native_or_near_native_french_mathematical_reviewer","","True","","","","","confirm_source_safe_context_note_and_register_scope_only","6","blank_not_dispatched","not_dispatched","no_return_received","pending_human_confirmation","False","blocked_until_confirmation_return","False","False","False","False","0","not_reviewed","not_approved","may_prepare_for_confirmation_dispatch_after_non_personal_route_fields_are_filled"
"request-preflight-confirm-apply-candidate-filled-note-form-term-fr-0017","preflight-confirm-apply-candidate-filled-note-form-term-fr-0017","confirm-apply-candidate-filled-note-form-term-fr-0017","candidate-filled-note-form-term-fr-0017","note-form-term-fr-0017","term-fr-0017","french","representation","representation_theory","high","3","3","A49C12E2E71C67AD1B5AE149A6AE6570BEA099593261A6902B4786E769FB020B","True","native_or_near_native_french_mathematical_reviewer","","True","","","","","confirm_source_safe_context_note_and_register_scope_only","6","blank_not_dispatched","not_dispatched","no_return_received","pending_human_confirmation","False","blocked_until_confirmation_return","False","False","False","False","0","not_reviewed","not_approved","may_prepare_for_confirmation_dispatch_after_non_personal_route_fields_are_filled"
"request-preflight-confirm-apply-candidate-filled-note-form-term-fr-0018","preflight-confirm-apply-candidate-filled-note-form-term-fr-0018","confirm-apply-candidate-filled-note-form-term-fr-0018","candidate-filled-note-form-term-fr-0018","note-form-term-fr-0018","term-fr-0018","french","ring","ring_theory","medium","63","63","569D91249C13447635D4144DEA9C6AAE5BF21E3E5A3916CB9B7FEBEF3BBA47FC","True","native_or_near_native_french_mathematical_reviewer","","True","","","","","confirm_source_safe_context_note_and_register_scope_only","6","blank_not_dispatched","not_dispatched","no_return_received","pending_human_confirmation","False","blocked_until_confirmation_return","False","False","False","False","0","not_reviewed","not_approved","may_prepare_for_confirmation_dispatch_after_non_personal_route_fields_are_filled"
"request-preflight-confirm-apply-candidate-filled-note-form-term-fr-0019","preflight-confirm-apply-candidate-filled-note-form-term-fr-0019","confirm-apply-candidate-filled-note-form-term-fr-0019","candidate-filled-note-form-term-fr-0019","note-form-term-fr-0019","term-fr-0019","french","ideal","ring_theory","medium","47","38","494F420850562C05F080E959B6ABD6B9F2F79CC85A4921977C8D6A9D792777D2","True","native_or_near_native_french_mathematical_reviewer","","True","","","","","confirm_source_safe_context_note_and_register_scope_only","6","blank_not_dispatched","not_dispatched","no_return_received","pending_human_confirmation","False","blocked_until_confirmation_return","False","False","False","False","0","not_reviewed","not_approved","may_prepare_for_confirmation_dispatch_after_non_personal_route_fields_are_filled"
