file,pages,bytes
En/sga7i_001_469_en.pdf,135,1387132
En/sga7i_398_469_en.pdf,14,499929
En/sga7i_423_469_en.pdf,11,270081
Fr/sga7i_001_469_fr_source.pdf,155,5709038
Fr/sga7i_398_469_fr_source.pdf,72,4874290
Fr/sga7i_423_469_fr_source.pdf,47,3054266
Src/sga7i_full_scan.pdf,528,37362787
Src/sga7i_src_001_469.pdf,469,33413604
Src/sga7i_src_398_469.pdf,72,4874290
Src/sga7i_src_423_469.pdf,47,3054266
Src/sga7ii_full_scan.pdf,444,27494742
PDFs/sga7i_001_469_en.pdf,135,1387132
PDFs/sga7i_001_469_fr_source.pdf,155,5709038
PDFs/sga7i_398_469_en.pdf,14,499929
PDFs/sga7i_398_469_fr_source.pdf,72,4874290
PDFs/sga7i_423_469_en.pdf,11,270081
PDFs/sga7i_423_469_fr_source.pdf,47,3054266
PDFs/sga7i_src_001_469.pdf,469,33413604
PDFs/sga7i_src_398_469.pdf,72,4874290
PDFs/sga7i_src_423_469.pdf,47,3054266
