"decision_id","evidence_class","authority_role","unit_id","source_term_or_delta","source_locator","target_locator","chosen_english_or_action","normalization_class","adverse_delta","rejected_alternative","motivation","status","confidence","record_revision","continuation_cursor","revisit_condition"
"SGA2-VIII-T21-TERM-001","terminology","corrected_french_tex","SGA2-VIII-T21-SEC","theoreme de finitude","French line2640","Section2 heading","Finiteness Theorem","SGA_wide_title_register","none","Finite Theorem","established ExposeVIII and candidate glossary convention","applied_self_reviewed","high","1","French source line2661 after blank line2660","SGA-wide register revision"
"SGA2-VIII-T21-TERM-002","terminology","corrected_french_tex","SGA2-VIII-T21-STM","preschema localement noetherien","French line2644","theorem opening","locally Noetherian prescheme","historical_source_register","none","locally Noetherian scheme","preserve the source category and US capitalization convention","applied_self_reviewed","high","1","French source line2661 after blank line2660","SGA-wide prescheme policy revision"
"SGA2-VIII-T21-TERM-003","terminology","corrected_french_tex","SGA2-VIII-T21-STM","partie fermee","French line2644","theorem opening","closed subset","standard_topological_register","none","closed part","idiomatic precise English","applied_self_reviewed","high","1","French source line2661 after blank line2660","terminology register revision"
"SGA2-VIII-T21-TERM-004","terminology","corrected_french_tex","SGA2-VIII-T21-STM","localement immergeable","French line2645","regular-prescheme hypothesis","locally embeddable","SGA_wide_geometric_register","possible distinction between general immersion and embedding","locally immersible","established candidate glossary wording accepted only after direct source and context check","applied_self_reviewed","medium_high","1","French source line2661 after blank line2660","manager terminology conflict or EGA-wide immersion policy"
"SGA2-VIII-T21-TERM-005","terminology","corrected_french_tex","SGA2-VIII-T21-FNREG","complexe dualisant","French line2645 note","regular-prescheme footnote","dualizing complex","standard_duality_register","none","dual complex","standard Hartshorne terminology","applied_self_reviewed","high","1","French source line2661 after blank line2660","SGA-wide duality register revision"
"SGA2-VIII-T21-TERM-006","source_branch","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-T21-FNREG","sisi page23 versus pageref pagecithar","French line2645 and physical78","regular-prescheme footnote","retain corrected compiled page46","corrected_source_branch","first branch is stale","page23","current French branch and compiled reader agree on page46","applied_self_reviewed","high","1","French source line2661 after blank line2660","authority branch reversal"
"SGA2-VIII-T21-TERM-007","notation_policy","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-T21-CODIM","c(x) codim closures","French lines2653-2654 and physical79","equation2.1","preserve closure bars intersection Y and argument order","source_notation_preservation","none","candidate fenced text without equation object","formula and reference integrity require editable numbered equation","applied_self_reviewed","high","1","French source line2661 after blank line2660","authority replacement"
"SGA2-VIII-T21-TERM-008","notation_policy","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-T21-CONDB","SheafH i Y","French line2657 and physical79","condition b","script H superscript i subscript Y of script F","source_notation_preservation","plain-text extraction may simplify script forms","global H subscript Y","source denotes the sheaf local-cohomology object","applied_self_reviewed","high","1","French source line2661 after blank line2660","SGA-wide sheaf-local-cohomology policy"
"SGA2-VIII-T21-TERM-009","comparison_rejection","comparison_only_not_authority","SGA2-VIII-T21-CAND","candidate visible theorem heading","jcreinhold lines257-284","heading and equation","retain Theorem2.1 and automatic equation2.1","adverse_candidate_delta","candidate drops theorem numeral and uses fenced text","follow candidate layout","source numbering and anchor are publication-critical","rejected_after_source_check","high","1","French source line2661 after blank line2660","candidate revision with source evidence"
"SGA2-VIII-T21-TERM-010","comparison_rejection","comparison_only_not_authority","SGA2-VIII-T21-CAND","candidate original page71 comment","jcreinhold line272","locator ledger","record printed89 physical78-79 running70-71","locator_correction","candidate conflates running page71 with original printed page","original printed page71","direct PDF margin markers distinguish original89 from running71","rejected_after_source_check","high","1","French source line2661 after blank line2660","new authority pagination evidence"
