"alignment_id","evidence_class","authority_role","unit_id","parent_id","source_tex_lines","original_printed_pages","physical_source_pdf_pages","recomposed_running_pages","target_locator","coverage_status","decision","status","confidence","adverse_delta","rejected_alternative","cross_references","continuation_cursor","revisit_condition","record_revision"
"SGA2-VIII-T21-ALIGN-001","source_alignment","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-T21","","2640-2659","89","78-79","70-71","complete bounded Section2 heading and Theorem2.1 statement","complete","translate the heading full theorem statement three notes conditions a-b and equation2.1 then stop before Corollary2.2; build render extraction and machine gates pass","bounded_unit_self_gated_independent_review_required","high","none","extend into line2661 or treat candidate as authority","INBOUND:SGA2-VIII-L12C;OUTBOUND:SGA2-VIII-C22","French source line2661 after blank line2660","independent source review or cumulative integration","2"
"SGA2-VIII-T21-ALIGN-002","source_alignment","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-T21-SEC","SGA2-VIII-T21","2640-2642","89","78","70","Section 2 heading and theorem counter","complete","retain Section2 title label and Theorem2.1 number","source_compared_self_review_pass","high","none","drop theorem numeral as comparison candidate does","SGA2-VIII-T21-STM","French source line2661 after blank line2660","independent structure review","1"
"SGA2-VIII-T21-ALIGN-003","source_alignment","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-T21-STM","SGA2-VIII-T21","2643-2645","89","78","70","theorem heading opening hypotheses and two attached notes","complete","preserve locally Noetherian prescheme closed subset coherent OX-module local embeddability i in Z and note attachments","source_compared_self_review_pass","high","source corrected branches F-script and page46 are used","plain F stale page23 or omission of notes","SGA2-VIII-T21-NDE1;SGA2-VIII-T21-FNREG","French source line2661 after blank line2660","independent wording and note review","1"
"SGA2-VIII-T21-ALIGN-004","source_alignment","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-T21-NDE1","SGA2-VIII-T21-STM","2644","89","78","70","theorem-title editor note","complete","translate full Raynaud citation and retain attachment to theorem heading","source_compared_self_review_pass","high","none","omit editor note or silently modernize article title","SGA2-VIII-T21-STM","French source line2661 after blank line2660","independent bibliographic review","1"
"SGA2-VIII-T21-ALIGN-005","source_alignment","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-T21-FNREG","SGA2-VIII-T21-STM","2645","89","78","70","regular-prescheme hypothesis footnote","complete","retain dualizing-complex generalization Hartshorne citation and corrected page46","source_compared_self_review_pass","high","source first branch page23 is superseded by corrected page-reference branch","candidate or inherited stale page23","SGA2-VIII-T21-STM","French source line2661 after blank line2660","independent citation review","1"
"SGA2-VIII-T21-ALIGN-006","source_alignment","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-T21-CONDA","SGA2-VIII-T21","2646-2652","89","78-79","70-71","condition a and local-cohomology note","complete","preserve all quantifiers U equals X minus Y exponent i-c(x) stalk and editor note","source_compared_self_review_pass","high","none","replace X-Y by an unstated complement notation or omit note","SGA2-VIII-T21-NDE2;SGA2-VIII-T21-CODIM","French source line2661 after blank line2660","independent formula review","1"
"SGA2-VIII-T21-ALIGN-007","source_alignment","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-T21-NDE2","SGA2-VIII-T21-CONDA","2652","89","79","71","local-cohomology editor note","complete","retain H-star of F-stalk means H-star_mx of F-stalk and ExposeV cross-reference","source_compared_self_review_pass","high","none","drop local-cohomology qualifier","SGA2-VIII-T21-CONDA","French source line2661 after blank line2660","independent note review","1"
"SGA2-VIII-T21-ALIGN-008","source_alignment","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-T21-CODIM","SGA2-VIII-T21-CONDA","2653-2654","89","79","71","equation 2.1","complete","use automatic Section2 equation numbering and preserve both closure bars intersection and codimension order","source_compared_self_review_pass","high","none","candidate fenced text or unbarred point closures","SGA2-VIII-T21-CONDB","French source line2661 after blank line2660","independent formula and anchor review","1"
"SGA2-VIII-T21-ALIGN-009","source_alignment","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-T21-CONDB","SGA2-VIII-T21","2655-2659","89","79","71","Then and condition b","complete","retain sheaf local cohomology script-H subscript Y superscript i and coherence conclusion","source_compared_self_review_pass","high","none","global local-cohomology H or plain F","SGA2-VIII-T21-BOUND","French source line2661 after blank line2660","independent notation review","1"
"SGA2-VIII-T21-ALIGN-010","source_boundary","corrected_french_tex","SGA2-VIII-T21-BOUND","SGA2-VIII-T21","2660-2661","89","79","71","unit stop after theorem statement","complete","exclude blank2660 and Corollary2.2 at line2661","source_compared_boundary_pass","high","none","absorb Corollary2.2 without assigned scope","OUTBOUND:SGA2-VIII-C22","French source line2661 after blank line2660","next unit assignment","1"
