artifact_id,relative_path,artifact_class,language_or_profile,status,claim_limit
NOE-P29-SRC-EXACT,source/Noether_Paper29_German_P31_Sealed_exact_slice.tex,canonical_source_unit,de,sealed_exact_slice,P31 Paper 29 only
NOE-P29-SRC-CONTROL-TEX,source/Noether_Paper29_German_P31_Sealed_control.tex,editable_build_source,de,qa_control,standalone wrapper
NOE-P29-SRC-CONTROL-PDF,source/Noether_Paper29_German_P31_Sealed_control.pdf,compiled_pdf,de,internal_qa_pass,not a new source edition
NOE-P29-ZH-HANS-TEX,zh-Hans-CN/Noether_Paper29_Chinese_P31Reconciled_zh-Hans-CN_v001.tex,editable_translation,zh-Hans-CN,internal_qa_pass,no external certification
NOE-P29-ZH-HANS-PDF,zh-Hans-CN/Noether_Paper29_Chinese_P31Reconciled_zh-Hans-CN_v001.pdf,compiled_translation,zh-Hans-CN,internal_qa_pass,no Singapore authorization
NOE-P29-ZH-HANT-TEX,zh-Hant-controlled/Noether_Paper29_Chinese_P31Reconciled_zh-Hant-controlled_v001.tex,editable_script_bridge,zh-Hant,internal_qa_pass,not TW/HK/MO localization
NOE-P29-ZH-HANT-PDF,zh-Hant-controlled/Noether_Paper29_Chinese_P31Reconciled_zh-Hant-controlled_v001.pdf,compiled_script_bridge,zh-Hant,internal_qa_pass,not TW/HK/MO localization
NOE-P29-WITNESS,witness/Noether_Paper29_SimplifiedChinese_Inherited_exact_slice.tex,translation_witness,zh-Hans,retained_adverse_locator,not native evidence
NOE-P29-EVIDENCE,evidence/NOE-P29_TYPED_EVIDENCE_GRAPH.json,typed_evidence_graph,multilingual,internal_schema_channel_separation,no external validation
NOE-P29-CROSSWALK,evidence/NOE-P29_CJKV_CROSSWALK.csv,terminology_crosswalk,cjkv,internal_policy_complete,no cross-language authorization
NOE-P29-DECISIONS,decisions/,typed_decision_records,zh-Hans-CN+zh-Hant,internal_qa_pass,external and cohort gates remain pending
NOE-P29-VISUAL,visual_inspection/,rendered_page_qa,de+zh-Hans-CN+zh-Hant,13_pages_inspected,internal visual QA only
NOE-P29-QA,qa/,machine_and_editorial_qa,mixed,pass,see individual claim limits
