"audit_scope","language","status","issue","coverage_state","boundary","evidence"
"draft_row","Belarusian","pass","","covered","draft; non-canonical; not native reviewed; not accepted terminology; not gate promotion; not blanket license clearance; not translation completion","draft row allowed only as review material; formula-neighboring tokens checked"
"draft_row","Bulgarian","pass","","covered","draft; non-canonical; not native reviewed; not accepted terminology; not gate promotion; not blanket license clearance; not translation completion","draft row allowed only as review material; formula-neighboring tokens checked"
"draft_row","Croatian","pass","","covered","draft; non-canonical; not native reviewed; not accepted terminology; not gate promotion; not blanket license clearance; not translation completion","draft row allowed only as review material; formula-neighboring tokens checked"
"draft_row","Czech","pass","","covered","draft; non-canonical; not native reviewed; not accepted terminology; not gate promotion; not blanket license clearance; not translation completion","draft row allowed only as review material; formula-neighboring tokens checked"
"draft_row","Macedonian","pass","","covered","draft; non-canonical; not native reviewed; not accepted terminology; not gate promotion; not blanket license clearance; not translation completion","draft row allowed only as review material; formula-neighboring tokens checked"
"draft_row","Montenegrin","pass","","covered","draft; non-canonical; not native reviewed; not accepted terminology; not gate promotion; not blanket license clearance; not translation completion","draft row allowed only as review material; formula-neighboring tokens checked"
"draft_row","Polish","pass","","covered","draft; non-canonical; not native reviewed; not accepted terminology; not gate promotion; not blanket license clearance; not translation completion","draft row allowed only as review material; formula-neighboring tokens checked"
"draft_row","Serbian","pass","","covered","draft; non-canonical; not native reviewed; not accepted terminology; not gate promotion; not blanket license clearance; not translation completion","draft row allowed only as review material; formula-neighboring tokens checked"
"draft_row","Slovak","pass","","covered","draft; non-canonical; not native reviewed; not accepted terminology; not gate promotion; not blanket license clearance; not translation completion","draft row allowed only as review material; formula-neighboring tokens checked"
"draft_row","Slovenian","pass","","covered","draft; non-canonical; not native reviewed; not accepted terminology; not gate promotion; not blanket license clearance; not translation completion","draft row allowed only as review material; formula-neighboring tokens checked"
"gap_row","Bosnian","pass","","official_control_plus_modern_cobiss_and_third_party_candidate_no_authority_upgrade","draft; non-canonical; not native reviewed; not accepted terminology; not gate promotion; not blanket license clearance; not translation completion","Seek official PMF textbook fulltext/source package or permission-clean copy; keep PMF staff and COBISS routes bibliographic-only and Scribd lead candidate-only."
"gap_row","Interslavic/Panslavic","pass","","source_package_lexicon_plus_publication_route_witness_blocked","draft; non-canonical; not native reviewed; not accepted terminology; not gate promotion; not blanket license clearance; not translation completion","Seek publication-level Interslavic/Panslavic mathematical source, target-language TeX/e-print/source package for a mathematical text, or qualified reviewer before authority claims; current Steen/wiki/slovnik/arXiv routes do not close the blocker."
"gap_row","Sorbian Lower","pass","","source_package_lexicon_plus_wiki_route_publication_blocked","draft; non-canonical; not native reviewed; not accepted terminology; not gate promotion; not blanket license clearance; not translation completion","Obtain the WITAJ/Domowina booklet or corpus text; keep catalog/source-package/wiki evidence findability-only."
"gap_row","Sorbian Upper","pass","","source_package_lexicon_plus_inventory_wiki_route_publication_blocked","draft; non-canonical; not native reviewed; not accepted terminology; not gate promotion; not blanket license clearance; not translation completion","Obtain the terminology booklet/corpus text or Upper Sorbian reviewer confirmation for concrete algebra/ring/module/group terms; keep catalog/source-package/spreadsheet/wiki evidence findability-only."
"queue_guardrail","ALL","pass","","queue_rows=14","no active rebuild trigger, permission claim, review claim, or translation trigger may be inferred from draft support","claims_or_triggers=0"
"coverage_set","ALL","pass","","covered=10;draft=10;gap=4","draft support must exactly match covered rows and exclude gaps","covered=Belarusian,Bulgarian,Croatian,Czech,Macedonian,Montenegrin,Polish,Serbian,Slovak,Slovenian; gaps=Bosnian,Interslavic/Panslavic,Sorbian Lower,Sorbian Upper"
