root_name,local_path,dest_base,intended_for_import,package_status,hold_reason,file_count,bytes,manifest_rows,sha_rows
OLP_761BEC88_INTERLINEAR_TERMINOLOGY_SOURCE_USE_RECOVERY_20260707,C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_761BEC88_INTERLINEAR_TERMINOLOGY_SOURCE_USE_RECOVERY_20260707,uploader-transfer/olp-relation-function-support-761bec88-interlinear-terminology-source-use-recovery-20260707,True,ok,clean,14,49651,11,12
SLAVIC_A55A9D0F_LIVE_FRONTIER_DELTA_WATCHER_20260707,C:\Users\memo_\Documents\Codex\2026-07-04\noether-slavic-canonical-baseline\outputs\SLAVIC_A55A9D0F_LIVE_FRONTIER_DELTA_WATCHER_20260707,uploader-transfer/slavic-canonical-baseline-a55a9d0f-live-frontier-delta-watcher-20260707,True,ok,clean,19,22312,17,17
SLAVIC_AC6B40F4_LIVE_FRONTIER_DELTA_WATCHER_20260707,C:\Users\memo_\Documents\Codex\2026-07-04\noether-slavic-canonical-baseline\outputs\SLAVIC_AC6B40F4_LIVE_FRONTIER_DELTA_WATCHER_20260707,uploader-transfer/slavic-canonical-baseline-ac6b40f4-live-frontier-delta-watcher-20260707,True,ok,clean,19,27837,17,17
SLAVIC_18BBB185_LIVE_FRONTIER_DELTA_WATCHER_20260707,C:\Users\memo_\Documents\Codex\2026-07-04\noether-slavic-canonical-baseline\outputs\SLAVIC_18BBB185_LIVE_FRONTIER_DELTA_WATCHER_20260707,uploader-transfer/slavic-canonical-baseline-18bbb185-live-frontier-delta-watcher-20260707,True,ok,clean,20,37771,18,18
SLAVIC_1FA37D6D_LIVE_FRONTIER_DELTA_WATCHER_20260707,C:\Users\memo_\Documents\Codex\2026-07-04\noether-slavic-canonical-baseline\outputs\SLAVIC_1FA37D6D_LIVE_FRONTIER_DELTA_WATCHER_20260707,uploader-transfer/slavic-canonical-baseline-1fa37d6d-live-frontier-delta-watcher-20260707,True,ok,clean,19,25323,17,17
ROMANCE_761BEC88_FRONTIER_SOURCE_USE_GAP_20260707,C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\ROMANCE_761BEC88_FRONTIER_SOURCE_USE_GAP_20260707,uploader-transfer/romance-source-evidence-draft-lane-761bec88-frontier-source-use-gap-20260707,False,held,not_intended_or_safety_hold,19,297417,16,16
OLP_761BEC88_09A8_SOURCE_USE_ADVERSE_RECOVERY_20260707,C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_761BEC88_09A8_SOURCE_USE_ADVERSE_RECOVERY_20260707,uploader-transfer/olp-relation-function-support-761bec88-09a8-source-use-adverse-recovery-20260707,True,ok,clean,15,28474,12,13
R7_761BEC88_CURRENT_HEAD_R9_ROUTE_CONTEXT_BOUNDARY_20260707,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r7-malay-sea-pacific\outputs\R7_761BEC88_CURRENT_HEAD_R9_ROUTE_CONTEXT_BOUNDARY_20260707,uploader-transfer/r7-malay-sea-pacific-761bec88-current-head-r9-route-context-boundary-20260707,True,ok,clean,13,108529,11,12
PERSIANATE_TAJIK_761BEC88_B3_FRONTIER_RECOVERY_20260707,C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\PERSIANATE_TAJIK_761BEC88_B3_FRONTIER_RECOVERY_20260707,uploader-transfer/persianate-tajik-source-evidence-draft-lane-761bec88-b3-frontier-recovery-20260707,True,ok,clean,33,213297,30,30
CJK_DRAFT_761BEC88_CURRENT_FRONTIER_RECOVERY_20260707,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_761BEC88_CURRENT_FRONTIER_RECOVERY_20260707,uploader-transfer/cjk-source-evidence-draft-lane-761bec88-current-frontier-recovery-20260707,False,held,not_intended_or_safety_hold,28,8227684,26,26
SLAVIC_761BEC88_PLACEHOLDER_REPAIR_AND_FRONTIER_AUDIT_20260707,C:\Users\memo_\Documents\Codex\2026-07-04\noether-slavic-canonical-baseline\outputs\SLAVIC_761BEC88_PLACEHOLDER_REPAIR_AND_FRONTIER_AUDIT_20260707,uploader-transfer/slavic-canonical-baseline-761bec88-placeholder-repair-and-frontier-audit-20260707,True,ok,clean,18,92825,16,16
R9_761BEC88_CURRENT_FRONTIER_ROUTE_RECOVERY_20260707,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_761BEC88_CURRENT_FRONTIER_ROUTE_RECOVERY_20260707,uploader-transfer/r9-africa-horn-west-761bec88-current-frontier-route-recovery-20260707,True,ok,clean,18,209661,16,17
