lexeme_id,candidate_bridge_form,raw_witness_weight,supported_languages,capped_log_count,equal_splits_weights,iranic_weight,indo_aryan_weight,leaf_effective_branch_number_D,root_effective_branch_number_D,kl_skew_from_uniform_leaf_target,dominance_penalty,status,notes
PTR-ALG-0001,halqa/halqe = حلقه / Ҳалқа,1.3500,fa_IR|tg_Cyrl_TJ,0.8544,fa=0.1250;prs=0.0000;tg=0.1000;ur=0.0000; ps=0.0000(excluded-adjacent),0.2250,0,1.9877,1,0.6993,0.75,exploratory_insufficient_branch_support,"Weights are evidence/accounting weights only; no native review, no certification, no accepted term. Pashto ps_AF evidence is adjacent-only and excluded from current witness weight. prs_AF stale Pashto citations were retired where listed in prs_af_stale_pashto_witness_retirement_20260705.csv."
PTR-ALG-0002,meydan/saha/maydon = میدان / ساحه / майдон,1.6000,fa_IR|tg_Cyrl_TJ|ur,0.9555,fa=0.1250;prs=0.0000;tg=0.1000;ur=0.1250; ps=0.0000(excluded-adjacent),0.2250,0.1250,2.9843,1.9189,0.2929,0.2,review_required_noncanonical,"Weights are evidence/accounting weights only; no native review, no certification, no accepted term. Pashto ps_AF evidence is adjacent-only and excluded from current witness weight. prs_AF stale Pashto citations were retired where listed in prs_af_stale_pashto_witness_retirement_20260705.csv."
PTR-ALG-0003,ideal = ایده‌آل / ایدیال,0.7500,fa_IR,0.5596,fa=0.1250;prs=0.0000;tg=0.0000;ur=0.0000; ps=0.0000(excluded-adjacent),0.1250,0,1,1,1.3863,0.75,exploratory_insufficient_branch_support,"Weights are evidence/accounting weights only; no native review, no certification, no accepted term. Pashto ps_AF evidence is adjacent-only and excluded from current witness weight. prs_AF stale Pashto citations were retired where listed in prs_af_stale_pashto_witness_retirement_20260705.csv."
PTR-ALG-0004,prime ideal = ایده‌آل‌های اول (fa only),0.7500,fa_IR,0.5596,fa=0.1250;prs=0.0000;tg=0.0000;ur=0.0000; ps=0.0000(excluded-adjacent),0.1250,0,1,1,1.3863,0.75,exploratory_insufficient_branch_support,"Weights are evidence/accounting weights only; no native review, no certification, no accepted term. Pashto ps_AF evidence is adjacent-only and excluded from current witness weight. prs_AF stale Pashto citations were retired where listed in prs_af_stale_pashto_witness_retirement_20260705.csv."
PTR-ALG-0005,Galois theory = نظریه گالوا (fa only),0.7500,fa_IR,0.5596,fa=0.1250;prs=0.0000;tg=0.0000;ur=0.0000; ps=0.0000(excluded-adjacent),0.1250,0,1,1,1.3863,0.75,exploratory_insufficient_branch_support,"Weights are evidence/accounting weights only; no native review, no certification, no accepted term. Pashto ps_AF evidence is adjacent-only and excluded from current witness weight. prs_AF stale Pashto citations were retired where listed in prs_af_stale_pashto_witness_retirement_20260705.csv."
PTR-PRF-0006,equation = معادله / муодила / مساوات,2.2500,fa_IR|prs_AF|tg_Cyrl_TJ|ur,1.1787,fa=0.1250;prs=0.1083;tg=0.1000;ur=0.1250; ps=0.0000(excluded-adjacent),0.3333,0.1250,3.9820,1.7967,0.0045,0.2,review_required_noncanonical,"Weights are evidence/accounting weights only; no native review, no certification, no accepted term. Pashto ps_AF evidence is adjacent-only and excluded from current witness weight. prs_AF stale Pashto citations were retired where listed in prs_af_stale_pashto_witness_retirement_20260705.csv."
PTR-PRF-0007,formula = فرمول / فورمول / формула,2.0500,fa_IR|prs_AF|tg_Cyrl_TJ,1.1151,fa=0.1250;prs=0.1167;tg=0.1000;ur=0.0000; ps=0.0000(excluded-adjacent),0.3417,0,2.9874,1,0.2919,0.45,review_required_noncanonical,"Weights are evidence/accounting weights only; no native review, no certification, no accepted term. Pashto ps_AF evidence is adjacent-only and excluded from current witness weight. prs_AF stale Pashto citations were retired where listed in prs_af_stale_pashto_witness_retirement_20260705.csv."
PTR-PRF-0008,relation = رابطه (fa/prs; tg tentative),1.6000,fa_IR|prs_AF|tg_Cyrl_TJ,0.9555,fa=0.1250;prs=0.1250;tg=0.0167;ur=0.0000; ps=0.0000(excluded-adjacent),0.2667,0,2.4196,1,0.5027,0.45,review_required_noncanonical,"Weights are evidence/accounting weights only; no native review, no certification, no accepted term. Pashto ps_AF evidence is adjacent-only and excluded from current witness weight. prs_AF stale Pashto citations were retired where listed in prs_af_stale_pashto_witness_retirement_20260705.csv."
PTR-LIN-0009,determinant = دترمینان / муайянкунанда,1.3500,fa_IR|tg_Cyrl_TJ,0.8544,fa=0.1250;prs=0.0000;tg=0.1000;ur=0.0000; ps=0.0000(excluded-adjacent),0.2250,0,1.9877,1,0.6993,0.45,review_required_noncanonical,"Weights are evidence/accounting weights only; no native review, no certification, no accepted term. Pashto ps_AF evidence is adjacent-only and excluded from current witness weight. prs_AF stale Pashto citations were retired where listed in prs_af_stale_pashto_witness_retirement_20260705.csv."
PTR-INV-0010,invariant = ناوردا / инвариант (thin),0.8000,fa_IR|tg_Cyrl_TJ,0.5878,fa=0.0833;prs=0.0000;tg=0.0500;ur=0.0000; ps=0.0000(excluded-adjacent),0.1333,0,1.9378,1,0.7247,0.45,review_required_noncanonical,"Weights are evidence/accounting weights only; no native review, no certification, no accepted term. Pashto ps_AF evidence is adjacent-only and excluded from current witness weight. prs_AF stale Pashto citations were retired where listed in prs_af_stale_pashto_witness_retirement_20260705.csv."
