"ordinal","change","path","r3_relevance"
"1","A","coordination/non-slavic-core-7b34ec91-eight-lane-current-routing-20260707/NON_SLAVIC_CORE_7B34EC91_EIGHT_LANE_CURRENT_ROUTING_20260707/B3_HANDOFF_SENT_7B34EC91.md","r3-r6-route-context"
"2","A","coordination/non-slavic-core-7b34ec91-eight-lane-current-routing-20260707/NON_SLAVIC_CORE_7B34EC91_EIGHT_LANE_CURRENT_ROUTING_20260707/BRANCH_COMPARE_COMMITS_1A823D4A_TO_7B34EC91.csv","r3-r6-route-context"
"3","A","coordination/non-slavic-core-7b34ec91-eight-lane-current-routing-20260707/NON_SLAVIC_CORE_7B34EC91_EIGHT_LANE_CURRENT_ROUTING_20260707/BRANCH_COMPARE_FILES_1A823D4A_TO_7B34EC91.csv","r3-r6-route-context"
"4","A","coordination/non-slavic-core-7b34ec91-eight-lane-current-routing-20260707/NON_SLAVIC_CORE_7B34EC91_EIGHT_LANE_CURRENT_ROUTING_20260707/BRANCH_COMPARE_SUMMARY_7B34EC91.csv","r3-r6-route-context"
"5","A","coordination/non-slavic-core-7b34ec91-eight-lane-current-routing-20260707/NON_SLAVIC_CORE_7B34EC91_EIGHT_LANE_CURRENT_ROUTING_20260707/CHILD_PACKET_REFRESH_INVENTORY_7B34EC91.csv","r3-r6-route-context"
"6","A","coordination/non-slavic-core-7b34ec91-eight-lane-current-routing-20260707/NON_SLAVIC_CORE_7B34EC91_EIGHT_LANE_CURRENT_ROUTING_20260707/EIGHT_LANE_ROUTE_STATUS_ROWS_7B34EC91.csv","r3-r6-route-context"
"7","A","coordination/non-slavic-core-7b34ec91-eight-lane-current-routing-20260707/NON_SLAVIC_CORE_7B34EC91_EIGHT_LANE_CURRENT_ROUTING_20260707/EXACT_BLOCKER_RECOVERY_ROWS_7B34EC91.csv","r3-r6-route-context"
"8","A","coordination/non-slavic-core-7b34ec91-eight-lane-current-routing-20260707/NON_SLAVIC_CORE_7B34EC91_EIGHT_LANE_CURRENT_ROUTING_20260707/MANIFEST.csv","r3-r6-route-context"
"9","A","coordination/non-slavic-core-7b34ec91-eight-lane-current-routing-20260707/NON_SLAVIC_CORE_7B34EC91_EIGHT_LANE_CURRENT_ROUTING_20260707/README.md","r3-r6-route-context"
"10","A","coordination/non-slavic-core-7b34ec91-eight-lane-current-routing-20260707/NON_SLAVIC_CORE_7B34EC91_EIGHT_LANE_CURRENT_ROUTING_20260707/SHA256SUMS.txt","r3-r6-route-context"
"11","A","coordination/non-slavic-core-7b34ec91-eight-lane-current-routing-20260707/NON_SLAVIC_CORE_7B34EC91_EIGHT_LANE_CURRENT_ROUTING_20260707/SOURCE_USE_GAP_FABLE_ADVERSE_ROLLUP_7B34EC91.csv","r3-r6-route-context"
"12","A","coordination/non-slavic-core-7b34ec91-eight-lane-current-routing-20260707/NON_SLAVIC_CORE_7B34EC91_EIGHT_LANE_CURRENT_ROUTING_20260707/SUMMARY.json","r3-r6-route-context"
"13","A","coordination/non-slavic-core-7b34ec91-eight-lane-current-routing-20260707/NON_SLAVIC_CORE_7B34EC91_EIGHT_LANE_CURRENT_ROUTING_20260707/VISIBLE_THREAD_WAKE_STATUS_7B34EC91.csv","r3-r6-route-context"
"14","A","coordination/non-slavic-core-a55a9d0f-r3-r6-accounting-refresh-route-20260707/NON_SLAVIC_CORE_A55A9D0F_R3_R6_ACCOUNTING_REFRESH_ROUTE_20260707/BRANCH_COMPARE_COMMITS_7B34EC91_TO_A55A9D0F.csv","r3-r6-route-context"
"15","A","coordination/non-slavic-core-a55a9d0f-r3-r6-accounting-refresh-route-20260707/NON_SLAVIC_CORE_A55A9D0F_R3_R6_ACCOUNTING_REFRESH_ROUTE_20260707/BRANCH_COMPARE_FILES_7B34EC91_TO_A55A9D0F.csv","r3-r6-route-context"
"16","A","coordination/non-slavic-core-a55a9d0f-r3-r6-accounting-refresh-route-20260707/NON_SLAVIC_CORE_A55A9D0F_R3_R6_ACCOUNTING_REFRESH_ROUTE_20260707/BRANCH_COMPARE_SUMMARY_A55A9D0F.csv","r3-r6-route-context"
"17","A","coordination/non-slavic-core-a55a9d0f-r3-r6-accounting-refresh-route-20260707/NON_SLAVIC_CORE_A55A9D0F_R3_R6_ACCOUNTING_REFRESH_ROUTE_20260707/CHILD_PACKAGE_INVENTORY_A55A9D0F.csv","r3-r6-route-context"
"18","A","coordination/non-slavic-core-a55a9d0f-r3-r6-accounting-refresh-route-20260707/NON_SLAVIC_CORE_A55A9D0F_R3_R6_ACCOUNTING_REFRESH_ROUTE_20260707/EIGHT_LANE_ROUTE_STATUS_ROWS_A55A9D0F.csv","r3-r6-route-context"
"19","A","coordination/non-slavic-core-a55a9d0f-r3-r6-accounting-refresh-route-20260707/NON_SLAVIC_CORE_A55A9D0F_R3_R6_ACCOUNTING_REFRESH_ROUTE_20260707/EXACT_BLOCKER_RECOVERY_ROWS_A55A9D0F.csv","r3-r6-route-context"
"20","A","coordination/non-slavic-core-a55a9d0f-r3-r6-accounting-refresh-route-20260707/NON_SLAVIC_CORE_A55A9D0F_R3_R6_ACCOUNTING_REFRESH_ROUTE_20260707/MANIFEST.csv","r3-r6-route-context"
