"artifact","path","exists","files","bytes","has_manifest","has_sha256sums","label"
"parentA55","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_A55A9D0F_R3_R6_ACCOUNTING_REFRESH_ROUTE_20260707","True","13","27003","True","True","source-use-gap-provenance-inventory"
"parent7B","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_7B34EC91_EIGHT_LANE_CURRENT_ROUTING_20260707","True","13","67869","True","True","source-use-gap-provenance-inventory"
"persianA55","C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\PERSIANATE_TAJIK_A55A9D0F_R3_R6_ACCOUNTING_REFRESH_ROUTE_20260707","True","34","217687","True","True","source-use-gap-provenance-inventory"
"b3","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_18BBB185_A55_PERSIANATE_TAJIK_CHILD_RETURN_ROUTE_20260707","True","12","76271","True","True","source-use-gap-provenance-inventory"
"r3","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_7B34EC91_BRANCH_VISIBLE_1A_PERSIANATE_ROUTE_SOURCE_USE_GAP_20260707\R3_7B34EC91_BRANCH_VISIBLE_1A_PERSIANATE_ROUTE_SOURCE_USE_GAP_20260707_20260707T035624Z","True","29","81818","True","True","source-use-gap-provenance-inventory"
"r6","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\R6_7B34EC91_CURRENT_HEAD_SOURCE_START_CONTINUATION_20260707","True","21","321026","True","True","source-use-gap-provenance-inventory"
"arabic","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\ARABIC_RTL_18BBB185_A55_ROUTE_PACKET_SOURCE_USE_GAP_RECOVERY_20260707","True","139","1091647","True","True","source-use-gap-provenance-inventory"
"romance","C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\ROMANCE_18BBB185_FRONTIER_SOURCE_USE_GAP_20260707","True","19","195981","True","True","source-use-gap-provenance-inventory"
"cjkDraft","C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_18BBB185_CURRENT_FRONTIER_RECOVERY_20260707","True","26","2894812","True","True","source-use-gap-provenance-inventory"
"cjkNative","C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_18BBB185_DRIFT_RECOVERY_SOURCE_USE_CODEPOINT_FABLE_20260707","True","24","160725","True","True","source-use-gap-provenance-inventory"
"r2","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\R2_18BBB185_HEARTBEAT_FRONTIER_RECOVERY_20260707","True","25","193074","True","True","source-use-gap-provenance-inventory"
"r7","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r7-malay-sea-pacific\outputs\R7_18BBB185_CURRENT_FRONTIER_SOURCE_USE_GAP_BOUNDARY_20260707","True","15","82064","True","True","source-use-gap-provenance-inventory"
"r9","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_18BBB185_CURRENT_FRONTIER_RECOVERY_20260707","True","21","336014","True","True","source-use-gap-provenance-inventory"
"olp","C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_18BBB185_B3_VERIFIED_FABLE_SOURCE_USE_RECOVERY_20260707","True","13","23252","True","True","source-use-gap-provenance-inventory"
"interlanguage","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_18BBB185_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707","True","0",,"False","False","source-use-gap-provenance-inventory"
