lexeme_id,candidate_bridge_form,supporting_forms,adverse_forms,false_friend_notes,branch_weights,marginal_intelligibility_score,dominance_penalty,final_status
PTR-ALG-0001,halqa/halqe = حلقه / Ҳалқа (Dari retired pending independent witness),fa_IR=halqe / حلقه | tg_Cyrl_TJ=halqa / ҳалқа,prs_AF:retired-stale-pashto-misclassified; tg_Cyrl_TJ:source-discovery-witness-not-promoted; ur:gap,Prior prs_AF حلقه row pointed to ps_AF Pashto source; no independent Dari ring witness after boundary correction.,fa=0.1250; prs=0.0000; tg=0.1000; ur=0.0000; ps=0.0000(excluded-adjacent),0.6,0.75,exploratory_insufficient_branch_support
PTR-ALG-0002,meydan/maydon = میدان / майдон (Dari retired; Urdu OCR weak),fa_IR=meydan / میدان | tg_Cyrl_TJ=maydon / майдон | ur=maidan / میدان,prs_AF:retired-stale-pashto-misclassified; tg_Cyrl_TJ:source-discovery-witness-not-promoted; ur:OCR-witness-not-source-truth,Prior prs_AF ساحه row pointed to ps_AF Pashto source; no independent Dari algebraic-field witness after boundary correction.,fa=0.1250; prs=0.0000; tg=0.1000; ur=0.1250; ps=0.0000(excluded-adjacent),0.85,0.45,review_required_noncanonical
PTR-ALG-0003,ideal = ایده‌آل (fa only after Dari retirement),fa_IR=ideal / ایده‌آل,prs_AF:retired-stale-pashto-misclassified; tg_Cyrl_TJ:gap; ur:gap,Prior prs_AF ideal row pointed to ps_AF Pashto source; no independent Dari ideal witness after boundary correction.,fa=0.1250; prs=0.0000; tg=0.0000; ur=0.0000; ps=0.0000(excluded-adjacent),0,0.75,exploratory_insufficient_branch_support
PTR-ALG-0004,prime ideal = ایده‌آل‌های اول (fa only),fa_IR=prime ideals / ایده‌آل‌های اول,prs_AF:adverse-evidence; tg_Cyrl_TJ:gap; ur:gap,"Dari استلزام اول is prime implicant, not prime ideal. Pashto ps_AF forms do not authorize Dari/Persian rows.",fa=0.1250; prs=0.0000; tg=0.0000; ur=0.0000; ps=0.0000(excluded-adjacent),0,0.75,exploratory_insufficient_branch_support
PTR-ALG-0005,Galois theory = نظریه گالوا (fa only),fa_IR=Galois theory / نظریه گالوا,prs_AF:gap; tg_Cyrl_TJ:gap; ur:gap,,fa=0.1250; prs=0.0000; tg=0.0000; ur=0.0000; ps=0.0000(excluded-adjacent),0,0.75,exploratory_insufficient_branch_support
PTR-PRF-0006,equation = معادله / муодила / مساوات,fa_IR=equation / معادله | prs_AF=equation / معادله | tg_Cyrl_TJ=equation / муодила | ur=equation/equality / مساوات,tg_Cyrl_TJ:source-discovery-witness-not-promoted; ur:OCR-witness-not-source-truth,,fa=0.1250; prs=0.1083; tg=0.1000; ur=0.1250; ps=0.0000(excluded-adjacent),1.6,0.2,review_required_noncanonical
PTR-PRF-0007,formula = فرمول / формула,fa_IR=formula / فرمول | prs_AF=formula / فرمول | tg_Cyrl_TJ=formula / формула,tg_Cyrl_TJ:source-discovery-witness-not-promoted; ur:gap; ps_AF:فورمول adjacent-only not Dari authority,Dari proof-grammar row now uses Kabul University فرمول; prior Pashto فورمول citation retired.,fa=0.1250; prs=0.1167; tg=0.1000; ur=0.0000; ps=0.0000(excluded-adjacent),1.35,0.45,review_required_noncanonical
PTR-PRF-0008,relation = رابطه (fa/prs; tg tentative),fa_IR=relation / رابطه | prs_AF=relation / رابطه | tg_Cyrl_TJ=[gap],tg_Cyrl_TJ:source-discovery-not-promoted; ur:gap,,fa=0.1250; prs=0.1250; tg=0.0167; ur=0.0000; ps=0.0000(excluded-adjacent),0.85,0.45,review_required_noncanonical
PTR-LIN-0009,determinant = دترمینان / муайянкунанда,fa_IR=determinant / دترمینان | tg_Cyrl_TJ=determinant / муайянкунанда,prs_AF:gap; tg_Cyrl_TJ:source-discovery-witness-not-promoted; ur:gap,,fa=0.1250; prs=0.0000; tg=0.1000; ur=0.0000; ps=0.0000(excluded-adjacent),0.6,0.45,review_required_noncanonical
PTR-INV-0010,invariant = ناوردا / инвариант (thin),fa_IR=invariant / ناوردا | tg_Cyrl_TJ=invariant / инвариант,prs_AF:gap; tg_Cyrl_TJ:source-discovery-not-promoted; ur:gap,,fa=0.0833; prs=0.0000; tg=0.0500; ur=0.0000; ps=0.0000(excluded-adjacent),0.3,0.45,review_required_noncanonical
