"blocker_id","scope","condition","recovery_search","owner","label"
"761-BRANCH-DELTA-001","branch frontier","4065..761 contains two package commits and 300 file rows; package existence is evidence not completion","continue compare from 761 to live head on next wake","Non-Slavic Core coordinator","branch-provenance"
"761-LOCAL-GIT-002","workspace","coordinator workspace is not a Git checkout; local git status --short --branch fails","use GitHub branch/compare API or external checkout; do not make local sync claim","Non-Slavic Core coordinator","provenance blocker"
"761-R2-003","R2 Pan-Turkic","R2 packet has source-use/gap/Fable/adverse and exact blocker rows but no bridge/pilot or term promotion while zero-row blockers remain","route R2 for source-row recovery before any bridge/pilot talk","R2 lane","source-use/gap blocker"
"761-FABLE-004","Interlanguage/Fable","Authority packet provides branch-weight/source-use/adverse context only; accepted terminology and final authority are not claimed","use rows as normalization/do-not-use context; require independent source and review returns for promotion","Interlanguage/Fable authority","Fable/adverse context"
"761-R9-005","R9 Africa/Horn/West","R9 remains OCR/Unicode/source-return recovery with do-not-use/adverse rows; no source certification","continue strict path/OCR Unicode recovery and exact blocker routing","R9 lane","OCR/source-return recovery"
"761-CJK-006","Japanese/Simplified Chinese","CJK native 761 packet reports zero CJK signal paths and zero JA/ZH baseline carryforward rows at this frontier","await CJK source-return rows before draft promotion or pan-CJK authority","CJK lanes","CJK source-signal blocker"
"761-ROMANCE-007","French/Spanish","Romance 4065 rows remain carryforward source-use/gap and source-gated draft/non-canonical support under 761","Romance lane must rescan 761 package for French/Spanish source-body changes","Romance lane","draft/non-canonical carryforward"
"761-ARABIC-008","Arabic","Arabic RTL packet remains source-use/gap recovery; no native review, accepted terminology, or gate movement","route Arabic RTL source rows if 761 exposes new Arabic body package","Arabic RTL lane","RTL gap recovery"
"761-PERSIANATE-009","Persian/Farsi Iran and Dari/Persian Afghanistan","fa_IR/prs_AF rows remain source-gated non-canonical support; no accepted terminology","keep Persian and Dari separated and recover independent Dari authority before any gate movement","Persianate/Tajik lane","sublane separation"
"761-TAJIK-010","Tajik","tg_Cyrl_TJ remains source-discovery-only with no promoted term rows","continue independent Tajik Cyrillic source discovery; do not merge with Persian/Farsi or Dari","Persianate/Tajik lane","Tajik source-discovery-only"
"761-B3-011","packaging","B3 packages; coordinator/language lanes do not push","send B3 handoff and record proof file only","B3 package steward","handoff boundary"
