extracted_source_body_count,frontier,generated_utc,labels_seen,next_action,payload_group,routing_status
10,761bec88dab81d096ae8fab7bc91aaed8ccc4b71,2026-07-07T07:22:44Z,blocker_recovery_gap;b3_handoff;blocker_recovery_gap;b3_handoff;interslavic_boundary;blocker_recovery_gap;manifest_hash_validation;b3_handoff;blocker_recovery_gap;manifest_hash_validation;b3_handoff;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;non_slavic_core_route;interslavic_boundary;source_use;blocker_recovery_gap;manifest_hash_validation;b3_handoff,route to lane owner/B3 with source-use and gap labels intact,b3_ca011_r2_nonslavic_observation_transfer_audit,source-linked authority evidence; non-canonical/no approval
1,761bec88dab81d096ae8fab7bc91aaed8ccc4b71,2026-07-07T07:22:44Z,blocker_recovery_gap;b3_handoff;interslavic_boundary,route to lane owner/B3 with source-use and gap labels intact,blocker_recovery_source_use,source-linked authority evidence; non-canonical/no approval
206,761bec88dab81d096ae8fab7bc91aaed8ccc4b71,2026-07-07T07:22:44Z,adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;r6_ethics_authority;r3_arabic_persianate_route;b3_handoff;r6_ethics_authority;non_slavic_core_route;interslavic_boundary;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;interslavic_boundary;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary;blocker_recovery_gap;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;blocker_recovery_gap;manifest_hash_validation;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary;blocker_recovery_gap;normalization_marker;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary;branch_weighting;r6_ethics_authority;manifest_hash_validation;b3_handoff;r6_ethics_authority;manifest_hash_validation;r6_ethics_authority;non_slavic_core_route;interslavic_boundary;r6_ethics_authority;r6_ethics_authority;non_slavic_core_route;interslavic_boundary;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;i,route to lane owner/B3 with source-use and gap labels intact,interlanguage_fable_4065_current_frontier_authority_routing_upload,source-linked authority evidence; non-canonical/no approval
4,761bec88dab81d096ae8fab7bc91aaed8ccc4b71,2026-07-07T07:22:44Z,blocker_recovery_gap;manifest_hash_validation;b3_handoff;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;manifest_hash_validation;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary,route to lane owner/B3 with source-use and gap labels intact,manifest_hash_accounting,source-linked authority evidence; non-canonical/no approval
11,761bec88dab81d096ae8fab7bc91aaed8ccc4b71,2026-07-07T07:22:44Z,blocker_recovery_gap;manifest_hash_validation;non_slavic_core_route;interslavic_boundary;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary;source_use;blocker_recovery_gap;b3_handoff;non_slavic_core_route;interslavic_boundary;source_use;blocker_recovery_gap;b3_handoff;r6_ethics_authority;non_slavic_core_route;interslavic_boundary;source_use;blocker_recovery_gap;manifest_hash_validation;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary;source_use;blocker_recovery_gap;manifest_hash_validation;r6_ethics_authority;non_slavic_core_route;interslavic_boundary;source_use;blocker_recovery_gap;non_slavic_core_route;interslavic_boundary,route to lane owner/B3 with source-use and gap labels intact,non_slavic_core_4065_c033_branch_visibility_confirmation,source-linked authority evidence; non-canonical/no approval
10,761bec88dab81d096ae8fab7bc91aaed8ccc4b71,2026-07-07T07:22:44Z,blocker_recovery_gap;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;b3_handoff;r6_ethics_authority;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary;source_use;blocker_recovery_gap;manifest_hash_validation;r6_ethics_authority;non_slavic_core_route;interslavic_boundary,route to lane owner/B3 with source-use and gap labels intact,non_slavic_core_4065_r9_systemerror_dedup_recovery_route,source-linked authority evidence; non-canonical/no approval
14,761bec88dab81d096ae8fab7bc91aaed8ccc4b71,2026-07-07T07:22:44Z,adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;normalization_marker;b3_handoff;olp_review_boundary;interslavic_boundary;adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;normalization_marker;b3_handoff;r6_ethics_authority;olp_review_boundary;blocker_recovery_gap;normalization_marker;b3_handoff;olp_review_boundary;branch_weighting;marginal_intelligibility;normalization_marker;b3_handoff;olp_review_boundary;interslavic_boundary;normalization_marker;b3_handoff;olp_review_boundary;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;normalization_marker;b3_handoff;olp_review_boundary;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;normalization_marker;b3_handoff;olp_review_boundary;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;normalization_marker;manifest_hash_validation;b3_handoff;olp_review_boundary;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;normalization_marker;manifest_hash_validation;b3_handoff;r3_arabic_persianate_route;olp_r,route to lane owner/B3 with source-use and gap labels intact,olp_1fa_interlinear_terminology_heartbeat_transfer,source-linked authority evidence; non-canonical/no approval
7,761bec88dab81d096ae8fab7bc91aaed8ccc4b71,2026-07-07T07:22:44Z,b3_handoff;interslavic_boundary;b3_handoff;r6_ethics_authority;interslavic_boundary;blocker_recovery_gap;normalization_marker;manifest_hash_validation;b3_handoff;r6_ethics_authority;non_slavic_core_route;olp_review_boundary;interslavic_boundary;manifest_hash_validation;b3_handoff;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;manifest_hash_validation;b3_handoff;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary;source_use;blocker_recovery_gap;manifest_hash_validation;b3_handoff;r6_ethics_authority;non_slavic_core_route;interslavic_boundary,route to lane owner/B3 with source-use and gap labels intact,other_761_payload,source-linked authority evidence; non-canonical/no approval
23,761bec88dab81d096ae8fab7bc91aaed8ccc4b71,2026-07-07T07:22:44Z,source_use;adverse_evidence;blocker_recovery_gap;b3_handoff;source_use;adverse_evidence;blocker_recovery_gap;b3_handoff;r3_arabic_persianate_route;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;manifest_hash_validation;b3_handoff;r3_arabic_persianate_route;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;b3_handoff;non_slavic_core_route;source_use;adverse_evidence;blocker_recovery_gap;branch_weighting;marginal_intelligibility;b3_handoff;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;source_use;blocker_recovery_gap;b3_handoff;source_use;blocker_recovery_gap;b3_handoff;non_slavic_core_route;interslavic_boundary;source_use;blocker_recovery_gap;b3_handoff;non_slavic_core_route;olp_review_boundary;interslavic_boundary;source_use;blocker_recovery_gap;b3_handoff;r3_arabic_persianate_route;source_use;blocker_recovery_gap;b3_handoff;r3_arabic_persianate_route;non_slavic_core_route;interslavic_boundary;source_use;blocker_recovery_gap;b3_handoff;r6_ethics_authority;r3_arabic_persianate_route;olp_review_boundary;interslavic_bou,route to lane owner/B3 with source-use and gap labels intact,r2_pan_turkic_4065_frontier_recovery_transfer,source-linked authority evidence; non-canonical/no approval
10,761bec88dab81d096ae8fab7bc91aaed8ccc4b71,2026-07-07T07:22:44Z,blocker_recovery_gap;manifest_hash_validation;b3_handoff;source_use;blocker_recovery_gap;b3_handoff;source_use;blocker_recovery_gap;b3_handoff;r3_arabic_persianate_route;source_use;blocker_recovery_gap;manifest_hash_validation;b3_handoff;source_use;blocker_recovery_gap;manifest_hash_validation;b3_handoff;r3_arabic_persianate_route,route to lane owner/B3 with source-use and gap labels intact,r9_1fa_frontier_observation_transfer,source-linked authority evidence; non-canonical/no approval
20,761bec88dab81d096ae8fab7bc91aaed8ccc4b71,2026-07-07T07:22:44Z,source_use;adverse_evidence;blocker_recovery_gap;b3_handoff;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;b3_handoff;r6_ethics_authority;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;non_slavic_core_route;interslavic_boundary;source_use;adverse_evidence;blocker_recovery_gap;manifest_hash_validation;b3_handoff;r6_ethics_authority;non_slavic_core_route;interslavic_boundary;source_use;blocker_recovery_gap;b3_handoff;source_use;blocker_recovery_gap;b3_handoff;non_slavic_core_route;interslavic_boundary;source_use;blocker_recovery_gap;b3_handoff;r6_ethics_authority;non_slavic_core_route;interslavic_boundary,route to lane owner/B3 with source-use and gap labels intact,r9_4065_current_frontier_recovery_transfer,source-linked authority evidence; non-canonical/no approval
11,761bec88dab81d096ae8fab7bc91aaed8ccc4b71,2026-07-07T07:22:44Z,blocker_recovery_gap;manifest_hash_validation;b3_handoff;source_use;blocker_recovery_gap;b3_handoff;source_use;blocker_recovery_gap;b3_handoff;non_slavic_core_route;interslavic_boundary;source_use;blocker_recovery_gap;manifest_hash_validation;b3_handoff,route to lane owner/B3 with source-use and gap labels intact,r9_c033_frontier_observation_transfer,source-linked authority evidence; non-canonical/no approval
