authority_pdf_page	source_volume_page	paper_folio	archive_path	finding	disposition
1	299	299	batch06_current/pdf/cleaned_original_language_26.pdf	AGREEMENT on title, byline, contents structure, and most prose. CORRECTIONS from authority: the dedication begins with unaccented 'A' and is retained with its terminal period; equations (1.1.2)-(1.1.4) use uppercase W; the prose has 'fonctionnelle'; equation (1.1.3) has outer exponent 1/2-s, whereas the inherited branch has s-1/2. WHOLE-WORK CANON: the print’s singular “en terme des” is repaired to “en termes des”.	ZERO_ACCEPTED; reject wholesale promotion; retain only the independently replayed authority page record
1	299	299	batch06_current/pdf/compiled_source_Paper_26.pdf	AGREEMENT on title, byline, contents structure, and most prose. CORRECTIONS from authority: the dedication begins with unaccented 'A' and is retained with its terminal period; equations (1.1.2)-(1.1.4) use uppercase W; the prose has 'fonctionnelle'; equation (1.1.3) has outer exponent 1/2-s, whereas the inherited branch has s-1/2. WHOLE-WORK CANON: the print’s singular “en terme des” is repaired to “en termes des”.	ZERO_ACCEPTED; reject wholesale promotion; retain only the independently replayed authority page record
1	299	299	batch06_current/provenance/01_cleaned_original_language_papers_001_029_manifest_D026.csv	Reports a 19-page recombined candidate, not the 18-page authority extent. WHOLE-WORK CANON: the print’s singular “en terme des” is repaired to “en termes des”.	ZERO_ACCEPTED provenance/status evidence only
1	299	299	batch06_current/provenance/02_cleaned_source_segment_compile_status_001_029_D026.csv	Reports successful compilation only; it does not certify textual fidelity. WHOLE-WORK CANON: the print’s singular “en terme des” is repaired to “en termes des”.	ZERO_ACCEPTED provenance/status evidence only
1	299	299	batch06_current/provenance/03_deligne_bilingual_status_batch06_D026.csv	Marks French source as ready while English is not started; this status is not accepted as page evidence. WHOLE-WORK CANON: the print’s singular “en terme des” is repaired to “en termes des”.	ZERO_ACCEPTED provenance/status evidence only
1	299	299	batch06_current/provenance/04_deligne_translation_status_batch06_D026.csv	Reports translation not started or rough only; contains no page-local translation. WHOLE-WORK CANON: the print’s singular “en terme des” is repaired to “en termes des”.	ZERO_ACCEPTED provenance/status evidence only
1	299	299	batch06_current/tex/Paper_26.tex	AGREEMENT on title, byline, contents structure, and most prose. CORRECTIONS from authority: the dedication begins with unaccented 'A' and is retained with its terminal period; equations (1.1.2)-(1.1.4) use uppercase W; the prose has 'fonctionnelle'; equation (1.1.3) has outer exponent 1/2-s, whereas the inherited branch has s-1/2. WHOLE-WORK CANON: the print’s singular “en terme des” is repaired to “en termes des”.	ZERO_ACCEPTED; reject wholesale promotion; retain only the independently replayed authority page record
1	299	299	diagram_witness/contact/D026_contact.jpg	Contact sheet used only to route the ten P01 page-local witness objects; it is not a textual or pixel authority.	ZERO_ACCEPTED routing evidence only
1	299	299	diagram_witness/images/D026_p001_diag01.png	Comparator-derived crop agrees on the journal masthead; it is running/copyright matter and not body text.	ZERO_ACCEPTED comparison witness only; no crop or page image promoted
1	299	299	diagram_witness/images/D026_p001_diag02.png	Comparator-derived publication-line crop agrees on volume/page/year matter; excluded from the body edition.	ZERO_ACCEPTED comparison witness only; no crop or page image promoted
1	299	299	diagram_witness/images/D026_p001_diag03.png	Comparator-derived crop agrees on title, byline, and dedication wording; no pixels were promoted.	ZERO_ACCEPTED comparison witness only; no crop or page image promoted
1	299	299	diagram_witness/images/D026_p001_diag04.png	Comparator-derived crop agrees on Contents item 2 'virtuelles', uppercase W, and equation (1.1.3) outer exponent 1/2-s; authority pixels remain controlling.	ZERO_ACCEPTED comparison witness only; no crop or page image promoted
1	299	299	diagram_witness/index/diagram_counts_D026.csv	Index/count metadata accurately routes the D026 comparator-derived witness crops but contains no authority text.	ZERO_ACCEPTED routing metadata only
1	299	299	diagram_witness/index/diagram_witness_manifest_D026.csv	Index/count metadata accurately routes the D026 comparator-derived witness crops but contains no authority text.	ZERO_ACCEPTED routing metadata only
1	299	299	diagram_witness/index/diagram_witness_manifest_D026.jsonl	Index/count metadata accurately routes the D026 comparator-derived witness crops but contains no authority text.	ZERO_ACCEPTED routing metadata only
1	299	299	old_recombined_qc/pdf/recombined_26.pdf	AGREEMENT on title, byline, contents structure, and most prose. CORRECTIONS from authority: the dedication begins with unaccented 'A' and is retained with its terminal period; equations (1.1.2)-(1.1.4) use uppercase W; the prose has 'fonctionnelle'; equation (1.1.3) has outer exponent 1/2-s, whereas the inherited branch has s-1/2. WHOLE-WORK CANON: the print’s singular “en terme des” is repaired to “en termes des”.	ZERO_ACCEPTED; reject wholesale promotion; retain only the independently replayed authority page record
1	299	299	old_recombined_qc/provenance/01_source_compile_qc_D026.csv	Reports compile QC not tested due to timeout; contains no page text. WHOLE-WORK CANON: the print’s singular “en terme des” is repaired to “en termes des”.	ZERO_ACCEPTED provenance/status evidence only
1	299	299	old_recombined_qc/provenance/02_recombined_papers_001_029_manifest_D026.csv	Reports a 19-page recombination; does not match authority extent. WHOLE-WORK CANON: the print’s singular “en terme des” is repaired to “en termes des”.	ZERO_ACCEPTED provenance/status evidence only
1	299	299	old_recombined_qc/provenance/03_checksums_sha256_D026.txt	Checksum provenance only; no page content. WHOLE-WORK CANON: the print’s singular “en terme des” is repaired to “en termes des”.	ZERO_ACCEPTED provenance/status evidence only
1	299	299	old_recombined_qc/provenance/04_split_plan_D026.json	Split-plan provenance only; no page content. WHOLE-WORK CANON: the print’s singular “en terme des” is repaired to “en termes des”.	ZERO_ACCEPTED provenance/status evidence only
1	299	299	old_recombined_qc/tex/Paper_26.tex	AGREEMENT on title, byline, contents structure, and most prose. CORRECTIONS from authority: the dedication begins with unaccented 'A' and is retained with its terminal period; equations (1.1.2)-(1.1.4) use uppercase W; the prose has 'fonctionnelle'; equation (1.1.3) has outer exponent 1/2-s, whereas the inherited branch has s-1/2. WHOLE-WORK CANON: the print’s singular “en terme des” is repaired to “en termes des”.	ZERO_ACCEPTED; reject wholesale promotion; retain only the independently replayed authority page record
1	299	299	zenodo_record_21803336/files/CONTROL_D010-D025.zip	Predecessor control contains no D026 identity or page content.	ZERO_ACCEPTED lineage/metadata context only
1	299	299	zenodo_record_21803753/extracted_control/D026_ID.md	AGREEMENT on identity, title/byline/dedication, 18-page boundary, Contents 'virtuelles', and authority equation (1.1.3) exponent 1/2-s; the receipt explicitly says production was not opened.	ZERO_ACCEPTED control receipt; no edition text promoted
1	299	299	zenodo_record_21803753/files/CHANGES.md	Records the exponent discrepancy and states that no D026 edition or translation was opened.	ZERO_ACCEPTED release-note context only
1	299	299	zenodo_record_21803753/files/CONTROL_D010-D026.zip	Contains the D026 identity receipt and control logs, not a D026 page edition.	ZERO_ACCEPTED control container only
1	299	299	zenodo_record_21803753/files/DELIGNE_INDEX.csv	Identity/index metadata only; no D026 page text.	ZERO_ACCEPTED lineage/metadata context only
1	299	299	zenodo_record_21803753/files/DELIGNE_INDEX.md	Identity/index metadata only; no D026 page text.	ZERO_ACCEPTED lineage/metadata context only
1	299	299	zenodo_record_21803753/files/DELIGNE_WORKFLOW.zip	Workflow/custody records only; no page text.	ZERO_ACCEPTED lineage/metadata context only
1	299	299	zenodo_record_21803753/files/Deligne_EN.pdf	OMISSION by design: cumulative reader/master covers D001-D008 and explicitly excludes D026 mathematical body.	ZERO_ACCEPTED; no D026 source or English page content
1	299	299	zenodo_record_21803753/files/Deligne_EN.tex	OMISSION by design: cumulative reader/master covers D001-D008 and explicitly excludes D026 mathematical body.	ZERO_ACCEPTED; no D026 source or English page content
1	299	299	zenodo_record_21803753/files/Deligne_FR.pdf	OMISSION by design: cumulative reader/master covers D001-D008 and explicitly excludes D026 mathematical body.	ZERO_ACCEPTED; no D026 source or English page content
1	299	299	zenodo_record_21803753/files/Deligne_FR.tex	OMISSION by design: cumulative reader/master covers D001-D008 and explicitly excludes D026 mathematical body.	ZERO_ACCEPTED; no D026 source or English page content
1	299	299	zenodo_record_21803753/files/Deligne_Source.zip	Contains D001-D008 edition sources only and no D026 work file.	ZERO_ACCEPTED lineage/metadata context only
1	299	299	zenodo_record_21803753/files/MANIFEST.csv	Release manifest only; no page text.	ZERO_ACCEPTED lineage/metadata context only
1	299	299	zenodo_record_21803753/files/MANIFEST.sha256	Release checksums only; no page text.	ZERO_ACCEPTED lineage/metadata context only
