"field","value"
"packet","SLAVIC_C0CB1DB1_FRONTIER_ADVANCE_NONSLAVIC_ROUTE_ISOLATION_WATCHER_20260707"
"generated_local_time","2026-07-07T11:45:06+02:00"
"prior_frontier","86b2acb61269d7f316369ed61834f801aa5a606a"
"requested_frontier","68e4432b701049f32b2fb386b7801caefcce885c"
"verified_live_frontier","c0cb1db12e5a4288159b0cd030eab8c05c53ce91"
"packet_head_frontier","c0cb1db12e5a4288159b0cd030eab8c05c53ce91"
"frontier_note","requested 68E4432B is intermediate; live branch verified at C0CB1DB1"
"commit_count","2"
"changed_path_count","71"
"direct_slavic_uploader_paths","0"
"slavic_string_signal_paths","28"
"canonical_slavic_mutation","none_observed"
"rebuild_trigger_change","none"
"source_baseline_boundary_change","none; non-Slavic route/Persianate-Tajik returns only"
"interslavic_state_c","carryforward E=2341; W=223; S=239; D1=1.753704"
"claim_boundary","source-use/provenance/gap/draft/non-canonical only; no review/approval/license/gate/source-cert/final/bridge-pilot/translation-completion claims"
"push_policy","language lane no push; route packet to B3"
