"check_id","source_lines","source_item","english_item","comparison_result","editorial_action","status"
"FS-I04-001","800-804","section I.4 label and title; flatness notice; Exposé IV footnote","same section label title division notice and footnote","structure preserved","translate title and prose without candidate-added qualification","working_closed_independent_pass"
"FS-I04-002","806-822","Definition I.4.1 with parts a-b; f:X to Y; f:A to B; flat plus net/unramified","same theorem type label item order maps and logical conjunctions","structure formulas and terminology relation preserved","retain historical net at first defining occurrence and unramified thereafter","working_closed_independent_pass"
"FS-I04-003","824-849","I.4.2-I.4.4; widehat B over widehat A; O_f(x) to O_x; kappa(A) to kappa(B); widehat A to widehat B","same theorem hierarchy map directions and trivial OR algebraically closed hypothesis","formulas and logic preserved","place no page marker at the TeX-mislocated line 831 position","working_closed_independent_pass"
"FS-I04-004","851-862","I.3.7 reference; Proposition I.4.5 open locus; pointwise scope","same reference theorem type label and scope","structure preserved","avoid false friends without changing the assertion","working_closed_independent_pass"
"FS-I04-005","863-878","Proposition I.4.6 items i-iii; source page 5 begins proof at line 873","same theorem type label roman items and expanded base-change assertion; page marker before proof","structure preserved and pagination source-corrected","use original-print boundary rather than misplaced French TeX marker","working_closed_independent_pass"
"FS-I04-006","879-895","I.4.7-I.4.8; Gamma_g:X to X times_Y X-prime; projection; X-to-Y base change along X-prime-to-Y","same theorem hierarchy graph target projection target and base-change roles","formulas and factorization preserved","keep Cartesian product distinct from explicit fiber products","working_closed_independent_pass"
"FS-I04-007","896-916","Definition I.4.9; four source index entries; B(y)=B_y tensor_O_y kappa(y); separable-algebra parenthesis","same theorem type label fiber formula and finite-product structure; index debt explicit","formula preserved and terminology adjudicated","defer four index emissions and use product supported by later direct-composition wording","working_closed_independent_pass"
"FS-I04-008","918-940","Proposition I.4.10; trace B to A; source says B to B; discriminant in Gamma of two top exterior powers of dual B","same theorem type label degree trace formula corrected B-to-B-dual target exterior powers and unit ideal","all source structure preserved with one type-forced correction","disclose the B-to-B source defect immediately; do not add candidate formula artifacts","working_source_defect_disclosed_independent_pass"
"FS-I04-009","942-951","unnumbered remarquestar environment; source page 6 prints plain Remarque and begins the complete remark","plain Remark paragraph and page marker before heading","theorem form and original pagination preserved without a literal star","use original-print boundary rather than split-word TeX marker; do not render the environment suffix as text","working_closed_independent_pass"
"FS-I04-010","952","I.5 section heading begins next unit","draft ends before line 952","unit boundary exact","do not absorb I.5 into I.4","cursor_fixed_independent_pass"
