section,row_id,packet_or_policy_class,parent_id,rows_required_or_blank_fields,returns_received,downstream_gate_open
policy_class_summary,ODRF-SRC-CAP-POL-CLASS-01,source_locator_permission_route_policy_return,,10,0,false
policy_class_summary,ODRF-SRC-CAP-POL-CLASS-02,candidate_line_range_selection_policy_return,,10,0,false
policy_class_summary,ODRF-SRC-CAP-POL-CLASS-03,source_text_capture_policy_return,,10,0,false
policy_class_summary,ODRF-SRC-CAP-POL-CLASS-04,selected_excerpt_attribution_notice_policy_return,,10,0,false
packet_unit_summary,ODRF-SRC-CAP-POL-PACKET-01,proof_reading_and_definition_use,ODRF-RSCOPE-LSPAN-PEVID-DPCBRT-EVID-DEC-UNIT-01,4,0,false
packet_unit_summary,ODRF-SRC-CAP-POL-PACKET-02,sets_membership_subset_equality,ODRF-RSCOPE-LSPAN-PEVID-DPCBRT-EVID-DEC-UNIT-02,4,0,false
packet_unit_summary,ODRF-SRC-CAP-POL-PACKET-03,domain_codomain_range,ODRF-RSCOPE-LSPAN-PEVID-DPCBRT-EVID-DEC-UNIT-03,4,0,false
packet_unit_summary,ODRF-SRC-CAP-POL-PACKET-04,function_as_relation_boundary,ODRF-RSCOPE-LSPAN-PEVID-DPCBRT-EVID-DEC-UNIT-04,4,0,false
packet_unit_summary,ODRF-SRC-CAP-POL-PACKET-05,injective_surjective_bijective,ODRF-RSCOPE-LSPAN-PEVID-DPCBRT-EVID-DEC-UNIT-05,4,0,false
packet_unit_summary,ODRF-SRC-CAP-POL-PACKET-06,relation_properties,ODRF-RSCOPE-LSPAN-PEVID-DPCBRT-EVID-DEC-UNIT-06,4,0,false
packet_unit_summary,ODRF-SRC-CAP-POL-PACKET-07,equivalence_order_poset,ODRF-RSCOPE-LSPAN-PEVID-DPCBRT-EVID-DEC-UNIT-07,4,0,false
packet_unit_summary,ODRF-SRC-CAP-POL-PACKET-08,composition_inverse,ODRF-RSCOPE-LSPAN-PEVID-DPCBRT-EVID-DEC-UNIT-08,4,0,false
packet_unit_summary,ODRF-SRC-CAP-POL-PACKET-09,finite_infinite_equinumerosity,ODRF-RSCOPE-LSPAN-PEVID-DPCBRT-EVID-DEC-UNIT-09,4,0,false
packet_unit_summary,ODRF-SRC-CAP-POL-PACKET-10,high_density_source_shelf_selection,ODRF-RSCOPE-LSPAN-PEVID-DPCBRT-EVID-DEC-UNIT-10,4,0,false
