"branch_head","base_head","status","path","delta_scope","file_signal","source_or_evidence","review_only_or_audit","gap_or_blocker","real_reviewer_return","mapping_count_delta","translation_count_delta","approval_count_delta","boundary"
"faa2c330deb886098750dafb5c500e244e1333fe","1233d6f1557c831c23f6de8395182d8ae81e2217","A","interlanguage-sidecar/rtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706/R3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z/B3_UPLOADER_READY_SUMMARY.csv","R3 0D/1233 source-gated boundary","source/provenance","true","false","false","false","0","0","0","branch-visible support/routing/source-use context only"
"faa2c330deb886098750dafb5c500e244e1333fe","1233d6f1557c831c23f6de8395182d8ae81e2217","A","interlanguage-sidecar/rtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706/R3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z/DURABLE_STATE_POINTERS.csv","R3 0D/1233 source-gated boundary","source/provenance","true","false","false","false","0","0","0","branch-visible support/routing/source-use context only"
"faa2c330deb886098750dafb5c500e244e1333fe","1233d6f1557c831c23f6de8395182d8ae81e2217","A","interlanguage-sidecar/rtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706/R3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z/MANIFEST.csv","R3 0D/1233 source-gated boundary","manifest","false","true","false","false","0","0","0","branch-visible support/routing/source-use context only"
"faa2c330deb886098750dafb5c500e244e1333fe","1233d6f1557c831c23f6de8395182d8ae81e2217","A","interlanguage-sidecar/rtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706/R3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z/PACKAGE_VALIDATION.json","R3 0D/1233 source-gated boundary","package-validation","false","true","false","false","0","0","0","branch-visible support/routing/source-use context only"
"faa2c330deb886098750dafb5c500e244e1333fe","1233d6f1557c831c23f6de8395182d8ae81e2217","A","interlanguage-sidecar/rtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706/R3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z/R3_0D148231_BLOCKERS_ACTIVE_RECOVERY_ROWS.csv","R3 0D/1233 source-gated boundary","gap/blocker","false","false","true","false","0","0","0","branch-visible support/routing/source-use context only"
"faa2c330deb886098750dafb5c500e244e1333fe","1233d6f1557c831c23f6de8395182d8ae81e2217","A","interlanguage-sidecar/rtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706/R3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z/R3_0D148231_BRANCH_DELTA_FROM_1233.csv","R3 0D/1233 source-gated boundary","source/provenance","true","false","false","false","0","0","0","branch-visible support/routing/source-use context only"
"faa2c330deb886098750dafb5c500e244e1333fe","1233d6f1557c831c23f6de8395182d8ae81e2217","A","interlanguage-sidecar/rtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706/R3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z/R3_0D148231_BRANCH_VISIBILITY_AND_LOCAL_ONLY_LEDGER.csv","R3 0D/1233 source-gated boundary","source/provenance","true","false","false","false","0","0","0","branch-visible support/routing/source-use context only"
"faa2c330deb886098750dafb5c500e244e1333fe","1233d6f1557c831c23f6de8395182d8ae81e2217","A","interlanguage-sidecar/rtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706/R3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z/R3_0D148231_CURRENT_HEAD_BLOCKERS_NEXT_ACTIONS.csv","R3 0D/1233 source-gated boundary","gap/blocker","false","false","true","false","0","0","0","branch-visible support/routing/source-use context only"
"faa2c330deb886098750dafb5c500e244e1333fe","1233d6f1557c831c23f6de8395182d8ae81e2217","A","interlanguage-sidecar/rtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706/R3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z/R3_0D148231_FORMULA_INTERLINEAR_NOTES.csv","R3 0D/1233 source-gated boundary","source/provenance","true","false","false","false","0","0","0","branch-visible support/routing/source-use context only"
"faa2c330deb886098750dafb5c500e244e1333fe","1233d6f1557c831c23f6de8395182d8ae81e2217","A","interlanguage-sidecar/rtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706/R3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z/R3_0D148231_REVIEW_ONLY_BOUNDARY_GUARDS.csv","R3 0D/1233 source-gated boundary","source/provenance","true","false","false","false","0","0","0","branch-visible support/routing/source-use context only"
