element	authority_location	canonical_disposition	representation	reason
Vancouver_1974_congress_line	printed_79	INCLUDE	FR_and_EN_body	Scoped publication context on the title page.
article_title	printed_79	INCLUDE	FR_and_EN_body	Exact work identity.
Pierre_Deligne_byline	printed_79	INCLUDE	FR_and_EN_body	Exact article authorship.
copyright_line	printed_79	INCLUDE	FR_and_EN_body	Scoped title-page matter present in the authority.
running_header_WEIGHTS_IN_COHOMOLOGY	printed_80_85	EXCLUDE_FROM_BODY_RETAIN_AS_PROVENANCE	apparatus_and_page_topology	Recurring copy matter is not article prose.
printed_folios_79_85	printed_79_85	EXCLUDE_FROM_BODY_RETAIN_AS_ANCHORS	SourcePage_headers_and_footers	Folio identity is represented once without being transcribed as prose.
partial_neighbor_printed_pages	physical_authority_pages_2_7	EXCLUDE_OVERLAP_ONLY	returned_authority_and_page_map	Each neighbor is evidence for continuity only; every unique printed page is transcribed once.
section_7_3_native_diagrams	printed_82	INCLUDE	FR_and_EN_body_plus_raw_and_presentation_fallbacks	Mathematical content; both diagrams are required.
bibliography	printed_84_85	INCLUDE	FR_and_EN_body	Article back matter controlled by the authority.
IHES_address	printed_85	INCLUDE	FR_and_EN_body	Scoped article address present in the authority.
terminal_blank_remainder	printed_85	RETAIN_TOPOLOGY_NO_BODY_TEXT	page_7_blank_remainder	Verified blank area is part of the seven-page topology but contributes no text.
received_date_line	printed_79_85	ABSENT	apparatus_statement	No received-date line appears in the controlling authority.
