check	evidence	result
candidate_member_hash_reopen	46 members reopened and hashed	PASS
state_validator	tools/validate_state.py PASS	PASS
reader_determinism	all three HTML readers current	PASS
authority_hash	4ADB0A4D7D12F41F92E24FE4D02897CA38695237599E44AE42FB0100ABCE5A5F	PASS
coverage_7x3	all seven records accepted in three layers	PASS
canonical_crop_1	P0001-A01 decoded pixel replay 9899029B836CC8BC9FF097EDB03004DA7DF9027F4B2FA6DCF2C6C0891830543B	PASS
canonical_derivative_1	P0001-A01 LANCZOS 390→180 dpi	PASS
canonical_crop_2	P0002-A01 decoded pixel replay 30F610EFDD18154E3E61DC483683EE021783BB85DF14D00ADAA31D8E8E89BB94	PASS
canonical_derivative_2	P0002-A01 LANCZOS 390→180 dpi	PASS
canonical_crop_3	P0003-A01 decoded pixel replay D2406048AEE983CC779B996F1DF3B0EBD783255F6A2D7553E8CA222AA217F3D2	PASS
canonical_derivative_3	P0003-A01 LANCZOS 390→180 dpi	PASS
canonical_crop_4	P0004-A01 decoded pixel replay 0D337A96B4CEB02CA69C51F89BEE62B236C25051C02902357E5CE67AA9B02629	PASS
canonical_derivative_4	P0004-A01 LANCZOS 390→180 dpi	PASS
canonical_crop_5	P0005-A01 decoded pixel replay B45A056FCEABA885A4AA3C93E387F7E8F794004C4EB515FFEEC9684C586C4AC4	PASS
canonical_derivative_5	P0005-A01 LANCZOS 390→180 dpi	PASS
canonical_crop_6	P0006-A01 decoded pixel replay CC01BBA5FBDC542E7A04E2E34533B86A62729E56ACCEB9FF4DA81BE273384745	PASS
canonical_derivative_6	P0006-A01 LANCZOS 390→180 dpi	PASS
canonical_crop_7	P0007-A01 decoded pixel replay 354F059066E37403B536548693CF54344D2B7F8728274ED9218A643C84B40483	PASS
canonical_derivative_7	P0007-A01 LANCZOS 390→180 dpi	PASS
section_7_3_diagram_crop	bbox=(170, 1250, 1850, 1980)	PASS
section_7_3_diagram_derivative	dedicated conservative downsample	PASS
six_partial_neighbor_exclusions	physical pages 2–7 only; no duplicate records	PASS
critical_source_objects	2. THÉORÈME, 10. THÉORÈME (MORGAN), 14. THÉORÈME, (7.3), ℰ, ₘW_j, Bibliographie, INSTITUT DES HAUTES ETUDES SCIENTIFIQUES, MR 48 # 297	PASS
english_complete_objects	THEOREM labels, diagrams marker, bibliography, address	PASS
region_glyph	authority region represented as script E, not prior calligraphic C	PASS
page_order	NDJSON and HTML page order 1–7	PASS
source_language_language_separation	standalone reader; no facing-table construct	PASS
english_standalone_language_separation	standalone reader; no facing-table construct	PASS
apparatus_language_separation	standalone reader; no facing-table construct	PASS
deterministic_repack	6AA1070960DEA4EB63312B490D54D17D883B8D936392B15AA9EF3F976B24053C	PASS
candidate_repack_identity	6AA1070960DEA4EB63312B490D54D17D883B8D936392B15AA9EF3F976B24053C	PASS
source_language_pdf_pages	13	PASS
source_language_pdf_text	extractable and no replacement characters	PASS
source_language_no_clipping	13 rendered pages; all text blocks within MediaBox	PASS
source_language_all_pages_rendered	13 PNGs	PASS
english_standalone_pdf_pages	13	PASS
english_standalone_pdf_text	extractable and no replacement characters	PASS
english_standalone_no_clipping	13 rendered pages; all text blocks within MediaBox	PASS
english_standalone_all_pages_rendered	13 PNGs	PASS
apparatus_pdf_pages	9	PASS
apparatus_pdf_text	extractable and no replacement characters	PASS
apparatus_no_clipping	9 rendered pages; all text blocks within MediaBox	PASS
apparatus_all_pages_rendered	9 PNGs	PASS
apparatus_assets	16 image references: seven full-page pairs plus diagram pair	PASS
prior_divergence_log	8 ZERO_ACCEPTED comparison findings	PASS
