extension,count,bytes,role
.aff,2,631282,support/provenance file
.bbl,1,3206,TeX/source or build dependency body
.bib,2,45897,TeX/source or build dependency body
.bin,5,3749944,support/provenance file
.body,3,69328,document/source/provenance body
.bst,1,27147,TeX/source or build dependency body
.cls,2,54384,TeX/source or build dependency body
.csv,133,3327304,"manifest, ledger, source-use table, excerpt, or method/log support"
.dic,2,10428116,support/provenance file
.doc,1,322560,document/source/provenance body
.docx,1,9298096,document/source/provenance body
.html,184,32038027,support/provenance file
.json,109,26872126,"manifest, ledger, source-use table, excerpt, or method/log support"
.md,137,735210,"manifest, ledger, source-use table, excerpt, or method/log support"
.mjs,67,3008887,support/provenance file
.oxt,2,2252408,payload/source archive
.pdf,216,1016272480,source witness or reader/output body
.ptx,11,190161,document/source/provenance body
.qmd,1,2672,document/source/provenance body
.sha256,8,1208,hash sidecar / provenance checksum
.sty,2,57688,TeX/source or build dependency body
.tar,3,13303939,payload/source archive
.tex,123,3391352,TeX/source or build dependency body
.ts,2,4425,support/provenance file
.ttf,2,1209468,support/provenance file
.txt,229,39966190,support/provenance file
.wikitext,6,39299,support/provenance file
.xcu,2,2645,support/provenance file
.xlsx,1,45729,support/provenance file
.xml,9,8353,support/provenance file
.xpi,1,481417,payload/source archive
.yml,2,3924,support/provenance file
.zip,23,175454973,payload/source archive
[no extension],1,17992,support/provenance file
