package_root,heartbeat_state,heartbeat_route,fable_ack_state,fable_ack_route,active_recovery_state,active_recovery_route,boundary
handoff-bodies/olp-relation-function-support-20260705,routed-to-uploader-heartbeat,HEARTBEAT_20260705.md; transfer-audits/session12-20260705/PACKAGE_HEARTBEAT_ROUTE_20260705.csv,not-interlanguage-package,,routed-to-package-search-or-open-question-state,transfer-audits/session12-20260705/PACKAGE_HEARTBEAT_ROUTE_20260705.csv,"source/provenance/draft-support only; no native-review, accepted-terminology, license-clearance, gate-promotion, or translation-completion claim"
interlanguage-sidecar/fable-ledger-block-20260705,own-heartbeat-present,interlanguage-sidecar/fable-ledger-block-20260705/HEARTBEAT_20260705.md,own-fable-ack-present,interlanguage-sidecar/fable-ledger-block-20260705/FABLE_REQUIREMENTS_ACKNOWLEDGED_20260705.md,own-active-recovery-present,interlanguage-sidecar/fable-ledger-block-20260705/ACTIVE_RECOVERY_RECORD_20260705.md,"source/provenance/draft-support only; no native-review, accepted-terminology, license-clearance, gate-promotion, or translation-completion claim"
language-source-bodies/arabic-rtl-source-bodies-20260705,routed-to-uploader-heartbeat,HEARTBEAT_20260705.md; transfer-audits/session12-20260705/PACKAGE_HEARTBEAT_ROUTE_20260705.csv,not-interlanguage-package,,routed-to-package-search-or-open-question-state,transfer-audits/session12-20260705/PACKAGE_HEARTBEAT_ROUTE_20260705.csv,"source/provenance/draft-support only; no native-review, accepted-terminology, license-clearance, gate-promotion, or translation-completion claim"
language-source-bodies/cjk-draft-source-evidence-20260705,routed-to-uploader-heartbeat,HEARTBEAT_20260705.md; transfer-audits/session12-20260705/PACKAGE_HEARTBEAT_ROUTE_20260705.csv,not-interlanguage-package,,routed-to-package-search-or-open-question-state,transfer-audits/session12-20260705/PACKAGE_HEARTBEAT_ROUTE_20260705.csv,"source/provenance/draft-support only; no native-review, accepted-terminology, license-clearance, gate-promotion, or translation-completion claim"
language-source-bodies/cjk-native-source-bodies-20260705,routed-to-uploader-heartbeat,HEARTBEAT_20260705.md; transfer-audits/session12-20260705/PACKAGE_HEARTBEAT_ROUTE_20260705.csv,not-interlanguage-package,,routed-to-package-search-or-open-question-state,transfer-audits/session12-20260705/PACKAGE_HEARTBEAT_ROUTE_20260705.csv,"source/provenance/draft-support only; no native-review, accepted-terminology, license-clearance, gate-promotion, or translation-completion claim"
language-source-bodies/persianate-tajik-source-bodies-20260705,routed-to-uploader-heartbeat,HEARTBEAT_20260705.md; transfer-audits/session12-20260705/PACKAGE_HEARTBEAT_ROUTE_20260705.csv,not-interlanguage-package,,routed-to-package-search-or-open-question-state,transfer-audits/session12-20260705/PACKAGE_HEARTBEAT_ROUTE_20260705.csv,"source/provenance/draft-support only; no native-review, accepted-terminology, license-clearance, gate-promotion, or translation-completion claim"
language-source-bodies/r6-indigenous-creole-sign-20260705,routed-to-uploader-heartbeat,HEARTBEAT_20260705.md; transfer-audits/session12-20260705/PACKAGE_HEARTBEAT_ROUTE_20260705.csv,not-interlanguage-package,,routed-to-package-search-or-open-question-state,transfer-audits/session12-20260705/PACKAGE_HEARTBEAT_ROUTE_20260705.csv,"source/provenance/draft-support only; no native-review, accepted-terminology, license-clearance, gate-promotion, or translation-completion claim"
language-source-bodies/r7-malay-sea-pacific-20260705,routed-to-uploader-heartbeat,HEARTBEAT_20260705.md; transfer-audits/session12-20260705/PACKAGE_HEARTBEAT_ROUTE_20260705.csv,not-interlanguage-package,,routed-to-package-search-or-open-question-state,transfer-audits/session12-20260705/PACKAGE_HEARTBEAT_ROUTE_20260705.csv,"source/provenance/draft-support only; no native-review, accepted-terminology, license-clearance, gate-promotion, or translation-completion claim"
language-source-bodies/r9-africa-horn-west-20260705,routed-to-uploader-heartbeat,HEARTBEAT_20260705.md; transfer-audits/session12-20260705/PACKAGE_HEARTBEAT_ROUTE_20260705.csv,not-interlanguage-package,,routed-to-package-search-or-open-question-state,transfer-audits/session12-20260705/PACKAGE_HEARTBEAT_ROUTE_20260705.csv,"source/provenance/draft-support only; no native-review, accepted-terminology, license-clearance, gate-promotion, or translation-completion claim"
language-source-bodies/romance-germanic-baselines-20260705-spanish-san-salvador,routed-to-uploader-heartbeat,HEARTBEAT_20260705.md; transfer-audits/session12-20260705/PACKAGE_HEARTBEAT_ROUTE_20260705.csv,not-interlanguage-package,,routed-to-package-search-or-open-question-state,transfer-audits/session12-20260705/PACKAGE_HEARTBEAT_ROUTE_20260705.csv,"source/provenance/draft-support only; no native-review, accepted-terminology, license-clearance, gate-promotion, or translation-completion claim"
language-source-bodies/rtl-persianate-arabic-20260705-r3-full-source-bodies,routed-to-uploader-heartbeat,HEARTBEAT_20260705.md; transfer-audits/session12-20260705/PACKAGE_HEARTBEAT_ROUTE_20260705.csv,not-interlanguage-package,,routed-to-package-search-or-open-question-state,transfer-audits/session12-20260705/PACKAGE_HEARTBEAT_ROUTE_20260705.csv,"source/provenance/draft-support only; no native-review, accepted-terminology, license-clearance, gate-promotion, or translation-completion claim"
language-source-bodies/rtl-persianate-arabic-20260705-r3-witness-layer,routed-to-uploader-heartbeat,HEARTBEAT_20260705.md; transfer-audits/session12-20260705/PACKAGE_HEARTBEAT_ROUTE_20260705.csv,not-interlanguage-package,,routed-to-package-search-or-open-question-state,transfer-audits/session12-20260705/PACKAGE_HEARTBEAT_ROUTE_20260705.csv,"source/provenance/draft-support only; no native-review, accepted-terminology, license-clearance, gate-promotion, or translation-completion claim"
language-source-bodies/slavic-non-ru-uk-20260705,routed-to-uploader-heartbeat,HEARTBEAT_20260705.md; transfer-audits/session12-20260705/PACKAGE_HEARTBEAT_ROUTE_20260705.csv,not-interlanguage-package,,routed-to-package-search-or-open-question-state,transfer-audits/session12-20260705/PACKAGE_HEARTBEAT_ROUTE_20260705.csv,"source/provenance/draft-support only; no native-review, accepted-terminology, license-clearance, gate-promotion, or translation-completion claim"
