audit_id,target_language_or_access_target,source_family,source_title_or_route,source_url,local_manifest_or_prior_evidence,local_manifest_sha256_or_payload_hash,header_capture_path,header_capture_sha256,live_head_status,live_content_type,live_content_length,license_or_access_signal,source_return_status,topic_language_tags,gap_or_blocker_note,upload_policy,promotion_allowed
R9-OAW-001,Hausa,web route,"Amsoshi Mathematics in Hausa overview","https://english.amsoshi.com/2025/07/mathematics-in-hausa-language.html","20260703T162646Z_r9_hausa_direct_math_source_return_pass2 source_manifest.json","D609913BEA9E2873303D9383817E7E8E4C51368B0C9F441B2CD5C8C5C1C96C6E","work/source_canon_witnesses/20260704_r9_official_provenance_headers/hausa_amsoshi_route.head.json","45D6EF161F5D1FD9EA2A853772076D7B1558F481449E79E71736F664F2D4E0C9",200,"text/html; charset=UTF-8",0,"public web route signal only; no reuse/license-clearance claim","metadata/source route only","Hausa; lissafi; secondary mathematics route","content/app source body and source-owner permission still missing","header/manifest metadata only; no raw body",false
R9-OAW-002,Hausa,app route,"Google Play Mathematics in Hausa SS1 app route","https://play.google.com/store/apps/details?hl=en-US&id=com.samab.mathematics_in_hausa_ss1","20260703T162646Z_r9_hausa_direct_math_source_return_pass2 source_manifest.json","D609913BEA9E2873303D9383817E7E8E4C51368B0C9F441B2CD5C8C5C1C96C6E","work/source_canon_witnesses/20260704_r9_official_provenance_headers/hausa_google_play_ss1.head.json","3BCE7F9249161C19CF2A66BA3F7CADAB2196678371D04028A0618C6129A0B722",200,"text/html; charset=utf-8",0,"app-store route signal only; no source-body reuse/license-clearance claim","app metadata route only","Hausa; lissafi; secondary mathematics app","app content is not locally source-returned or licensed for corpus evidence","header/manifest metadata only; no raw body",false
R9-OAW-003,Igbo,commercial book route,"Introduction to Basic Igbo Mathematics / MBIDO metadata route","https://www.amazon.com.au/Introduction-Basic-Igbo-Mathematics-MBIDO-ebook/dp/B095J9S669","20260703T162950Z_r9_igbo_glossary_textbook_source_return_pass2 source_manifest.json","9FCDF564AD76836419488BEA6BF5DC1524DB8C9E1117F9F74B8FDD5BB585F923","work/source_canon_witnesses/20260704_r9_official_provenance_headers/igbo_amazon_mbido.head.json","BB1D3B88BB76BD8E406C098A360FBC23A365BB16563D76FBC84D0E7FFC87A0DB",405,"text/html; charset=UTF-8",0,"commercial metadata route only; no reuse/license-clearance claim","metadata/context route only","Igbo; basic mathematics; textbook route","HEAD not allowed; prior manifest recorded page fetch, but source-cleared book text remains missing","header/manifest metadata only; no raw body",false
R9-OAW-004,Igbo,academic PDF context,"Igbo medium-of-instruction and primary mathematics retention article","https://eajournals.org/wp-content/uploads/Igbo-Language-as-Medium-of-Instruction-and-Enhancement-of-Retention-Level-of-Pupils-in-Primary-School-Mathematics.pdf","20260703T162950Z_r9_igbo_glossary_textbook_source_return_pass2 source_manifest.json","9FCDF564AD76836419488BEA6BF5DC1524DB8C9E1117F9F74B8FDD5BB585F923","work/source_canon_witnesses/20260704_r9_official_provenance_headers/igbo_eajournals_pdf.head.json","53D3250D5D58F557A88485E65E8D85A2E6F1A6DBECDC145FEDDDBEB15647E185",200,application/pdf,343398,"public academic PDF access signal only; no reuse/license-clearance claim","academic context witness, not source-canon textbook body","Igbo; medium of instruction; primary mathematics","context article does not provide reusable Igbo math source corpus or approved terminology","header/manifest metadata only; no raw body",false
R9-OAW-005,"Amharic; Oromo; Somali; Tigrigna/Tigrinya",official textbook portal,"Ethiopia Learning homepage","https://ethiopialearning.com/","local R9 Amharic/Somali/Oromo/Tigrigna pass2 manifests","homepage_capture_sha256:BC9E2CE700E1F071D4C729111C11F7C779B616DC17D81DD74EF72CEB7DA416AE","work/source_canon_witnesses/20260704_r9_official_provenance_headers/ethiopia_learning_home.head.json","B2936431D9258CF6EA31B75505017AE3B4B087B45BCB0BDCA43A3C6AE7FEA839",200,text/html,272376,"public web portal access signal only; no blanket source reuse/license-clearance claim","portal route to official textbook PDFs already captured locally","Amharic; Oromo; Somali; Tigrigna; school mathematics","portal supports source-return provenance but does not by itself clear PDF reuse or term authority","header/manifest metadata only; no raw body",false
R9-OAW-006,Amharic,official textbook PDF,"Grade 1 Maths Chapter 10 Amharic PDF","https://files.ethiopialearning.com/textbooks/Grade%2001/Grade_1_Subject_MATHS_Chapter_10_Language_AMHARIC_Retrieved_20150101.pdf","20260703T164546Z_r9_amharic_pass2 source_manifest.json","manifest_sha256:F9925636B1733F0E26ED3F6AC57A93EF2F64C593264EE9702D07F4C4742C5F63; local_pdf_sha256:E3B9317E865DFA8FCD9B42940E9DE746ED738794852CAC8ECE177B15FE3B1B9B","work/source_canon_witnesses/20260704_r9_official_provenance_headers/amharic_g1_ch10_pdf.head.json","A45CCA038B48D0123CD94920A778E3FFFFD2940FCA22492C2170BCA6085563D2","HEAD_ERROR_SSL",,, "prior local manifest records HTTP 200 and PDF hash; no reuse/license-clearance claim","PDF source-returned locally; OCR/font-map still blocked","Amharic; Ethiopic; school mathematics","live HEAD failed SSL in this pass; OCR/font repair and source-permission boundary remain open","header error plus prior manifest/hash only; no new raw body",false
R9-OAW-007,Oromo,official textbook PDF,"Grade 1 Math Teacher Guide Oromo PDF","https://files.ethiopialearning.com/textbooks/Grade%2001/Grade_1_Subject_MATH_TEACHER_GUIDE_Language_OROMO_Retrieved_20150101.pdf","20260703T170417Z_r9_somali_oromo_pass2 source_manifest.json","manifest_sha256:C183019ABCA0F0ED1C096A2F9DF9F511FD91867CE87D0BEE8FA0B1F19993A87C; local_pdf_sha256:0A2C875C7F7C34B1A5D9127300F508983EE467EBEC2D20B4CF34AA7FF123F027","work/source_canon_witnesses/20260704_r9_official_provenance_headers/oromo_g1_teacher_pdf.head.json","0A55BEDEB0100B71B2B17E93DE3F0CDAFED8D982185B98BD5F9A240F4441DD16","HEAD_ERROR_SSL",,, "prior local manifest records HTTP 200 and PDF hash; no reuse/license-clearance claim","PDF source-returned locally; orthography/proof register still blocked","Oromo; Afaan Oromo; school mathematics; teacher guide","live HEAD failed SSL in this pass; proof-language reviewer/source return remains needed","header error plus prior manifest/hash only; no new raw body",false
R9-OAW-008,Somali,official textbook PDF,"Grade 1 Math Teacher Guide Somali PDF","https://files.ethiopialearning.com/textbooks/Grade%2001/Grade_1_Subject_MATH_TEACHER_GUIDE_Language_SOMALI_Retrieved_20150101.pdf","20260703T170417Z_r9_somali_oromo_pass2 source_manifest.json","manifest_sha256:C183019ABCA0F0ED1C096A2F9DF9F511FD91867CE87D0BEE8FA0B1F19993A87C; local_pdf_sha256:C981DB656CF3357F37669E347485E74B9A33F8E6468D0784378C8B45A614BF45","work/source_canon_witnesses/20260704_r9_official_provenance_headers/somali_g1_teacher_pdf.head.json","17FB75F100B2096A756B2191ECA68A269705E8FD00C0852D66774A62CBA211E3","HEAD_ERROR_SSL",,, "prior local manifest records HTTP 200 and PDF hash; no reuse/license-clearance claim","PDF source-returned locally; proof/register review still blocked","Somali; school mathematics; teacher guide","live HEAD failed SSL in this pass; proof-language reviewer/source return remains needed","header error plus prior manifest/hash only; no new raw body",false
R9-OAW-009,Tigrigna/Tigrinya,official textbook PDF,"Grade 1 Math Teacher Guide Tigrigna PDF","https://files.ethiopialearning.com/textbooks/Grade%2001/Grade_1_Subject_MATH_TEACHER_GUIDE_Language_TIGRIGNA_Retrieved_20150101.pdf","20260703T172503Z_r9_tigrigna_tigrinya_pass2 source_manifest.json","manifest_sha256:82DFE776785C128DBE0D0E2A250F73FA5E61C7A6B3B4B99922373F502E418E31; local_pdf_sha256:CFF806D15008BD36B086DAE54996569E9A1FFEA72E4E0D492D73AFDFF72F1BDD","work/source_canon_witnesses/20260704_r9_official_provenance_headers/tigrigna_g1_teacher_pdf.head.json","60D863FF92247439B8D0B0850354039AB3B43EB37D0BD89215B8E33C64DD8678","HEAD_ERROR_SSL",,, "prior local manifest records HTTP 200 and PDF hash; no reuse/license-clearance claim","PDF source-returned locally; script/text-layer review still blocked","Tigrigna; Tigrinya; Ethiopic; school mathematics; teacher guide","live HEAD failed SSL in this pass; render/text comparison and reviewer/source return remain needed","header error plus prior manifest/hash only; no new raw body",false
R9-OAW-010,Afar,academic PDF context,"ELM Ethiopia Afar and South Omo Endline Report 2017","https://idela-network.org/wp-content/uploads/2018/01/ELM-Ethiopia-Afar-and-South-Omo-Endline-Report-2017.pdf","20260703T165443Z_r9_afar_pass2 source_manifest.json","3E81FDB9985FD57A6CE8851B51C09D2447ED247D2103F52340BD9E0F08B9F521","work/source_canon_witnesses/20260704_r9_official_provenance_headers/afar_idela_endline_pdf.head.json","C406573EB4B456F237721F1BB25CA41CD7C1ACFFB5342433D18ECDC1932CA45A",200,application/pdf,1258849,"public academic/report PDF access signal only; no reuse/license-clearance claim","context/provenance witness only","Afar; South Omo; education report; early learning","not an Afar math source corpus and no transcript/term source return","header/manifest metadata only; no raw body",false
