"draft_id","route","language_gate","topic_scope","source_sufficiency_status","source_tier","source_evidence_refs","source_urls","local_evidence_paths","hash_signals","license_access_signal","english_source_term","german_context_term","target_rendering_draft","term_alternatives","source_context_note","formula_neighboring_usage_note","interlinear_or_scaffold_note","covered_or_gap_action","blocker_or_gap","non_claim_boundary","created_utc"
"R3-SUFF-DRAFT-0001","Persianate/Tajik lane - fa_IR covered draft support","fa_IR only","adjacent linear algebra source archives","sufficient_for_scoped_draft_linear_algebra_only","A_tex_xepersian_source_archives","Persianate witness rows fa_linear_algebra_3blue1brown_tex_source and fa_linear_algebra_gilbert_strang_persian_tex_source; R3 source archive contents root C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_PERSIANATE_SOURCE_ARCHIVE_CONTENTS_MANIFEST_20260705T051156Z","https://github.com/SireJeff/linear-algebra-3blue1brown-notes ; https://github.com/AlirezaKachouei/Linear-Algebra-Gilbert-Strang-Persian","outputs/source_canon_witness_cache_20260704/fa_linear_algebra_3blue1brown_tex_source_master.zip ; outputs/source_canon_witness_cache_20260704/fa_linear_algebra_gilbert_strang_persian_source_main.zip","archive1 4D93CE90754B28ECC743CE5BB1ED62F0325F99A38D52E90DECC10DD1C3FFF59C; archive2 1956A3821B88F2AFDA31A0DA184988DDDED44751A44E48068E6A06FCA091437B; witness_md 691C7C49236D79777253BB989E97867C56120E20F0592239C794D8E12DBDA929; witness_json 504F09428D241C5E12353D9691C45C2AE6CC2F91E54AF17DFD148DA82BAB0995","Public GitHub source archives; 3Blue1Brown archive lacks standard open license; Strang Persian repo reports no license metadata and README notes original book copyright/non-commercial educational use; no license clearance claimed.","linear algebra","lineare Algebra / adjacent linear-algebra register","جبر خطی","جبر خطی is the active fa_IR draft; الجبر خطی is observed in Afghan/Dari bibliographic register and must stay separate.","Owner witness table records two fa_IR source archives; the Strang/XePersian row has 20 TeX files and 20 PDFs, and the 3Blue1Brown row is a TeX/PDF source archive.","Use around course titles, vector-space/matrix topics, and formulas such as Ax=b; do not use to authorize Noether invariant-theory terminology.","جبر + خطی = algebra + linear; adjective follows noun in Persian ezafe-style technical noun phrase.","draft_support_for_covered_fa_IR_linear_algebra_rows","Adjacent to Noether/invariant work only; no fa_IR Noether TeX/source package found.","Draft/non-canonical transition support only; not native reviewed, not accepted terminology, not canonical approval, not license clearance, not gate promotion, not translation completion, not package claim, and no Git push.","20260705T142321Z"
"R3-SUFF-DRAFT-0002","Persianate/Tajik lane - fa_IR covered draft support","fa_IR only","matrix/vector linear algebra","sufficient_for_scoped_draft_linear_algebra_only","A_tex_xepersian_source_archives","Persianate witness rows fa_linear_algebra_3blue1brown_tex_source and fa_linear_algebra_gilbert_strang_persian_tex_source; R3 source archive contents root C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_PERSIANATE_SOURCE_ARCHIVE_CONTENTS_MANIFEST_20260705T051156Z","https://github.com/SireJeff/linear-algebra-3blue1brown-notes ; https://github.com/AlirezaKachouei/Linear-Algebra-Gilbert-Strang-Persian","outputs/source_canon_witness_cache_20260704/fa_linear_algebra_3blue1brown_tex_source_master.zip ; outputs/source_canon_witness_cache_20260704/fa_linear_algebra_gilbert_strang_persian_source_main.zip","archive1 4D93CE90754B28ECC743CE5BB1ED62F0325F99A38D52E90DECC10DD1C3FFF59C; archive2 1956A3821B88F2AFDA31A0DA184988DDDED44751A44E48068E6A06FCA091437B; witness_md 691C7C49236D79777253BB989E97867C56120E20F0592239C794D8E12DBDA929; witness_json 504F09428D241C5E12353D9691C45C2AE6CC2F91E54AF17DFD148DA82BAB0995","Public GitHub source archives; 3Blue1Brown archive lacks standard open license; Strang Persian repo reports no license metadata and README notes original book copyright/non-commercial educational use; no license clearance claimed.","matrix / matrices","Matrix / Matrizen","ماتریس / ماتریس‌ها","مصفوفه is a formal Arabic-derived alternative; keep ماتریس as the fa_IR source-table-supported draft for the Strang/XePersian witness.","Persianate witness table records 941 ماتریس hits in the Strang/XePersian source archive.","Use with displayed arrays, matrix multiplication AB, determinants det(A), and systems Ax=b.","ماتریس is a technical borrowing; plural can be Persianized as ماتریس‌ها in prose.","draft_support_for_covered_fa_IR_matrix_rows","No approval or license clearance; source archive is not a Noether-topic source package.","Draft/non-canonical transition support only; not native reviewed, not accepted terminology, not canonical approval, not license clearance, not gate promotion, not translation completion, not package claim, and no Git push.","20260705T142321Z"
"R3-SUFF-DRAFT-0003","Persianate/Tajik lane - fa_IR covered draft support","fa_IR only","vector and vector-space linear algebra","sufficient_for_scoped_draft_linear_algebra_only","A_tex_xepersian_source_archives","Persianate witness rows fa_linear_algebra_3blue1brown_tex_source and fa_linear_algebra_gilbert_strang_persian_tex_source; R3 source archive contents root C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_PERSIANATE_SOURCE_ARCHIVE_CONTENTS_MANIFEST_20260705T051156Z","https://github.com/SireJeff/linear-algebra-3blue1brown-notes ; https://github.com/AlirezaKachouei/Linear-Algebra-Gilbert-Strang-Persian","outputs/source_canon_witness_cache_20260704/fa_linear_algebra_3blue1brown_tex_source_master.zip ; outputs/source_canon_witness_cache_20260704/fa_linear_algebra_gilbert_strang_persian_source_main.zip","archive1 4D93CE90754B28ECC743CE5BB1ED62F0325F99A38D52E90DECC10DD1C3FFF59C; archive2 1956A3821B88F2AFDA31A0DA184988DDDED44751A44E48068E6A06FCA091437B; witness_md 691C7C49236D79777253BB989E97867C56120E20F0592239C794D8E12DBDA929; witness_json 504F09428D241C5E12353D9691C45C2AE6CC2F91E54AF17DFD148DA82BAB0995","Public GitHub source archives; 3Blue1Brown archive lacks standard open license; Strang Persian repo reports no license metadata and README notes original book copyright/non-commercial educational use; no license clearance claimed.","vector / vector space","Vektor / Vektorraum","بردار / فضای برداری","وکتور is a loan alternative and may be Afghan/Dari-adjacent; فضای خطی is a possible register alternative but not promoted here.","Persianate witness table records 447 بردار hits and 3 فضای برداری hits in the Strang/XePersian source archive.","Use for v in V, bases of vector spaces, spans, linear combinations, and Av=λv contexts.","فضای برداری = space + vector-adjectival; بردار ویژه can be built from the same head noun.","draft_support_for_covered_fa_IR_vector_rows","Keep fa_IR separate from prs_AF and tg_Cyrl_TJ; no native-review claim.","Draft/non-canonical transition support only; not native reviewed, not accepted terminology, not canonical approval, not license clearance, not gate promotion, not translation completion, not package claim, and no Git push.","20260705T142321Z"
"R3-SUFF-DRAFT-0004","Persianate/Tajik lane - fa_IR covered draft support","fa_IR only","eigen/linear-algebra adjacent rows","sufficient_for_scoped_draft_linear_algebra_only","A_tex_xepersian_source_archives","Persianate witness rows fa_linear_algebra_3blue1brown_tex_source and fa_linear_algebra_gilbert_strang_persian_tex_source; R3 source archive contents root C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_PERSIANATE_SOURCE_ARCHIVE_CONTENTS_MANIFEST_20260705T051156Z","https://github.com/SireJeff/linear-algebra-3blue1brown-notes ; https://github.com/AlirezaKachouei/Linear-Algebra-Gilbert-Strang-Persian","outputs/source_canon_witness_cache_20260704/fa_linear_algebra_3blue1brown_tex_source_master.zip ; outputs/source_canon_witness_cache_20260704/fa_linear_algebra_gilbert_strang_persian_source_main.zip","archive1 4D93CE90754B28ECC743CE5BB1ED62F0325F99A38D52E90DECC10DD1C3FFF59C; archive2 1956A3821B88F2AFDA31A0DA184988DDDED44751A44E48068E6A06FCA091437B; witness_md 691C7C49236D79777253BB989E97867C56120E20F0592239C794D8E12DBDA929; witness_json 504F09428D241C5E12353D9691C45C2AE6CC2F91E54AF17DFD148DA82BAB0995","Public GitHub source archives; 3Blue1Brown archive lacks standard open license; Strang Persian repo reports no license metadata and README notes original book copyright/non-commercial educational use; no license clearance claimed.","eigenvalue / eigenvector","Eigenwert / Eigenvektor","مقدار ویژه / بردار ویژه","مقادیر ویژه for plural eigenvalues; ارزش ویژه or وکتور ویژه remain comparator-only alternatives unless a separate source gate supports them.","Persianate witness table records مقدار ویژه/مقادیر ویژه hits in the Strang/XePersian source archive and vector vocabulary across the same source shelf.","Attach directly to Av=λv: λ is مقدار ویژه and nonzero v is بردار ویژه.","ویژه carries the eigen/special modifier; keep λ/v roles explicit in formula-neighboring notes.","draft_support_for_covered_fa_IR_eigen_rows","Adjacent linear-algebra row only; not evidence for invariant-theory eigen-language without further source context.","Draft/non-canonical transition support only; not native reviewed, not accepted terminology, not canonical approval, not license clearance, not gate promotion, not translation completion, not package claim, and no Git push.","20260705T142321Z"
"R3-SUFF-DRAFT-0005","Persianate/Tajik lane - fa_IR covered draft support","fa_IR only","determinant and inner-product linear algebra","sufficient_for_scoped_draft_linear_algebra_only","A_tex_xepersian_source_archives","Persianate witness rows fa_linear_algebra_3blue1brown_tex_source and fa_linear_algebra_gilbert_strang_persian_tex_source; R3 source archive contents root C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_PERSIANATE_SOURCE_ARCHIVE_CONTENTS_MANIFEST_20260705T051156Z","https://github.com/SireJeff/linear-algebra-3blue1brown-notes ; https://github.com/AlirezaKachouei/Linear-Algebra-Gilbert-Strang-Persian","outputs/source_canon_witness_cache_20260704/fa_linear_algebra_3blue1brown_tex_source_master.zip ; outputs/source_canon_witness_cache_20260704/fa_linear_algebra_gilbert_strang_persian_source_main.zip","archive1 4D93CE90754B28ECC743CE5BB1ED62F0325F99A38D52E90DECC10DD1C3FFF59C; archive2 1956A3821B88F2AFDA31A0DA184988DDDED44751A44E48068E6A06FCA091437B; witness_md 691C7C49236D79777253BB989E97867C56120E20F0592239C794D8E12DBDA929; witness_json 504F09428D241C5E12353D9691C45C2AE6CC2F91E54AF17DFD148DA82BAB0995","Public GitHub source archives; 3Blue1Brown archive lacks standard open license; Strang Persian repo reports no license metadata and README notes original book copyright/non-commercial educational use; no license clearance claimed.","determinant / inner product","Determinante / inneres Produkt","دترمینان / حاصل‌ضرب داخلی","تعیین‌کننده is a possible explanatory gloss for determinant; keep دترمینان as the source-table-supported draft.","Persianate witness table records 14 دترمینان hits and 31 حاصل‌ضرب داخلی hits in the Strang/XePersian source archive.","Use det(A) near دترمینان and <u,v> or u·v near حاصل‌ضرب داخلی.","حاصل‌ضرب داخلی literally builds as product + internal; useful for formula-neighboring explanations.","draft_support_for_covered_fa_IR_determinant_inner_product_rows","No source-body excerpt copied; this is row-level support derived from witness-table counts and hashes.","Draft/non-canonical transition support only; not native reviewed, not accepted terminology, not canonical approval, not license clearance, not gate promotion, not translation completion, not package claim, and no Git push.","20260705T142321Z"
"R3-SUFF-DRAFT-0006","Persianate/Tajik lane - fa_IR covered draft support","fa_IR only","Noetherian/Gorenstein research-register fallback witness","sufficient_for_scoped_draft_pdf_html_research_register_not_tex","B_pdf_journal_article_with_html_metadata","Persianate witness row fa_ui_math_sci_auslander_reiten_gorenstein_rings; durable log source-canon heartbeat note","https://math-sci.ui.ac.ir/article_26915.html","outputs/source_canon_witness_cache_20260704/fa_ui_math_sci_auslander_reiten_gorenstein_rings_article_26915.pdf ; outputs/source_canon_witness_cache_20260704/fa_ui_math_sci_auslander_reiten_gorenstein_rings_article_26915.html","PDF 9F15766508A213DD273DD58E6905047B0E61A47038C472DBA5D09C379EFC8FE3; HTML CD360D3B4B1AD6A065D074EC20B83D5A535ED997F182F3C1BECAA456DE3BB9BC; witness_md 691C7C49236D79777253BB989E97867C56120E20F0592239C794D8E12DBDA929","Journal page footer links CC BY 4.0 and public PDF/HTML 200 responses; this artifact makes no license clearance claim.","Noetherian algebra / Noetherian ring","noethersche Algebra / noetherscher Ring","جبر نوتری / حلقه نوتری","نوتری is the source-table-supported spelling; نوترین/نوتریان are not activated here.","Owner witness table records HTML metadata counts: حلقه 21, نوتری 6, جبر 18, مدول 6, and representation-theory/Gorenstein context.","Use as an adjective on algebra/ring hypotheses near module and Krull-dimension statements; do not silently extend to all historical Noether uses.","نوتری functions as the Persian adjectival form of Noetherian; keep person/name sense separate from Emmy Noether references.","draft_support_for_covered_fa_IR_noetherian_research_register_rows","Not TeX/source archive; not source-package closure for full Noether invariant-theory corpus.","Draft/non-canonical transition support only; not native reviewed, not accepted terminology, not canonical approval, not license clearance, not gate promotion, not translation completion, not package claim, and no Git push.","20260705T142321Z"
"R3-SUFF-DRAFT-0007","Persianate/Tajik lane - fa_IR covered draft support","fa_IR only","Gorenstein/module research-register fallback witness","sufficient_for_scoped_draft_pdf_html_research_register_not_tex","B_pdf_journal_article_with_html_metadata","Persianate witness row fa_ui_math_sci_auslander_reiten_gorenstein_rings; durable log source-canon heartbeat note","https://math-sci.ui.ac.ir/article_26915.html","outputs/source_canon_witness_cache_20260704/fa_ui_math_sci_auslander_reiten_gorenstein_rings_article_26915.pdf ; outputs/source_canon_witness_cache_20260704/fa_ui_math_sci_auslander_reiten_gorenstein_rings_article_26915.html","PDF 9F15766508A213DD273DD58E6905047B0E61A47038C472DBA5D09C379EFC8FE3; HTML CD360D3B4B1AD6A065D074EC20B83D5A535ED997F182F3C1BECAA456DE3BB9BC; witness_md 691C7C49236D79777253BB989E97867C56120E20F0592239C794D8E12DBDA929","Journal page footer links CC BY 4.0 and public PDF/HTML 200 responses; this artifact makes no license clearance claim.","Gorenstein ring / module","Gorenstein-Ring / Modul","حلقه گرنشتاین / مدول","گرنشتاین follows the owner witness table; German classical invariant-theory Modul remains separately flagged as مودول/مدول decision, not resolved here.","Owner witness table records گرنشتاین 19 and مدول 6 in the HTML metadata/abstract witness.","Use near homological algebra, representation theory, and module hypotheses; keep German Modul in old invariant-theory rows under review.","مدول is the modern module term; for historical Modul, include a reviewer note before normalizing.","draft_support_for_covered_fa_IR_gorenstein_module_rows","Research-register fallback only; not native reviewed and not a Noether corpus-wide terminology approval.","Draft/non-canonical transition support only; not native reviewed, not accepted terminology, not canonical approval, not license clearance, not gate promotion, not translation completion, not package claim, and no Git push.","20260705T142321Z"
"R3-SUFF-DRAFT-0008","Arabic RTL lane - covered draft support","Arabic RTL only","linear algebra fallback/source text","sufficient_for_scoped_draft_arabic_linear_algebra_fallback","B_text_pdf_html_fallback_with_source_package_gap","Arabic Wikibooks source text probe; HIAST author bibliography source probe","Arabic Wikibooks oldid source text rows; https://sites.google.com/view/omrankouba/home/books","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_WIKIBOOKS_SOURCE_TEXT_PROBE_20260705.md ; C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_HIAST_AUTHOR_BIBLIOGRAPHY_SOURCE_PROBE_20260705.md","wikibooks_probe_md F4D7E7017F35EC411D7034628EF1A3FB4C52DABE2CDB2744FA8ED10B43F58385; hiast_bibliography_md 5FD73E9804CA099283604F32EA1E61A8BFD07B2C6B6329415A5D797A79C8A871","Arabic owner-lane source probes record public web/PDF/source-text access signals and no blanket reuse/license clearance.","linear algebra","lineare Algebra","الجبر الخطي","جبر خطي appears in some headings; keep definite الجبر الخطي for title/register draft.","Arabic owner probe revalidated Wikibooks جبر/جبر خطي and HIAST bibliography rows for الجبر- الجبر الخطي.","Use for course/shelf title around vector spaces, matrices, determinants, and linear systems; not a source-package closure.","الجبر + الخطي = algebra + linear adjective with Arabic definiteness agreement.","draft_support_for_arabic_linear_algebra_rows","Arabic TeX/source package gap remains open.","Draft/non-canonical transition support only; not native reviewed, not accepted terminology, not canonical approval, not license clearance, not gate promotion, not translation completion, not package claim, and no Git push.","20260705T142321Z"
"R3-SUFF-DRAFT-0009","Arabic RTL lane - covered draft support","Arabic RTL only","matrix/vector-space fallback/source text","sufficient_for_scoped_draft_arabic_linear_algebra_fallback","B_text_pdf_html_fallback_with_source_package_gap","Arabic Wikibooks source text probe; HIAST author bibliography source probe","Arabic Wikibooks oldid source text rows; https://sites.google.com/view/omrankouba/home/books","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_WIKIBOOKS_SOURCE_TEXT_PROBE_20260705.md ; C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_HIAST_AUTHOR_BIBLIOGRAPHY_SOURCE_PROBE_20260705.md","wikibooks_probe_md F4D7E7017F35EC411D7034628EF1A3FB4C52DABE2CDB2744FA8ED10B43F58385; hiast_bibliography_md 5FD73E9804CA099283604F32EA1E61A8BFD07B2C6B6329415A5D797A79C8A871","Arabic owner-lane source probes record public web/PDF/source-text access signals and no blanket reuse/license clearance.","matrix / vector space","Matrix / Vektorraum","مصفوفة / فضاء شعاعي","المصفوفات for plural/title context; فضاء متجهي is a comparator alternative, while HIAST metadata uses الفضاءات الشعاعية.","Arabic Wikibooks rows include المصفوفات and vector-space fallback source text; HIAST author page lists الفضاءات الشعاعية والتطبيقات الخطية.","Use مصفوفة near A, entries, and det(A); use فضاء شعاعي near V, subspaces, and linear maps.","فضاء شعاعي literally vector/ray-space in this register; keep owner-lane RTL/layout review pending.","draft_support_for_arabic_matrix_vector_rows","Not visual RTL QA and not native-reviewed.","Draft/non-canonical transition support only; not native reviewed, not accepted terminology, not canonical approval, not license clearance, not gate promotion, not translation completion, not package claim, and no Git push.","20260705T142321Z"
"R3-SUFF-DRAFT-0010","Arabic RTL lane - covered draft support","Arabic RTL only","ring homomorphism/isomorphism official PDF fallback","sufficient_for_scoped_draft_official_pdf_curriculum_fallback","B_official_pdf_textcheck_with_source_package_gap","Arabic ring homomorphism curriculum source probe; Arabic abstract algebra/module source probe","Majmaah MATH444; ENS Ouargla general algebra R211; University of Anbar Arabic mathematics program; HIAST/Mustansiriyah abstract algebra PDF","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_RING_HOMOMORPHISM_CURRICULUM_SOURCE_PROBE_20260705.md ; C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_ABSTRACT_ALGEBRA_MODULE_SOURCE_PROBE_20260705.md","ring_probe_md 67AEC992573C3D75DFA72F04A8544F4BE3143CABA4D7A9A252F9C680F8B2A350; module_probe_md 8771B04B1AD0C573297FDB4B6A41B4C2585F8A8A04590F31DBE57133213E81D6","Arabic owner-lane source probes record public web/PDF/source-text access signals and no blanket reuse/license clearance.","ring homomorphism / ring isomorphism","Ringhomomorphismus / Ringisomorphismus","تشاكل حلقي / تماثل حلقات","تشاكل الحلقات and تماثل الحلقات are source-probe-supported phrase variants; do not collapse homomorphism/isomorphism without context.","Arabic owner probe records official PDFs/textchecks with تشاكل, تماثل, حلقة/حلقات, ideals, and isomorphism-theorem curriculum context.","Use for maps f:R→S preserving ring operations; pair نواة التشاكل with ker(f).","تشاكل حلقي = homomorphism + ring adjective; تماثل حلقات = isomorphism/equivalence of rings in curriculum register.","draft_support_for_arabic_ring_map_rows","No Arabic TeX/source package admitted; text extracts are verification artifacts, not publication bodies.","Draft/non-canonical transition support only; not native reviewed, not accepted terminology, not canonical approval, not license clearance, not gate promotion, not translation completion, not package claim, and no Git push.","20260705T142321Z"
