german,korean,scope,note
Körper,체,algebra,"field; do not use 신체"
Ring,환,algebra,
Ideal,아이디얼,algebra,
Modul,모듈,algebra,"module; distinguish historical Formenmodul from modern module by context"
Bereich,영역,algebra,"domain/realm; refine contextually"
Integritätsbereich,정역,algebra,
Zerfällungskörper,분해체,representation_theory,
Darstellung,표현,representation_theory,
irreduzibel,기약인,algebra,
vollständig reduzibel,완전가약인,representation_theory,
invariant,불변인,invariant_theory,
Invariante,불변식,invariant_theory,
Kovariante,공변식,invariant_theory,
Kontravariante,반변식,invariant_theory,
Formensystem,형식계,invariant_theory,
ganze rationale Funktion,다항함수,historical_algebra,"avoid literal 정칙 유리함수"
Endlichkeitssatz,유한성 정리,general,
Differente,디퍼런트,algebraic_number_theory,
verschranktes Produkt,교차곱,algebra,
Maximalordnung,극대 정칙환,algebra,"revisit per paper context before use"
isomorphe Abbildung,동형사상,field_theory,
rationale Basis,유리기저,field_theory,"historical rational-generation basis"
Abschnittskörper,절단체,field_theory,
algebraische Basis,대수적 기저,field_theory,"source term; structurally a transcendence basis"
Primkörper,소체,field_theory,
extrem unstetig,극도로 불연속,analysis,
Parameterdarstellung,매개변수표현,field_theory,
Lagrangescher Gattungsbereich,라그랑주 종영역,field_theory,"invariant field attached to a permutation group"
Minimalbasis,최소기저,field_theory,
Affekt,아펙트,field_theory,"historical Galois-theory term; retain transliteration"
natürliche Irrationalität,자연스러운 무리량,field_theory,
Nullstellenkörper,영점체,commutative_algebra,
Restklassenkörper,잉여류체,commutative_algebra,
Primideal,소아이디얼,commutative_algebra,
Primärideal,으뜸아이디얼,commutative_algebra,
Elementarteiler,초등인자,algebra,
Grundideal,기초아이디얼,commutative_algebra,"historical elimination-theory filtration term"
Reihenentwicklung,급수전개,invariant_theory,
Normalform,정규형,invariant_theory,
Komplexkoordinaten,콤플렉스 좌표,invariant_theory,"Pluecker complex coordinates, not generic complex-number coordinates"
Linienkoordinaten,선좌표,invariant_theory,
