paper,title_de,current_start,current_end,recovery_state,korean_body,next_action
FRONT,"Front matter and edition apparatus",1,381,missing,"none found","translate after numbered and post-numbered bodies"
1,"Über die Bildung des Formensystems der ternären biquadratischen Form",382,473,producer_complete_reused,"3 inherited units reopened as a coherent full body","mechanically build and route independent checking"
2,"Über die Bildung des Formensystems der ternären biquadratischen Form",474,3574,candidate_full_untrusted,"209 distinct inherited target bodies","reopen full source and target; consolidate only if coherent"
3,"Zur Invariantentheorie der Formen von n Variabeln",3575,3611,producer_complete_reused,"3 inherited units reopened as a coherent full body","mechanically build and route independent checking"
4,"Zur Invariantentheorie der Formen von n Variabeln",3612,4536,candidate_full_untrusted,"49 distinct inherited target bodies","reopen full source and target; consolidate only if coherent"
5,"Rationale Funktionenkörper",4537,4577,producer_complete_reused,"4 inherited units reopened and terminology rebased","mechanically build and route independent checking"
6,"Körper und Systeme rationaler Funktionen",4578,5842,candidate_full_untrusted,"260 distinct inherited target bodies","rebase against ED0004 correction and reopen full target"
7,"Der Endlichkeitssatz der Invarianten endlicher Gruppen",5843,5957,producer_complete_reused,"8 inherited units reopened as a coherent full body","mechanically build and route independent checking"
8,"Über ganze rationale Darstellung der Invarianten eines Systems von beliebig vielen Grundformen",5958,6348,producer_complete_reused,"36 inherited units reopened against an exact ED0004 source body","mechanically build and route independent checking"
9,"Die allgemeinsten Bereiche aus ganzen transzendenten Zahlen",6349,7680,candidate_partial_untrusted,"75 inherited units through ED0002 line 7328; source content unchanged in ED0004 and shifted by +1 line","reopen inherited units; translate current-authority tail beginning ED0004 line 7330"
10,"Die Funktionalgleichungen der isomorphen Abbildung",7681,7881,producer_complete_new,"fresh full-paper translation from ED0004","mechanically build and route independent checking"
11,"Gleichungen mit vorgeschriebener Gruppe",7882,8087,producer_complete_new,"fresh full-paper translation from ED0004","mechanically build and route independent checking"
12,"Invarianten beliebiger Differentialausdrücke",8088,8488,missing,"none found","translate"
13,"Invariante Variationsprobleme",8489,9104,missing,"none found","translate"
14,"Die arithmetische Theorie der algebraischen Funktionen einer Veränderlichen",9105,9283,missing,"none found","translate"
15,"Die Endlichkeit des Systems der ganzzahligen Invarianten binärer Formen",9284,9903,missing,"none found","translate"
16,"Zur Reihenentwicklung in der Formentheorie",9904,10070,producer_complete_new,"fresh full-paper translation from ED0004","mechanically build and route independent checking"
17,"Moduln in nichtkommutativen Bereichen",10071,11217,missing,"none found","translate"
