row_id,scope,observed_item,observed_value,source_or_evidence,source_canon_relevance,r9_action,boundary_note,promotion_allowed
R9-FRONTIER-001,R9 current state,registered output artifacts,36,"outputs directory plus R9_ARTIFACT_MANIFEST_20260704.json at recheck","R9 source-canon/provenance artifacts remain registered and checksum-managed","continue appending source-canon maintenance artifacts locally","not a completion claim; not a package or push",false
R9-FRONTIER-002,R9 current state,last durable JSONL entry before this artifact,R9-RUN-024,"R9_DURABLE_RUN_LOG_20260704.jsonl","latest recorded R9 work was official/academic web provenance header audit","append a new frontier recheck entry after this artifact","not a review, approval, or gate claim",false
R9-FRONTIER-003,R9 source-canon table,required-field witness rows,17,"R9_SOURCE_CANON_REQUIRED_FIELD_WITNESS_TABLE_20260704.csv","primary R9 required-field witness table remains present","do not replace; extend with addenda only when evidence changes","all rows source/provenance/gap only",false
R9-FRONTIER-004,R9 source-archive probe,GitHub/HF live probe rows,18,"R9_LIVE_GITHUB_HF_SOURCE_ARCHIVE_PROBE_20260704.csv","records live GitHub/HF candidate and zero-result gaps","retain Amharic and Twi candidates as blocked metadata-only rows","no raw CSV/parquet bodies or candidate admission",false
R9-FRONTIER-005,R9 official provenance,official/academic header audit rows,12,"R9_OFFICIAL_ACADEMIC_WEB_PROVENANCE_HEADER_AUDIT_20260704.csv","records live header and local-manifest reconciliation for official/academic routes","treat Ethiopia Learning direct HEAD SSL failures as live-header blockers, not source loss","no raw HTML/PDF body capture or license clearance",false
R9-FRONTIER-006,B3 checkout,branch,codex/noether-pc-20260629,"git rev-parse --abbrev-ref HEAD in safe checkout","confirms R9 should respect repo-visible branch/instruction bus","read-only awareness; no R9 staging or push","language lane does not push",false
R9-FRONTIER-007,B3 checkout,observed HEAD,efab9d81df5ec9a0b97de8fdc8882d13ec4099d6,"git rev-parse HEAD in safe checkout","safe checkout has advanced beyond older B3 log tail","record observation only; B3 owns reconciliation","not a package-frontier proof",false
R9-FRONTIER-008,B3 checkout,untracked package drift,"NOETHER_SESSION_OUTPUT_PACKAGE333_20260704T222545_ROLLING_DELTA_AFTER_PACKAGE332","git status --short in safe checkout","B3-owned rolling package drift is present","do not stage, edit, clean, or push from R9","B3 packages/pushes only",false
R9-FRONTIER-009,B3 package shelf,latest package directories observed,326-333,"cross-session package directory listing","shows active package frontier movement while R9 continues producing lane artifacts","record as cross-lane awareness for future B3 handoff","not a claim that package333 is committed or pushed",false
R9-FRONTIER-010,package333 manifest,R9 package drift already detected,"R9 checksum, manifest, durable JSONL, and package-index rows flagged HASH_CHANGED_AFTER_PACKAGE_FRONTIER","NOETHER_SESSION_OUTPUT_PACKAGE333_MANIFEST.csv","B3's rolling package manifest already noticed R9 deltas through RUN-024","this turn creates newer R9 deltas; Session B/B3 must rescan","R9 does not update package333",false
R9-FRONTIER-011,cross-lane scan,Arabic RTL lane latest source-canon signal,"NOETHER_ARABIC_RTL_GITHUB_SOURCE_ARCHIVE_PROBE_SHA256_20260704.txt","July 4 noether-* output inventory","adjacent source-archive probe pattern may be useful as method but not evidence for R9 languages","keep R9 evidence separate; do not borrow Arabic rows","no cross-language term promotion",false
R9-FRONTIER-012,cross-lane scan,CJK native/source latest required-field audit,"NOETHER_PROGRAM_SOURCE_CANON_REQUIRED_FIELD_AUDIT_MANIFEST_20260704.json","July 4 noether-* output inventory","confirms other lanes are also converging on required-field source-canon shape","R9 keeps required-field conformance table aligned","not CJK evidence for R9",false
R9-FRONTIER-013,cross-lane scan,R6 access/source latest reachability audit,"NOETHER_R6_STRICT_PROVENANCE_URL_REACHABILITY_AUDIT_20260704.csv","July 4 noether-* output inventory","strict URL reachability audit pattern parallels R9 official header audit","retain R9 header audit as metadata-only provenance","no review, consent, or access clearance claim",false
R9-FRONTIER-014,cross-lane scan,R2 Pan-Turkic latest source-canon frontier followup,"NOETHER_R2_PAN_TURKIC_SOURCE_CANON_PROGRAM_FRONTIER_FOLLOWUP_SHA256_20260704T2225.txt","July 4 noether-* output inventory","R2 has active frontier followup; use as coordination awareness only","do not import R2 gaps/evidence into R9","no cross-family source substitution",false
R9-FRONTIER-015,cross-lane scan,Romance latest source-canon witness table,"NOETHER_ROMANCE_SOURCE_CANON_WITNESS_TABLE_20260704.md","July 4 noether-* output inventory","Romance lane has a source-canon table that can inform formatting expectations","keep R9 witness rows target-language specific","not Romance evidence for R9",false
R9-FRONTIER-016,cross-lane scan,R3 latest source material surfaced,"ar_shamra_invariance_system_theory_secondary_html.html","July 4 noether-* output inventory","R3 has algebra/invariance-adjacent source material, but Arabic/Persianate ownership is separate","route any genuinely R9-owned Africa/Horn evidence back to R9; do not borrow R3 rows","no bridge, term, or source-gate promotion",false
R9-FRONTIER-017,active blocker,R9 next package exposure,new R9 frontier artifact not yet in B3 packages,"this artifact and subsequent checksum/log updates","creating this recheck necessarily creates new package drift","Session B/B3 must package if/when appropriate","no Git push from R9",false
