revision_id,date,state,object,change,rationale,decision_ids,supersedes
SGA-PRES-REV-0001,2026-08-03,closed,SGA1 clean R3,Removed two producer proof-note blocks and rebuilt,Separate production rationale from mathematical reader,SGA-PRES-0001;SGA-PRES-0002,SGA1 prior reader surface
SGA-PRES-REV-0002,2026-08-03,closed,SGA5 clean R10,Removed two producer footnotes and neutralized metadata,Separate production rationale from mathematical reader,SGA-PRES-0001;SGA-PRES-0003,SGA5 R9 reader surface
SGA-PRES-REV-0003,2026-08-03,closed,SGA4half clean-font R2,Replaced the sole Type 3 operator-font layer and rebuilt,Keep typography embedded without changing mathematics,SGA-PRES-0004,SGA4half reference-v2 R1
SGA-PRES-REV-0004,2026-08-03,closed,cumulative R6,Rebuilt from current SGA2 R10 and SGA3 R29 plus seven other clean readers,Bind the current coherent standalone set,SGA-PRES-0005;SGA-PRES-0006,cumulative R5
SGA-PRES-REV-0005,2026-08-03,rejected,font surface validation initial,Empty font file produced a false PASS,The validator lacked a nonempty-inventory condition,SGA-PRES-0007,none
SGA-PRES-REV-0006,2026-08-03,rejected,font surface validation R2,Nonempty captured output parsed as zero rows,The parser assumed too many double-space column boundaries,SGA-PRES-0008,SGA-PRES-REV-0005
SGA-PRES-REV-0007,2026-08-03,closed,font surface validation R3,Parsed all 379 rows and passed embedding checks,Use the actual pdffonts fixed-width grammar,SGA-PRES-0009,SGA-PRES-REV-0006
SGA-PRES-REV-0008,2026-08-03,closed,visual QA R6,Inspected eight opening seam and terminal surfaces,Confirm layout and absence of status prose after input refresh,SGA-PRES-0001;SGA-PRES-0005,none
SGA-PRES-REV-0009,2026-08-03,rejected,presentation-clean package R1,Stopped before manifest freeze on four control-marker hits and three empty CSV records,Fail closed on package metadata exactness,SGA-PRES-0011,none
SGA-PRES-REV-0010,2026-08-03,closed,presentation-clean package R2,Sanitized control-only workspace markers and ignored wholly empty CSV records,Close privacy and rectangularity without changing reader or mathematical-source bytes,SGA-PRES-0012,SGA-PRES-REV-0009
