decision_id,status,date,scope,predecessor_form,selected_form,rationale,mathematical_effect,supersedes,evidence
SGA-PRES-0001,accepted,2026-08-03,all reader PDFs,project and workflow prose mixed into reader surfaces,mathematical and bibliographic reader surfaces with external process ledgers,Reader PDFs should not present production process as part of the historical work,none,none,standalone surface adjudication and final cumulative validation
SGA-PRES-0002,accepted,2026-08-03,SGA1 proof notes,two visible project source-comparison notes,notes removed to external ledger while attested proof readings remain,The notes document production judgment rather than translated mathematics,none,none,SGA1 READER_PROSE_REMOVALS_R3.csv
SGA-PRES-0003,accepted,2026-08-03,SGA5 source notes,two visible project source-comparison footnotes,footnotes removed to external ledger while selected formulas remain,The footnotes explain production choices and are not source-era reader text,none,SGA5 R9 reader surface,SGA5 READER_PROSE_REMOVALS_R10.csv
SGA-PRES-0004,accepted,2026-08-03,SGA4half operator fonts,Calligra suffix letters producing one Type 3 resource,mathrsfs initials plus Latin Modern suffix letters,The operator names are unchanged and the selected form removes the Type 3 resource,none,SGA4half reference-v2 R1 font layer,SGA4half CLEANFONT_DECISIONS.csv
SGA-PRES-0005,accepted,2026-08-03,SGA2 and SGA3 cumulative inputs,older local reader bytes,current public R10 and R29 reader bytes,Use the most recent independently closed reader inputs and rescan their visible prose,none,global reader R5 input set,current input and surface-adjudication manifests
SGA-PRES-0006,accepted,2026-08-03,cumulative navigation,un-namespaced standalone destination names,stable volume-prefixed destination and action names,Duplicate local labels must not silently route across volumes,none,provisional concatenation,cumulative builder evidence and route validation
SGA-PRES-0007,rejected,2026-08-03,cumulative font evidence,empty font file accepted by a validator without a row-count gate,reject the false PASS and require a nonempty parsed inventory,An empty evidence file cannot prove font embedding,none,initial surface validation,empty PDF_FONTS.txt and rejected initial validation
SGA-PRES-0008,rejected,2026-08-03,cumulative font evidence,successful font output captured in a format not parsed by the initial fixed-column splitter,reject R2 and repair the parser for actual pdffonts columns,Zero parsed rows cannot carry a font PASS,none,SGA-PRES-0007,R2 validation
SGA-PRES-0009,accepted,2026-08-03,cumulative font evidence,379-row native pdffonts output parsed with an exact trailing-column expression,R3 nonempty inventory with zero Type 3 and zero unembedded rows,Font gate is proven without changing reader bytes,none,SGA-PRES-0008,PDF_FONTS_RETRY_SHORTPATH.txt and FINAL_READER_SURFACE_VALIDATION_R3.json
SGA-PRES-0010,accepted,2026-08-03,source packaging,working trees containing build products and scratch material,active editable source closures plus exact manifests,Release source should be buildable and provenance-complete without generated or private contamination,none,none,per-volume SOURCE_MANIFEST.csv and package validation
SGA-PRES-0011,rejected,2026-08-03,package R1 control layer,control evidence containing bare internal workspace-marker strings and CSV validation counting empty terminal records,reject before manifest freeze,The defects are in package metadata validation and not in reader or mathematical source bytes,none,none,R1 PACKAGE_PREMANIFEST_VALIDATION.json
SGA-PRES-0012,accepted,2026-08-03,package R2 control layer,same reader and source bytes with corrected control sanitization and empty-record handling,no-overwrite R2 package with exact privacy and CSV replay,Retain every substantive data row while excluding private marker strings,none,SGA-PRES-0011,R2 package validation and manifest replay
