order,proposed_file,role,default_preview,supersedes_live_file,disposition
1,00_Current_SGA1-7II_English_Presentation_Clean_Readers_and_Buildable_Source_20260803.zip,complete checkpoint container,false,00_Current_SGA1-7II_English_Readers_and_Buildable_TeX_20260802.zip,replace on new version while preserving predecessor record history
2,00_SGA_1-7II_English_Global_Reader.pdf,clean cumulative reader,true,00z_SGA_1-7II_English_Global_Reader_navigation_r3_PROVISIONAL_20260803.pdf,replace provisional global reader
3,00a_SGA1_English_Reader.pdf,clean standalone SGA1,false,00a_SGA1_English_Reader.pdf,replace status-bearing predecessor bytes
4,00b_SGA2_English_Reader.pdf,clean standalone SGA2,false,none,preserve current clean bytes
5,00c_SGA3_English_Reader.pdf,clean standalone SGA3,false,none,preserve current clean bytes
6,00d_SGA4_English_Reader.pdf,clean standalone SGA4 proper,false,none,preserve current clean bytes
7,00d5_SGA4half_English_Reader.pdf,clean standalone SGA4half,false,none,new direct reader surface
8,00e_SGA5_English_Reader.pdf,clean standalone SGA5,false,00e_SGA5_English_Reader.pdf,replace status-bearing predecessor bytes
9,00f_SGA6_English_Reader.pdf,clean standalone SGA6,false,none,preserve current clean bytes
10,00i_SGA7I_English_Reader.pdf,clean standalone SGA7I,false,none,replace working-labelled direct reader surface
11,00j_SGA7II_English_Reader.pdf,clean standalone SGA7II,false,none,replace working-labelled direct reader surface
12,02a_SGA1_English_Master.tex,discoverable SGA1 master,false,02a_SGA1_English_Master.tex,replace reader-producing source with clean successor
13,02b_SGA2_English_Master.tex,discoverable SGA2 master,false,none,preserve current source
14,02c_SGA3_English_Master.tex,discoverable SGA3 master,false,none,preserve current source
15,02d_SGA4_English_Master.tex,discoverable SGA4 master,false,none,preserve current source
16,02d5_SGA4half_English_Master.tex,discoverable SGA4half master,false,none,new direct source surface
17,02e_SGA5_English_Master.tex,discoverable SGA5 master,false,02e_SGA5_English_Master.tex,replace reader-producing source with clean successor
18,02f_SGA6_English_Master.tex,discoverable SGA6 master,false,none,preserve current source
19,02i_SGA7I_English_Master.tex,discoverable SGA7I master,false,none,new clean source surface
20,02j_SGA7II_English_Master.tex,discoverable SGA7II master,false,none,new clean source surface
21,10a_SGA1_English_Source_PresentationClean_R3_20260803.zip,SGA1 buildable source,false,10a_SGA1_English_Source_and_History_R4_20260730.zip,supersede reader-producing source generation while retaining predecessor history
22,10b_SGA2_English_Source_and_History_R10_20260730.zip,SGA2 source and history,false,none,preserve exact current bytes
23,10c_SGA3_English_Reader_and_Buildable_TeX_R29_20260730.zip,SGA3 source and history,false,none,preserve exact current bytes
24,10d_SGA4_English_Proper_ReaderClean_R8_Source_20260803.zip,SGA4 buildable source,false,none,current clean source closure
25,10d5_SGA4half_English_Source_CleanFont_R2_20260803.zip,SGA4half buildable source,false,none,new direct source surface
26,10e_SGA5_English_Source_PresentationClean_R10_20260803.zip,SGA5 buildable source,false,10e_SGA5_English_ReferenceLinked_R9_TeX_Ledgers_20260723.zip,supersede reader-producing source generation while retaining predecessor history
27,10f_SGA6_English_Source_R10_20260803.zip,SGA6 buildable source,false,none,current active source closure
28,10i_SGA7I_English_Source_CleanFont_R2_20260803.zip,SGA7I buildable source,false,none,current active source closure
29,10j_SGA7II_English_Source_CleanFont_R2_20260803.zip,SGA7II buildable source,false,none,current active source closure
30,controls/LOGBOOK_PRIVACY_CLEAN.md,methodology and replication provenance,false,none,upload exact immutable bytes to both required provenance deposits
31,complete package,transport container history,false,10z7_SGA_1-7II_Global_Reader_PUBLIC_PACKAGE_20260803.zip,supersede provisional global package

