"branch_head","claim","value","evidence_basis"
"2bbebc4e7883ce89ec1dbee8543e47ce84356d19","mapping","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"2bbebc4e7883ce89ec1dbee8543e47ce84356d19","translation","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"2bbebc4e7883ce89ec1dbee8543e47ce84356d19","approval","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"2bbebc4e7883ce89ec1dbee8543e47ce84356d19","native_review","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"2bbebc4e7883ce89ec1dbee8543e47ce84356d19","accepted_terminology","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"2bbebc4e7883ce89ec1dbee8543e47ce84356d19","license_clearance","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"2bbebc4e7883ce89ec1dbee8543e47ce84356d19","gate_promotion","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"2bbebc4e7883ce89ec1dbee8543e47ce84356d19","source_certification","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"2bbebc4e7883ce89ec1dbee8543e47ce84356d19","final_status","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"2bbebc4e7883ce89ec1dbee8543e47ce84356d19","bridge_pilot","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"2bbebc4e7883ce89ec1dbee8543e47ce84356d19","translation_completion","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
