"field","value","source_use_label"
"packet","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_359BC213_SAME_FRONTIER_COORDINATOR_RESET_ACCOUNTING_20260707\R3_359BC213_SAME_FRONTIER_COORDINATOR_RESET_ACCOUNTING_20260707_20260707T032659Z","b3-uploader-summary"
"frontier","359bc2139248524bd5e3a954ce5c1482961d7adb","b3-uploader-summary"
"coordinator_packet","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_359BC213_SAME_FRONTIER_RESET_WAKE_ACCOUNTING_20260707","b3-uploader-summary"
"prior_359_packet_status","prior-359-packet-validated","b3-uploader-summary"
"local_dfb0_packet_status","local-dfb0-packet-validated","b3-uploader-summary"
"filtered_child_lane_rows","4","b3-uploader-summary"
"filtered_blocker_rows","4","b3-uploader-summary"
"filtered_fable_adverse_rows","4","b3-uploader-summary"
"filtered_inventory_rows","72","b3-uploader-summary"
"separation_rows","6","b3-uploader-summary"
"draft_pretranslation_routes","3","b3-uploader-summary"
"language_lane_push","false","b3-uploader-summary"
"claims","no native-review/accepted-terminology/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claim","b3-uploader-summary"
