file,hits
02_previous_outputs_retained as draft aids/paper_32/deligne_paper32_weilII_complete_EN.tex,numbered_range_collapse:13;literal_summary_phrase:1;literal_omission_phrase:3
02_previous_outputs_retained as draft aids/paper_32/deligne_paper32_weilII_complete_FR_fixed.tex,numbered_range_collapse:10
02_previous_outputs_retained as draft aids/paper_32/deligne_paper32_weilII_FR_clean_current_through_2_2.tex,numbered_range_collapse:10
02_previous_outputs_retained as draft aids/paper_32/deligne_paper32_weilII_complete_EN_1.tex,numbered_range_collapse:13;literal_summary_phrase:1;literal_omission_phrase:3
02_previous_outputs_retained as draft aids/paper_32/deligne_paper32_weilII_cumulative_through_5_3_EN.tex,numbered_range_collapse:13;literal_summary_phrase:1;literal_omission_phrase:3
02_previous_outputs_retained as draft aids/paper_32/deligne_paper32_weilII_cumulative_through_4_5_EN.tex,numbered_range_collapse:13;literal_summary_phrase:1;literal_omission_phrase:3
02_previous_outputs_retained as draft aids/paper_32/deligne_paper32_weilII_cumulative_through_2_2_FR_current.tex,numbered_range_collapse:10
02_previous_outputs_retained as draft aids/paper_32/deligne_paper32_weilII_cumulative_through_3_7_EN.tex,numbered_range_collapse:13;literal_omission_phrase:2
02_previous_outputs_retained as draft aids/paper_32/deligne_paper32_weilII_cumulative_through_2_2_EN.tex,numbered_range_collapse:10;literal_omission_phrase:2
02_previous_outputs_retained as draft aids/paper_32/deligne_paper32_weilII_cumulative_through_2_2_FR_current_1.tex,numbered_range_collapse:10
02_previous_outputs_retained as draft aids/paper_32/deligne_paper32_weilII_cumulative_through_1_8_FR_current.tex,numbered_range_collapse:5
02_previous_outputs_retained as draft aids/paper_32/deligne_paper32_weilII_cumulative_through_1_8_EN.tex,numbered_range_collapse:3;literal_omission_phrase:1
02_previous_outputs_retained as draft aids/paper_32/deligne_paper32_weilII_cumulative_through_1_5_EN.tex,literal_omission_phrase:1
02_previous_outputs_retained as draft aids/paper_32/deligne_paper32_weilII_cumulative_through_1_3_EN.tex,literal_omission_phrase:1
02_previous_outputs_retained as draft aids/paper_32/deligne_paper32_weilII_complete_EN_2.tex,numbered_range_collapse:13;literal_summary_phrase:1;literal_omission_phrase:3
02_previous_outputs_retained as draft aids/paper_32/deligne_paper32_weilII_complete_FR_fixed_1.tex,numbered_range_collapse:10
02_previous_outputs_retained as draft aids/paper_32/deligne_paper32_weilII_FR_clean_current_through_2_2_1.tex,numbered_range_collapse:10
02_previous_outputs_retained as draft aids/paper_32/deligne_paper32_weilII_complete_EN_3.tex,numbered_range_collapse:13;literal_summary_phrase:1;literal_omission_phrase:3
02_previous_outputs_retained as draft aids/paper_32/deligne_paper32_weilII_cumulative_through_5_3_EN_1.tex,numbered_range_collapse:13;literal_summary_phrase:1;literal_omission_phrase:3
02_previous_outputs_retained as draft aids/paper_32/deligne_paper32_weilII_cumulative_through_4_5_EN_1.tex,numbered_range_collapse:13;literal_summary_phrase:1;literal_omission_phrase:3
02_previous_outputs_retained as draft aids/paper_32/deligne_paper32_weilII_cumulative_through_2_2_FR_current_2.tex,numbered_range_collapse:10
02_previous_outputs_retained as draft aids/paper_32/deligne_paper32_weilII_cumulative_through_3_7_EN_1.tex,numbered_range_collapse:13;literal_omission_phrase:2
02_previous_outputs_retained as draft aids/paper_32/deligne_paper32_weilII_cumulative_through_2_2_EN_1.tex,numbered_range_collapse:10;literal_omission_phrase:2
02_previous_outputs_retained as draft aids/paper_32/deligne_paper32_weilII_cumulative_through_2_2_FR_current_3.tex,numbered_range_collapse:10
02_previous_outputs_retained as draft aids/paper_32/deligne_paper32_weilII_cumulative_through_1_8_FR_current_1.tex,numbered_range_collapse:5
02_previous_outputs_retained as draft aids/paper_32/deligne_paper32_weilII_cumulative_through_1_8_EN_1.tex,numbered_range_collapse:3;literal_omission_phrase:1
02_previous_outputs_retained as draft aids/paper_32/deligne_paper32_weilII_cumulative_through_1_5_EN_1.tex,literal_omission_phrase:1
02_previous_outputs_retained as draft aids/paper_32/deligne_paper32_weilII_cumulative_through_1_3_EN_1.tex,literal_omission_phrase:1
02_previous_outputs_retained as draft aids/paper_32/deligne_paper32_weilII_complete_EN_4.tex,numbered_range_collapse:13;literal_summary_phrase:1;literal_omission_phrase:3
02_previous_outputs_retained as draft aids/paper_32/deligne_paper32_weilII_complete_FR_fixed_2.tex,numbered_range_collapse:10
02_previous_outputs_retained as draft aids/paper_32/deligne_paper32_weilII_FR_clean_current_through_2_2_2.tex,numbered_range_collapse:10
02_previous_outputs_retained as draft aids/paper_32/deligne_paper32_weilII_complete_EN_1_1.tex,numbered_range_collapse:13;literal_summary_phrase:1;literal_omission_phrase:3
02_previous_outputs_retained as draft aids/paper_32/deligne_paper32_weilII_cumulative_through_5_3_EN_2.tex,numbered_range_collapse:13;literal_summary_phrase:1;literal_omission_phrase:3
02_previous_outputs_retained as draft aids/paper_32/deligne_paper32_weilII_cumulative_through_4_5_EN_2.tex,numbered_range_collapse:13;literal_summary_phrase:1;literal_omission_phrase:3
02_previous_outputs_retained as draft aids/paper_32/deligne_paper32_weilII_cumulative_through_2_2_FR_current_4.tex,numbered_range_collapse:10
02_previous_outputs_retained as draft aids/paper_32/deligne_paper32_weilII_cumulative_through_3_7_EN_2.tex,numbered_range_collapse:13;literal_omission_phrase:2
02_previous_outputs_retained as draft aids/paper_32/deligne_paper32_weilII_cumulative_through_2_2_EN_2.tex,numbered_range_collapse:10;literal_omission_phrase:2
02_previous_outputs_retained as draft aids/paper_32/deligne_paper32_weilII_cumulative_through_2_2_FR_current_1_1.tex,numbered_range_collapse:10
02_previous_outputs_retained as draft aids/paper_32/deligne_paper32_weilII_cumulative_through_1_8_FR_current_2.tex,numbered_range_collapse:5
02_previous_outputs_retained as draft aids/paper_32/deligne_paper32_weilII_cumulative_through_1_8_EN_2.tex,numbered_range_collapse:3;literal_omission_phrase:1
02_previous_outputs_retained as draft aids/paper_32/deligne_paper32_weilII_cumulative_through_1_5_EN_2.tex,literal_omission_phrase:1
02_previous_outputs_retained as draft aids/paper_32/deligne_paper32_weilII_cumulative_through_1_3_EN_2.tex,literal_omission_phrase:1
02_previous_outputs_retained as draft aids/paper_69/paper69_braid_category_EN.tex,numbered_range_collapse:1
02_previous_outputs_retained as draft aids/paper_69/paper69_braid_category_EN_1.tex,numbered_range_collapse:1
02_previous_outputs_retained as draft aids/paper_69/paper69_braid_category_EN_2.tex,numbered_range_collapse:1
02_previous_outputs_retained as draft aids/paper_84/deligne_paper84_finiteness_frobenius_traces_EN.tex,literal_summary_phrase:1;literal_omission_phrase:1
02_previous_outputs_retained as draft aids/paper_84/deligne_paper84_finiteness_frobenius_traces_EN_1.tex,literal_summary_phrase:1;literal_omission_phrase:1
02_previous_outputs_retained as draft aids/paper_84/deligne_paper84_finiteness_frobenius_traces_EN_2.tex,literal_summary_phrase:1;literal_omission_phrase:1
02_previous_outputs_retained as draft aids/paper_87/deligne_paper87_semisimplicity_tensor_products_EN.tex,literal_omission_phrase:1
02_previous_outputs_retained as draft aids/paper_87/deligne_paper87_semisimplicity_tensor_products_EN_1.tex,literal_omission_phrase:1
02_previous_outputs_retained as draft aids/paper_87/deligne_paper87_semisimplicity_tensor_products_EN_2.tex,literal_omission_phrase:1
02_previous_outputs_retained as draft aids/paper_88/deligne_paper88_counting_ladic_sheaves_EN.tex,literal_omission_phrase:1
02_previous_outputs_retained as draft aids/paper_88/deligne_paper88_counting_ladic_sheaves_EN_1.tex,literal_omission_phrase:1
02_previous_outputs_retained as draft aids/paper_88/deligne_paper88_counting_ladic_sheaves_EN_2.tex,literal_omission_phrase:1
02_previous_outputs_retained as draft aids/paper_88/deligne_paper88_counting_ladic_sheaves_EN_3.tex,literal_omission_phrase:1
02_previous_outputs_retained as draft aids/paper_88/deligne_paper88_counting_ladic_sheaves_EN_4.tex,literal_omission_phrase:1
02_previous_outputs_retained as draft aids/paper_88/deligne_paper88_counting_ladic_sheaves_EN_1_1.tex,literal_omission_phrase:1
