order,paper,title,action
1,32,La conjecture de Weil II,full bilingual rebuild from source grounding
2,84,"Finitude de l’extension de Q engendrée par des traces de Frobenius, en caractéristique finie",full bilingual rebuild from source grounding
3,85,"Multizêtas, d’après Francis Brown",full bilingual rebuild from source grounding
4,87,Semi-simplicité de produits tensoriels en caractéristique p,full bilingual rebuild from source grounding
5,88,Comptage de faisceaux l-adiques,full bilingual rebuild from source grounding
6,69,Action du groupe des tresses sur une catégorie,full bilingual rebuild from source grounding
7,70,Quelques idées maîtresses de l’œuvre de A. Grothendieck,full bilingual rebuild from source grounding
8,71,L’algèbre de cohomologie du complément ...,full bilingual rebuild from source grounding
9,83,Le théorème de plongement de Nagata,full bilingual rebuild from source grounding
10,56,Groupe de Heisenberg et réalité,full bilingual rebuild from source grounding
11,58,Structures de Hodge mixtes réelles,full bilingual rebuild from source grounding
12,42,Intégration sur un cycle évanescent,full bilingual rebuild from source grounding
13,45,Le lemme de Gabber; Représentations l-adiques,full bilingual rebuild from source grounding
14,57,Le symbole modéré,full bilingual rebuild from source grounding
