paper,title,source_start_in_collection,source_end_in_collection,source_leaf_count,source_pdf,source_text,strict_status
32,La conjecture de Weil II,1026,1141,116,01_source_grounding/paper_32/deligne_paper_32_original_source.pdf,01_source_grounding/paper_32/deligne_paper_32_original_text_extracted_fr.txt,source grounded; previous translations deprecated pending full rebuild
42,Intégration sur un cycle évanescent,1381,1395,15,01_source_grounding/paper_42/deligne_paper_42_original_source.pdf,01_source_grounding/paper_42/deligne_paper_42_original_text_extracted_fr.txt,source grounded; previous translations deprecated pending full rebuild
45,Le lemme de Gabber; Représentations l-adiques,1577,1596,20,01_source_grounding/paper_45/deligne_paper_45_original_source.pdf,01_source_grounding/paper_45/deligne_paper_45_original_text_extracted_fr.txt,source grounded; previous translations deprecated pending full rebuild
56,Groupe de Heisenberg et réalité,2223,2232,10,01_source_grounding/paper_56/deligne_paper_56_original_source.pdf,01_source_grounding/paper_56/deligne_paper_56_original_text_extracted_fr.txt,source grounded; previous translations deprecated pending full rebuild
57,Le symbole modéré,2233,2267,35,01_source_grounding/paper_57/deligne_paper_57_original_source.pdf,01_source_grounding/paper_57/deligne_paper_57_original_text_extracted_fr.txt,source grounded; previous translations deprecated pending full rebuild
58,Structures de Hodge mixtes réelles,2268,2273,6,01_source_grounding/paper_58/deligne_paper_58_original_source.pdf,01_source_grounding/paper_58/deligne_paper_58_original_text_extracted_fr.txt,source grounded; previous translations deprecated pending full rebuild
69,Action du groupe des tresses sur une catégorie,2493,2509,17,01_source_grounding/paper_69/deligne_paper_69_original_source.pdf,01_source_grounding/paper_69/deligne_paper_69_original_text_extracted_fr.txt,source grounded; previous translations deprecated pending full rebuild
70,Quelques idées maîtresses de l’œuvre de A. Grothendieck,2510,2518,9,01_source_grounding/paper_70/deligne_paper_70_original_source.pdf,01_source_grounding/paper_70/deligne_paper_70_original_text_extracted_fr.txt,source grounded; previous translations deprecated pending full rebuild
71,L’algèbre de cohomologie du complément ...,2519,2534,16,01_source_grounding/paper_71/deligne_paper_71_original_source.pdf,01_source_grounding/paper_71/deligne_paper_71_original_text_extracted_fr.txt,source grounded; previous translations deprecated pending full rebuild
83,Le théorème de plongement de Nagata,2919,2928,10,01_source_grounding/paper_83/deligne_paper_83_original_source.pdf,01_source_grounding/paper_83/deligne_paper_83_original_text_extracted_fr.txt,source grounded; previous translations deprecated pending full rebuild
84,"Finitude de l’extension de Q engendrée par des traces de Frobenius, en caractéristique finie",2929,2951,23,01_source_grounding/paper_84/deligne_paper_84_original_source.pdf,01_source_grounding/paper_84/deligne_paper_84_original_text_extracted_fr.txt,source grounded; previous translations deprecated pending full rebuild
85,"Multizêtas, d’après Francis Brown",2952,2977,26,01_source_grounding/paper_85/deligne_paper_85_original_source.pdf,01_source_grounding/paper_85/deligne_paper_85_original_text_extracted_fr.txt,source grounded; previous translations deprecated pending full rebuild
87,Semi-simplicité de produits tensoriels en caractéristique p,3042,3068,27,01_source_grounding/paper_87/deligne_paper_87_original_source.pdf,01_source_grounding/paper_87/deligne_paper_87_original_text_extracted_fr.txt,source grounded; previous translations deprecated pending full rebuild
88,Comptage de faisceaux l-adiques,3069,3102,34,01_source_grounding/paper_88/deligne_paper_88_original_source.pdf,01_source_grounding/paper_88/deligne_paper_88_original_text_extracted_fr.txt,source grounded; previous translations deprecated pending full rebuild
