constellation,const_ar,const_zh,n,arabic,roman,lon_d,lon_m,lat_d,lat_m,dir,mag,page,note
Pisces,صور كواكب الحوت,双鱼座,1,المقدّم الشمالي من مربط الكتّان,al-muqaddam al-šamālī min marbaṭ al-kattān,11,40,1,25,N,5,20,longitude re-read pending (absolute-degree abjad); lon within Pisces sign
Pisces,صور كواكب الحوت,双鱼座,2,المتوسّط من الثلثة التي في المربط,al-mutawassiṭ min al-thalātha allatī fī l-marbaṭ,11,50,5,25,N,3,20,longitude re-read pending (absolute-degree abjad); lon within Pisces sign
Pisces,صور كواكب الحوت,双鱼座,3,الشمالي من الاثنين اللذين في فم الحوت,al-šamālī min al-ithnayn alladhayn fī fam al-ḥūt,13,10,21,45,N,5,20,longitude re-read pending (absolute-degree abjad); lon within Pisces sign
Pisces,صور كواكب الحوت,双鱼座,4,الشمالي من الثلثة التي على طرف الذنب,al-šamālī min al-thalātha allatī ʿalā ṭaraf al-dhanab,11,40,9,5,N?,4,20,longitude re-read pending (absolute-degree abjad); lon within Pisces sign
Pisces,صور كواكب الحوت,双鱼座,5,المقدّم من الثلثة التي على شوكة هذا الحوت,al-muqaddam min al-thalātha allatī ʿalā šawkat hādhā l-ḥūt,6,50,14,25,N?,4,20,longitude re-read pending (absolute-degree abjad); lon within Pisces sign
Pisces,صور كواكب الحوت,双鱼座,6,المتوسّط منها,al-mutawassiṭ minhā,7,50,13,5,N?,3,20,longitude re-read pending (absolute-degree abjad); lon within Pisces sign
Pisces,صور كواكب الحوت,双鱼座,7,المؤخّر من هذه الثلثة,al-muʾakhkhar min hādhihi l-thalātha,8,50,13,,N?,4,20,longitude re-read pending (absolute-degree abjad); lon within Pisces sign
Cetus,قيطس وهو سبع البحر,鲸鱼座,1,الذي على طرف أنف سبع البحر,alladhī ʿalā ṭaraf anf sabʿ al-baḥr,28?,50?,7,45?,S,4,20,Alexandrian-era longitudes; longitude re-read pending (absolute-degree abjad)
Cetus,قيطس وهو سبع البحر,鲸鱼座,2,المؤخّر من الثلثة التي في حلقومه,al-muʾakhkhar min al-thalātha allatī fī ḥulqūmihi,28?,50?,12,,S,3,20,longitude re-read pending (absolute-degree abjad)
Cetus,قيطس وهو سبع البحر,鲸鱼座,3,المتوسّط منها وهو في وسط فمه,al-mutawassiṭ minhā wa-huwa fī wasṭ famihi,28?,50?,11,30,S,3,20,longitude re-read pending (absolute-degree abjad)
Cetus,قيطس وهو سبع البحر,鲸鱼座,4,المقدّم من الثلثة التي على ذقنه,al-muqaddam min al-thalātha allatī ʿalā dhaqanihi,21?,40?,14,5,S,3,20,longitude re-read pending (absolute-degree abjad)
Cetus,قيطس وهو سبع البحر,鲸鱼座,5,الذي على جبينه فوق عينه,alladhī ʿalā jabīnihi fawqa ʿaynihi,21?,,8,45,S,4,20,longitude re-read pending (absolute-degree abjad)
Cetus,قيطس وهو سبع البحر,鲸鱼座,6,الجنوبي من الشقّ المؤخّر منه,al-janūbī min al-shiqq al-muʾakhkhar minhu,13?,,27,30,S,3,20,longitude re-read pending (absolute-degree abjad)
al-Samakatan (Two Fishes),صورة السمكتين,双鱼（小鱼二）,1,الجنوبي من الاثنين اللذين في رأس هذا الحوت,al-janūbī min al-ithnayn alladhayn fī raʾs hādhā l-ḥūt,334?,,,,,4,21,longitude=absolute ecliptic deg; lat/dir pending row-alignment
al-Samakatan (Two Fishes),صورة السمكتين,双鱼（小鱼二）,2,والشمالي من هذين الكوكبين اللذين في رأسه,wa-l-šamālī min hādhayn al-kawkabayn alladhayn fī raʾsihi,337?,,,,,4,21,longitude=absolute ecliptic deg; lat/dir pending row-alignment
al-Samakatan (Two Fishes),صورة السمكتين,双鱼（小鱼二）,3,المقدّم من الاثنين اللذين في ظهره,al-muqaddam min al-ithnayn alladhayn fī ẓahrihi,339?,,,,,4,21,longitude=absolute ecliptic deg; lat/dir pending row-alignment
al-Samakatan (Two Fishes),صورة السمكتين,双鱼（小鱼二）,4,الكوكب الثاني من الاثنين اللذين في ظهره,al-kawkab al-thānī min al-ithnayn alladhayn fī ẓahrihi,341?,,,,,4,21,longitude=absolute ecliptic deg; lat/dir pending row-alignment
al-Samakatan (Two Fishes),صورة السمكتين,双鱼（小鱼二）,5,المقدّم من الاثنين اللذين في بطن الحوت,al-muqaddam min al-ithnayn alladhayn fī baṭn al-ḥūt,340?,,,,,4,21,longitude=absolute ecliptic deg; lat/dir pending row-alignment
al-Samakatan (Two Fishes),صورة السمكتين,双鱼（小鱼二）,6,الكوكب المؤخّر منهما,al-kawkab al-muʾakhkhar minhumā,342?,,,,,4,21,longitude=absolute ecliptic deg; lat/dir pending row-alignment
al-Samakatan (Two Fishes),صورة السمكتين,双鱼（小鱼二）,7,الكوكب الذي في ذنب هذا الحوت,al-kawkab alladhī fī dhanab hādhā l-ḥūt,347?,,,,,6,21,longitude=absolute ecliptic deg; lat/dir pending row-alignment
al-Samakatan (Two Fishes),صورة السمكتين,双鱼（小鱼二）,8,المقدّم من التي في ذنبه في الخيط الكتّان,al-muqaddam min allatī fī dhanabihi fī l-khayṭ al-kattān,352?,,,,,5,21,longitude=absolute ecliptic deg; lat/dir pending row-alignment
al-Samakatan (Two Fishes),صورة السمكتين,双鱼（小鱼二）,9,الذي يتلو هذا الكوكب,alladhī yatlū hādhā l-kawkab,355?,,,,,4,21,longitude=absolute ecliptic deg; lat/dir pending row-alignment
al-Samakatan (Two Fishes),صورة السمكتين,双鱼（小鱼二）,10,المقدّم من الثلثة النيّرة التي بعد المتقدّمة,al-muqaddam min al-thalātha al-nayyira allatī baʿda l-mutaqaddima,358?,,,,,4,21,longitude=absolute ecliptic deg; lat/dir pending row-alignment
Capricornus,الجدي,摩羯座,,المتوسط من هذه الثلثة الواقعة,the middle of these three,,,,,N,5,23,
Capricornus,الجدي,摩羯座,,الشمالي من التي على طرف ذنبه,the N of those on its tail-tip,,,,,N,5,23,
Capricornus,الجدي,摩羯座,,الكوكب الذي يتلوه,the star following it,,,,,N,5,23,
Capricornus,الجدي,摩羯座,,المقدم من الذي في ظهر الجدي,the leading on the back of Capricorn,,,,,S,4,23,
Capricornus,الجدي,摩羯座,,المقدم من الكوكبين اللذين في ظهره,the leading of the two on its back,,,,,S,4,23,
Capricornus,الجدي,摩羯座,,الجنوبي من الاربعة التي في شمال ذنبه,the S of the four N of its tail,,,,,S,5,23,
Aquarius,الدلو والساقي,宝瓶座,,الكوكب الذي على رأس الدلو,the star on the head of Aquarius,,,,,N,5,23,
Aquarius,الدلو والساقي,宝瓶座,,الذي يتلوه في الجنوب,the one following it in the south,326?,,,,N,4,22,
Aquarius,الدلو والساقي,宝瓶座,,الذي يتلو هذا بعد المشرق,the one following this after the east,326?,,,,S,4,22,
Aquarius,الدلو والساقي,宝瓶座,,الذي يتلوه ايضا,the one also following it,,,,,S,4,22,
Aquarius,الدلو والساقي,宝瓶座,,الجنوبي من التي في المشرق,the S of those in the east,331?,,,,S,4,22,
Aquarius,الدلو والساقي,宝瓶座,,المؤخر من التي في مصب الماء (فم الحوت الجنوبي),rearmost in the water-outflow = Fomalhaut,,,,,,1,22,Piscis Austrinus / Fomalhaut (1st mag)
Aquarius,الدلو والساقي,宝瓶座,,الشمالي من الاثنين اللذين في الجنوب,N of the two in the south,,,,,S,4,22,
Aquarius,الدلو والساقي,宝瓶座,,المقدم من الاثنين المتقاربين في الساق,leading of the two close in the leg,,,,,S,4,22,
Aquarius,الدلو والساقي,宝瓶座,,الذي على ألية الساق اليمنى,on the rump of the right leg,,,,,N,4,22,
Aquarius,الدلو والساقي,宝瓶座,,المتوسط من الثلثة في الانعطاف الأول من المقبض,middle of three in the first bend of the handle,,,,,S,4,22,
Aquarius,الدلو والساقي,宝瓶座,,الأول من الثلثة في الانعطاف الثاني من المقبض,first of three in the second bend,,,,,S,4,22,
Aquarius,الدلو والساقي,宝瓶座,,الجنوبي من الاثنين في أليته اليسرى,S of the two on its left rump,,,,,S,4,22,
Aquarius,الدلو والساقي,宝瓶座,,المتوسط من الثلثة الأخرى في الانعطاف الثاني,middle of the other three in the second bend,,,,,S,4,22,
Aquarius,الدلو والساقي,宝瓶座,,الشمالي من الاثنين في ساقه اليسرى تحت الركبة,N of the two in its left leg below the knee,,,,,S,4,22,
Aquarius,الدلو والساقي,宝瓶座,,المقدم من الثلثة التي تتلو مقبض الجرة,leading of three following the urn-handle,,,,,S,2,22,mag marked كبير/bright
Aquarius,الدلو,宝瓶座,,القصي من الاثنين على كتف الساق اليمنى,far of two on the right-leg shoulder,,,,,N,3,23,
Aquarius,الدلو,宝瓶座,,الكوكب العظيم الذي تحته,the great star beneath it,,,,,N,4,23,
Aquarius,الدلو,宝瓶座,,الذي في كتف الساق اليسرى,on the left-leg shoulder,,,,,N,3,23,
Aquarius,الدلو,宝瓶座,,الذي يتلو الثلثة التي في يده اليسرى,following the three in its left hand,,,,,N,4,23,
Aquarius,الدلو,宝瓶座,,المتوسط من هذه الثلثة,the middle of these three,,,,,N,4,23,
