recovery_authority_action_id,language_or_scope,blocker_origin,blocker_field,probe_kind,probe_rows,existing_probe_rows,missing_probe_rows,ledger_pointer_rows,searched_path_sample,next_recovery_step_sample,authority_ethics_action,current_head,input_frontier_head,source_use_label,accepted_translation_evidence,promotion_allowed,native_review_claimed,boundary_note
R9-FAA2C330-RECOVERY-AUTHORITY-0001,Afar,9bb_zip_candidate_review_correction,exact_source_phrase,directory,1,1,0,0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_9BBCB11B_SOURCE_CORPUS_ZIP_AFRICA_HORN_WEST_READ_20260706,path exists; continue OCR/Unicode/license/reviewer triage before any source-gated draft use,record source-owner/license/reviewer/OCR decision after exact path recovery; keep blocker open until then,faa2c330deb886098750dafb5c500e244e1333fe,1233d6f1557c831c23f6de8395182d8ae81e2217,faa2c330-recovery-search-authority-action,false,false,false,"R9 source-use/provenance/gap/generated-draft/noncanonical support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
R9-FAA2C330-RECOVERY-AUTHORITY-0002,Afar,9bb_zip_candidate_review_correction,reviewer_boundary,directory,1,1,0,0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_9BBCB11B_SOURCE_CORPUS_ZIP_AFRICA_HORN_WEST_READ_20260706,path exists; continue OCR/Unicode/license/reviewer triage before any source-gated draft use,record source-owner/license/reviewer/OCR decision after exact path recovery; keep blocker open until then,faa2c330deb886098750dafb5c500e244e1333fe,1233d6f1557c831c23f6de8395182d8ae81e2217,faa2c330-recovery-search-authority-action,false,false,false,"R9 source-use/provenance/gap/generated-draft/noncanonical support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
R9-FAA2C330-RECOVERY-AUTHORITY-0003,Afar,9bb_zip_candidate_review_correction,source_body_type,directory,1,1,0,0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_9BBCB11B_SOURCE_CORPUS_ZIP_AFRICA_HORN_WEST_READ_20260706,path exists; continue OCR/Unicode/license/reviewer triage before any source-gated draft use,record source-owner/license/reviewer/OCR decision after exact path recovery; keep blocker open until then,faa2c330deb886098750dafb5c500e244e1333fe,1233d6f1557c831c23f6de8395182d8ae81e2217,faa2c330-recovery-search-authority-action,false,false,false,"R9 source-use/provenance/gap/generated-draft/noncanonical support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
R9-FAA2C330-RECOVERY-AUTHORITY-0004,Afar,9bb_zip_candidate_review_correction,target_language_subpath,directory,1,1,0,0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_9BBCB11B_SOURCE_CORPUS_ZIP_AFRICA_HORN_WEST_READ_20260706,path exists; continue OCR/Unicode/license/reviewer triage before any source-gated draft use,record source-owner/license/reviewer/OCR decision after exact path recovery; keep blocker open until then,faa2c330deb886098750dafb5c500e244e1333fe,1233d6f1557c831c23f6de8395182d8ae81e2217,faa2c330-recovery-search-authority-action,false,false,false,"R9 source-use/provenance/gap/generated-draft/noncanonical support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
R9-FAA2C330-RECOVERY-AUTHORITY-0005,Afar,e58_render_witness_ocr_pickup,exact_phrase_from_render,file,3,3,0,0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\language-source-bodies\africa-horn-west\bodies\afar-qafar\source-pdfs\R9-LSB-0301_idela_afar_south_omo_endline_2017.pdf,render/page witness exists; perform visual/OCR exact phrase capture and keep as reviewer-only support,record source-owner/license/reviewer/OCR decision after exact path recovery; keep blocker open until then,faa2c330deb886098750dafb5c500e244e1333fe,1233d6f1557c831c23f6de8395182d8ae81e2217,faa2c330-recovery-search-authority-action,false,false,false,"R9 source-use/provenance/gap/generated-draft/noncanonical support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
R9-FAA2C330-RECOVERY-AUTHORITY-0006,Afar,e58_render_witness_ocr_pickup,formula_neighbor_visual_confirmation,file,3,3,0,0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\language-source-bodies\africa-horn-west\bodies\afar-qafar\source-pdfs\R9-LSB-0301_idela_afar_south_omo_endline_2017.pdf,render/page witness exists; perform visual/OCR exact phrase capture and keep as reviewer-only support,record source-owner/license/reviewer/OCR decision after exact path recovery; keep blocker open until then,faa2c330deb886098750dafb5c500e244e1333fe,1233d6f1557c831c23f6de8395182d8ae81e2217,faa2c330-recovery-search-authority-action,false,false,false,"R9 source-use/provenance/gap/generated-draft/noncanonical support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
R9-FAA2C330-RECOVERY-AUTHORITY-0007,Afar,e58_render_witness_ocr_pickup,ocr_unicode_confidence,file,3,3,0,0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\language-source-bodies\africa-horn-west\bodies\afar-qafar\source-pdfs\R9-LSB-0301_idela_afar_south_omo_endline_2017.pdf,render/page witness exists; perform visual/OCR exact phrase capture and keep as reviewer-only support,record source-owner/license/reviewer/OCR decision after exact path recovery; keep blocker open until then,faa2c330deb886098750dafb5c500e244e1333fe,1233d6f1557c831c23f6de8395182d8ae81e2217,faa2c330-recovery-search-authority-action,false,false,false,"R9 source-use/provenance/gap/generated-draft/noncanonical support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
R9-FAA2C330-RECOVERY-AUTHORITY-0008,Afar,e58_render_witness_ocr_pickup,source_page_language_boundary,file,3,3,0,0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\language-source-bodies\africa-horn-west\bodies\afar-qafar\source-pdfs\R9-LSB-0301_idela_afar_south_omo_endline_2017.pdf,render/page witness exists; perform visual/OCR exact phrase capture and keep as reviewer-only support,record source-owner/license/reviewer/OCR decision after exact path recovery; keep blocker open until then,faa2c330deb886098750dafb5c500e244e1333fe,1233d6f1557c831c23f6de8395182d8ae81e2217,faa2c330-recovery-search-authority-action,false,false,false,"R9 source-use/provenance/gap/generated-draft/noncanonical support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
R9-FAA2C330-RECOVERY-AUTHORITY-0009,Amharic,9bb_zip_candidate_review_correction,exact_source_phrase,directory,1,1,0,0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_9BBCB11B_SOURCE_CORPUS_ZIP_AFRICA_HORN_WEST_READ_20260706,path exists; continue OCR/Unicode/license/reviewer triage before any source-gated draft use,record source-owner/license/reviewer/OCR decision after exact path recovery; keep blocker open until then,faa2c330deb886098750dafb5c500e244e1333fe,1233d6f1557c831c23f6de8395182d8ae81e2217,faa2c330-recovery-search-authority-action,false,false,false,"R9 source-use/provenance/gap/generated-draft/noncanonical support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
R9-FAA2C330-RECOVERY-AUTHORITY-0010,Amharic,9bb_zip_candidate_review_correction,reviewer_boundary,directory,1,1,0,0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_9BBCB11B_SOURCE_CORPUS_ZIP_AFRICA_HORN_WEST_READ_20260706,path exists; continue OCR/Unicode/license/reviewer triage before any source-gated draft use,record source-owner/license/reviewer/OCR decision after exact path recovery; keep blocker open until then,faa2c330deb886098750dafb5c500e244e1333fe,1233d6f1557c831c23f6de8395182d8ae81e2217,faa2c330-recovery-search-authority-action,false,false,false,"R9 source-use/provenance/gap/generated-draft/noncanonical support only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, visual inventory, term spine, sign rendering, or translation completion"
